Gene Name,Protein ID,log2-fold change,p_value,adjusted p_value,Protein.names,resolved_locus_tag,resolution_method
panC/cmk,Q31P38,0.179,0.598,0.728, Bifunctional pantoate ligase/cytidylate kinase OS=Synechococcus elongatus (strain PCC 7942) OX=1140 GN=panC/cmk PE=3 SV=1,Synpcc7942_1151,tier1:Gene Name
ppk,Q31MX3,0.193,0.582,0.717, Polyphosphate kinase OS=Synechococcus elongatus (strain PCC 7942) OX=1140 GN=ppk PE=3 SV=1,,unresolved
tsf,Q31K58,0.194,0.265,0.401, Elongation factor Ts OS=Synechococcus elongatus (strain PCC 7942) OX=1140 GN=tsf PE=3 SV=1,Synpcc7942_2531,tier1:Gene Name
tr|Q31LV2|Q31LV2_SYNE7,Q31LV2,0.195,0.527,0.676, Peptide methionine sulfoxide reductase MsrA OS=Synechococcus elongatus (strain PCC 7942) OX=1140 GN=msrA PE=3 SV=1,Synpcc7942_1937,multi:Protein ID
Synpcc7942_0808,Q31Q29,0.196,0.598,0.728, HAD-superfamily hydrolase subfamily IIB OS=Synechococcus elongatus (strain PCC 7942) OX=1140 GN=Synpcc7942_0808 PE=4 SV=1,Synpcc7942_0808,locus_tag:Gene Name
Synpcc7942_1250,Q31NT9,0.197,0.832,0.909, Photosystem I reaction center subunit III OS=Synechococcus elongatus (strain PCC 7942) OX=1140 GN=Synpcc7942_1250 PE=4 SV=1,Synpcc7942_1250,locus_tag:Gene Name
dnaJ,Q31LG5,0.203,0.637,0.769, Chaperone protein DnaJ OS=Synechococcus elongatus (strain PCC 7942) OX=1140 GN=dnaJ PE=3 SV=1,Synpcc7942_2074,tier1:Gene Name
tr|Q31LI6|Q31LI6_SYNE7 Probable,Q31LI6,0.203,0.581,0.717, Probable peptidase OS=Synechococcus elongatus (strain PCC 7942) OX=1140 GN=Synpcc7942_2053 PE=4 SV=1,Synpcc7942_2053,multi:Protein ID
Synpcc7942_0130,Q31S07,0.204,0.495,0.65, Uncharacterized protein OS=Synechococcus elongatus (strain PCC 7942) OX=1140 GN=Synpcc7942_0130 PE=4 SV=1,Synpcc7942_0130,locus_tag:Gene Name
Synpcc7942_0485,Q31R02,0.234,0.634,0.766, Phosphoglycerate mutase OS=Synechococcus elongatus (strain PCC 7942) OX=1140 GN=Synpcc7942_0485 PE=3 SV=1,Synpcc7942_0485,locus_tag:Gene Name
purQ,Q31Q18,0.246,0.476,0.633, Phosphoribosylformylglycinamidine synthase subunit PurQ OS=Synechococcus elongatus (strain PCC 7942) OX=1140 GN=purQ PE=3 SV=1,Synpcc7942_0819,multi:Gene Name
Synpcc7942_1857,Q31M32,0.246,0.548,0.691, 3-hydroxyacid dehydrogenase OS=Synechococcus elongatus (strain PCC 7942) OX=1140 GN=Synpcc7942_1857 PE=4 SV=1,Synpcc7942_1857,locus_tag:Gene Name
Synpcc7942_2429,Q31KG0,0.249,0.51,0.66, Biopolymer transport ExbB like protein OS=Synechococcus elongatus (strain PCC 7942) OX=1140 GN=Synpcc7942_2429 PE=3 SV=1,Synpcc7942_2429,locus_tag:Gene Name
Synpcc7942_0077,Q31S60,0.253,0.366,0.519," Transcriptional regulator, XRE family OS=Synechococcus elongatus (strain PCC 7942) OX=1140 GN=Synpcc7942_0077 PE=4 SV=1",Synpcc7942_0077,locus_tag:Gene Name
Synpcc7942_0143,Q31RZ4,0.256,0.206,0.332, Pyruvate dehydrogenase E1 component subunit beta OS=Synechococcus elongatus (strain PCC 7942) OX=1140 GN=Synpcc7942_0143 PE=4 SV=1,Synpcc7942_0143,locus_tag:Gene Name
glyA,Q31RK5,0.26,0.337,0.486, Serine hydroxymethyltransferase OS=Synechococcus elongatus (strain PCC 7942) OX=1140 GN=glyA PE=3 SV=1,Synpcc7942_0282,multi:Gene Name
rplD,Q31L08,0.26,0.653,0.785, 50S ribosomal protein L4 OS=Synechococcus elongatus (strain PCC 7942) OX=1140 GN=rplD PE=3 SV=1,Synpcc7942_2231,tier1:Gene Name
Synpcc7942_1919,Q31LX0,0.26,0.538,0.686," Transcriptional regulator, XRE family OS=Synechococcus elongatus (strain PCC 7942) OX=1140 GN=Synpcc7942_1919 PE=4 SV=1",Synpcc7942_1919,locus_tag:Gene Name
metK,Q31KC6,0.266,0.0807,0.157, S-adenosylmethionine synthase OS=Synechococcus elongatus (strain PCC 7942) OX=1140 GN=metK PE=3 SV=1,Synpcc7942_2463,tier1:Gene Name
rplW,Q31L09,0.267,0.23,0.357, 50S ribosomal protein L23 OS=Synechococcus elongatus (strain PCC 7942) OX=1140 GN=rplW PE=3 SV=1,Synpcc7942_2230,multi:Gene Name
Synpcc7942_0583,Q31QQ4,0.275,0.173,0.292, Mg-protoporphyrin IX chelatase OS=Synechococcus elongatus (strain PCC 7942) OX=1140 GN=Synpcc7942_0583 PE=3 SV=1,Synpcc7942_0583,locus_tag:Gene Name
Synpcc7942_0380,Q31RA7,0.282,0.551,0.691, Uncharacterized protein OS=Synechococcus elongatus (strain PCC 7942) OX=1140 GN=Synpcc7942_0380 PE=4 SV=1,Synpcc7942_0380,locus_tag:Gene Name
Synpcc7942_2434,Q31KF5,0.291,0.228,0.355," Acetolactate synthase, small subunit OS=Synechococcus elongatus (strain PCC 7942) OX=1140 GN=Synpcc7942_2434 PE=4 SV=1",Synpcc7942_2434,locus_tag:Gene Name
cbbA,Q8VW88,0.294,0.314,0.462," Fructose-1,6-bisphosphate aldolase OS=Synechococcus elongatus (strain PCC 7942) OX=1140 GN=cbbA PE=3 SV=1",Synpcc7942_1443,tier1:Gene Name
Synpcc7942_1427,Q31NB2,0.297,0.685,0.804," Ribulose 1,5-bisphosphate carboxylase small subunit OS=Synechococcus elongatus (strain PCC 7942) OX=1140 GN=Synpcc7942_1427 PE=1 SV=1",Synpcc7942_1427,locus_tag:Gene Name
hisZ,Q55267,0.304,0.22,0.347, ATP phosphoribosyltransferase regulatory subunit OS=Synechococcus elongatus (strain PCC 7942) OX=1140 GN=hisZ PE=3 SV=2,Synpcc7942_0813,tier1:Gene Name
tr|Q31LX3|Q31LX3_SYNE7 Signal,Q31LX3,0.305,0.562,0.7, Signal peptide peptidase A. Serine peptidase. MEROPS family S49 OS=Synechococcus elongatus (strain PCC 7942) OX=1140 GN=Synpcc7942_1916 PE=4 SV=1,Synpcc7942_1916,multi:Protein ID
nusB,Q8GIR7,0.32,0.362,0.514, Transcription antitermination protein NusB OS=Synechococcus elongatus (strain PCC 7942) OX=1140 GN=nusB PE=3 SV=1,Synpcc7942_2471,multi:Gene Name
grpE,Q59984,0.324,0.523,0.672, Protein GrpE OS=Synechococcus elongatus (strain PCC 7942) OX=1140 GN=grpE PE=3 SV=2,Synpcc7942_2072,multi:Gene Name
murA,Q31QC2,0.325,0.322,0.468, UDP-N-acetylglucosamine 1-carboxyvinyltransferase OS=Synechococcus elongatus (strain PCC 7942) OX=1140 GN=murA PE=3 SV=1,Synpcc7942_0715,multi:Gene Name
Synpcc7942_1192,Q31NZ7,0.331,0.605,0.733, Uncharacterized protein SEE0036 OS=Synechococcus elongatus (strain PCC 7942) OX=1140 GN=SEE0036 PE=4 SV=,Synpcc7942_1192,locus_tag:Gene Name
tr|Q31MF2|Q31MF2_SYNE7 Iron-regulated ABC transporter,Q31MF2,0.342,0.478,0.635, Iron-regulated ABC transporter permease protein SufD OS=Synechococcus elongatus (strain PCC 7942) OX=1140 GN=Synpcc7942_1737 PE=4 SV=1,Synpcc7942_1737,multi:Protein ID
petC,Q31NV7,0.352,0.283,0.424, Cytochrome b6-f complex iron-sulfur subunit OS=Synechococcus elongatus (strain PCC 7942) OX=1140 GN=petC PE=3 SV=1,Synpcc7942_1232,tier1:Gene Name
Synpcc7942_1604,Q31MT5,0.357,0.164,0.279, Uncharacterized protein OS=Synechococcus elongatus (strain PCC 7942) OX=1140 GN=Synpcc7942_1604 PE=4 SV=1,Synpcc7942_1604,locus_tag:Gene Name
ntcA,P29283,0.366,0.416,0.568, Global nitrogen regulator OS=Synechococcus elongatus (strain PCC 7942) OX=1140 GN=ntcA PE=1 SV=1,Synpcc7942_0127,multi:Gene Name
Synpcc7942_0854,Q31PY5,0.366,0.42,0.571, Uncharacterized protein OS=Synechococcus elongatus (strain PCC 7942) OX=1140 GN=Synpcc7942_0854 PE=4 SV=1,Synpcc7942_0854,locus_tag:Gene Name
Synpcc7942_0827,Q31Q10,0.371,0.485,0.64, Cobalamin synthesis protein cobW-like OS=Synechococcus elongatus (strain PCC 7942) OX=1140 GN=Synpcc7942_0827 PE=4 SV=1,Synpcc7942_0827,locus_tag:Gene Name
Synpcc7942_0926,Q31PR3,0.375,0.158,0.271, Uncharacterized protein OS=Synechococcus elongatus (strain PCC 7942) OX=1140 GN=Synpcc7942_0926 PE=4 SV=1,Synpcc7942_0926,locus_tag:Gene Name
Synpcc7942_0439,Q31R48,0.376,0.383,0.536, Putative Mg-protoporphyrin IX methyl transferase OS=Synechococcus elongatus (strain,Synpcc7942_0439,locus_tag:Gene Name
accA,Q54766,0.379,0.387,0.54, Acetyl-coenzyme A carboxylase carboxyl transferase subunit alpha OS=Synechococcus elongatus (strain PCC 7942) OX=1140 GN=accA PE=3 SV=1,Synpcc7942_1595,tier1:Gene Name
rpsM,Q31L28,0.387,0.393,0.547, 30S ribosomal protein S13 OS=Synechococcus elongatus (strain PCC 7942) OX=1140 GN=rpsM PE=3 SV=1,Synpcc7942_2211,multi:Gene Name
tr|Q31K23|Q31K23_SYNE7,Q31K23,0.4,0.058,0.122, PPIase cyclophilin-type domain-containing protein OS=Synechococcus elongatus (strain PCC 794,,unresolved
rpsP,Q31MB7,0.406,0.0699,0.141, 30S ribosomal protein S16 OS=Synechococcus elongatus (strain PCC 7942) OX=1140 GN=rpsP PE=3 SV=1,Synpcc7942_1772,tier1:Gene Name
SEB0057,Q8GIR5,0.41,0.344,0.496, Uncharacterized protein OS=Synechococcus elongatus (strain PCC 7942) OX=1140 GN=Synpcc7942_2469 PE=4 SV=1,,unresolved
kdsB,Q31KU9,0.417,0.301,0.446, 3-deoxy-manno-octulosonate cytidylyltransferase OS=Synechococcus elongatus (strain PCC 7942) OX=1140 GN=kdsB PE=3 SV=1,Synpcc7942_2290,tier1:Gene Name
ychF,Q31QT3,0.418,0.215,0.344, Ribosome-binding ATPase YchF OS=Synechococcus elongatus (strain PCC 7942) OX=1140 GN=ychF PE=3 SV=1,Synpcc7942_0554,multi:Protein ID
infC,Q31S72,0.421,0.406,0.561, Translation initiation factor IF-3 OS=Synechococcus elongatus (strain PCC 7942) OX=1140 GN=infC PE=3 SV=1,Synpcc7942_0065,tier1:Gene Name
ispD,Q31QF6,0.423,0.223,0.349, 2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase OS=Synechococcus elongatus (strain PCC 7942) OX=1140 GN=ispD PE=3 SV=1,Synpcc7942_0681,tier1:Gene Name
nrtD,P38046,0.433,0.424,0.576, Nitrate import ATP-binding protein NrtD OS=Synechococcus elongatus (strain PCC 7942) OX=1140 GN=nrtD PE=1 SV=1,Synpcc7942_1236,tier1:Gene Name
Synpcc7942_0391,Q31R96,0.435,0.287,0.429, DUF1400 domain-containing protein OS=Synechococcus elongatus (strain PCC 7942) OX=1140 GN=Synpcc7942_0391 PE=4 SV=1,Synpcc7942_0391,locus_tag:Gene Name
Synpcc7942_0284,Q31RK3,0.44,0.407,0.561, Carbon dioxide concentrating mechanism protein CcmK OS=Synechococcus elongatus (strain PCC 7942) OX=1140 GN=Synpcc7942_0284 PE=4 SV=1,Synpcc7942_0284,locus_tag:Gene Name
sodB,P18655,0.444,0.0686,0.139, Superoxide dismutase [Fe] OS=Synechococcus elongatus (strain PCC 7942) OX=1140 GN=sodB PE=3 SV=1,Synpcc7942_0801,tier1:Gene Name
Synpcc7942_2030,Q31LK9,0.449,0.0717,0.144, Phycobilisome rod-core linker polypeptide OS=Synechococcus elongatus (strain PCC 7942) OX=1140 GN=Synpcc7942_2030 PE=3 SV=1,Synpcc7942_2030,locus_tag:Gene Name
psaC,Q31QV2,0.451,0.073,0.146, Photosystem I iron-sulfur center OS=Synechococcus elongatus (strain PCC 7942) OX=1140 GN=psaC PE=3 SV=1,Synpcc7942_0535,tier1:Gene Name
pcyA,Q8KPS9,0.458,0.217,0.347, Phycocyanobilin:ferredoxin oxidoreductase OS=Synechococcus elongatus (strain PCC 7942) OX=1140 GN=pcyA PE=3 SV=1,Synpcc7942_1225,tier1:Gene Name
Synpcc7942_1397,Q31NE2,0.462,0.124,0.222, Uncharacterized protein OS=Synechococcus elongatus (strain PCC 7942) OX=1140 GN=Synpcc7942_1397 PE=4 SV=1,Synpcc7942_1397,locus_tag:Gene Name
lysA,Q31RM5,0.473,0.357,0.511, Diaminopimelate decarboxylase OS=Synechococcus elongatus (strain PCC 7942) OX=1140 GN=lysA PE=3 SV=1,Synpcc7942_0262,tier1:Gene Name
Synpcc7942_2344,Q31KP5,0.478,0.322,0.468, Uncharacterized protein mut3D OS=Synechococcus elongatus (strain PCC 7942) OX=1140 GN=mut3D PE=4 SV=1,Synpcc7942_2344,locus_tag:Gene Name
Synpcc7942_0612,Q31QM5,0.483,0.413,0.567, Citrate synthase OS=Synechococcus elongatus (strain PCC 7942) OX=1140 GN=Synpcc7942_0612 PE=3 SV=1,Synpcc7942_0612,locus_tag:Gene Name
Synpcc7942_2583,Q31K06,0.501,0.0647,0.133, Uncharacterized protein OS=Synechococcus elongatus (strain PCC 7942) OX=1140 GN=Synpcc7942_2583 PE=4 SV=1,Synpcc7942_2583,locus_tag:Gene Name
Synpcc7942_0833,Q31Q05,0.508,0.238,0.368, Uncharacterized protein OS=Synechococcus elongatus (strain PCC 7942) OX=1140 GN=Synpcc7942_0833 PE=4 SV=1,Synpcc7942_0833,locus_tag:Gene Name
Synpcc7942_0488,Q31QZ9,0.534,0.177,0.295, Dihydroorotase OS=Synechococcus elongatus (strain PCC 7942) OX=1140 GN=Synpcc7942_0488 PE=4 SV=1,Synpcc7942_0488,locus_tag:Gene Name
Synpcc7942_1730,Q31MF9,0.538,0.0765,0.151, Thioredoxin domain-containing protein OS=Synechococcus elongatus (strain PCC 7942) OX=1140 GN=Synpcc7942_1730 PE=4 SV=1,Synpcc7942_1730,locus_tag:Gene Name
pgi,Q31LL0,0.554,0.197,0.321, Glucose-6-phosphate isomerase OS=Synechococcus elongatus (strain PCC 7942) OX=1140 GN=pgi PE=3 SV=1,Synpcc7942_2029,tier1:Gene Name
speE,Q31QK9,0.556,0.122,0.218, Polyamine aminopropyltransferase OS=Synechococcus elongatus (strain PCC 7942) OX=1140 GN=speE PE=1 SV=1,Synpcc7942_0628,multi:Gene Name
Synpcc7942_0528,Q31QV9,0.579,0.274,0.413, Lipopolysaccharide biosynthesis proteins LPS OS=Synechococcus elongatus (strain PCC 7942) OX=1140 GN=Synpcc7942_0528 PE=4 SV=1,Synpcc7942_0528,locus_tag:Gene Name
sqdB,Q54734,0.581,0.0504,0.109, SqdB OS=Synechococcus elongatus (strain PCC 7942) OX=1140 GN=sqdB PE=4 SV=1,Synpcc7942_0578,multi:Protein ID
Synpcc7942_0089,Q31S48,0.585,0.1,0.185, Carboxymethylenebutenolidase OS=Synechococcus elongatus (strain PCC 7942) OX=1140 GN=Synpcc7942_0089 PE=4 SV=1,Synpcc7942_0089,locus_tag:Gene Name
Synpcc7942_2070,Q31LG9,0.586,0.103,0.188, Twitching motility protein OS=Synechococcus elongatus (strain PCC 7942) OX=1140 GN=Synpcc7942_2070 PE=4 SV=1,Synpcc7942_2070,locus_tag:Gene Name
psaB,Q31LJ1,0.596,0.0821,0.158, Photosystem I P700 chlorophyll a apoprotein A2 OS=Synechococcus elongatus (strain PCC 7942) OX=1140 GN=psaB PE=3 SV=1,Synpcc7942_2048,tier1:Gene Name
Synpcc7942_1736,Q31MF3,0.6,0.089,0.168, Iron-regulated ABC transporter ATPase subunit SufC OS=Synechococcus elongatus (strain PCC 7942) OX=1140 GN=Synpcc7942_1736 PE=4 SV=1,Synpcc7942_1736,locus_tag:Gene Name
pgk,Q31P73,0.609,0.00312,0.00977, Phosphoglycerate kinase OS=Synechococcus elongatus (strain PCC 7942) OX=1140 GN=pgk PE=3 SV=1,Synpcc7942_1116,multi:Gene Name
hemL,Q31QJ2,0.61,0.0139,0.035," Glutamate-1-semialdehyde 2,1-aminomutase OS=Synechococcus elongatus (strain PCC 7942) OX=1140 GN=hemL PE=1 SV=3",Synpcc7942_0645,tier1:Gene Name
Synpcc7942_0805,Q31Q32,0.611,0.0597,0.124, Uncharacterized protein OS=Synechococcus elongatus (strain PCC 7942) OX=1140 GN=Synpcc7942_0805 PE=4 SV=1,Synpcc7942_0805,locus_tag:Gene Name
Synpcc7942_1001,Q31PI8,0.614,0.131,0.23, Aspartate kinase OS=Synechococcus elongatus (strain PCC 7942) OX=1140 GN=Synpcc7942_1001 PE=4 SV=1,Synpcc7942_1001,locus_tag:Gene Name
dxr,Q31N26,0.617,0.139,0.244, 1-deoxy-D-xylulose 5-phosphate reductoisomerase OS=Synechococcus elongatus (strain PCC 7942) OX=1140 GN=dxr PE=3 SV=1,Synpcc7942_1513,multi:Gene Name
Synpcc7942_2599,Q31JZ0,0.631,0.0632,0.131, Uncharacterized protein OS=Synechococcus elongatus (strain PCC 7942) OX=1140 GN=Synpcc7942_2599 PE=4 SV=1,Synpcc7942_2599,locus_tag:Gene Name
Synpcc7942_1125,Q31P64,0.633,0.16,0.273," Putative CheA signal transduction histidine kinases, no good domain identification OS=Synechococcus elongatus (strain PCC 7942) OX=1140 GN=Synpcc7942_1125 PE=4 SV=1",Synpcc7942_1125,locus_tag:Gene Name
sp|Q31L36|RF1_SYNE7,Q31L36,0.638,0.00424,0.0126, Peptide chain release factor 1 OS=Synechococcus elongatus (strain PCC 7942) OX=1140 GN=prfA PE=3 SV=1,,unresolved
Synpcc7942_0171,Q31RW6,0.641,0.12,0.216, Cysteine synthase OS=Synechococcus elongatus (strain PCC 7942) OX=1140 GN=Synpcc7942_0171 PE=4 SV=1,Synpcc7942_0171,locus_tag:Gene Name
nusG,Q31QK2,0.643,0.00178,0.006, Transcription termination/antitermination protein NusG OS=Synechococcus elongatus (strain PCC 7942) OX=1140 GN=nusG PE=3 SV=1,Synpcc7942_0635,multi:Protein ID
rplP,Q31L14,0.644,0.222,0.349, 50S ribosomal protein L16 OS=Synechococcus elongatus (strain PCC 7942) OX=1140 GN=rplP PE=3 SV=1,Synpcc7942_2225,tier1:Gene Name
sat,Q31RJ2,0.673,0.0846,0.162, Sulfate adenylyltransferase OS=Synechococcus elongatus (strain PCC 7942) OX=1140 GN=sat PE=3 SV=1,Synpcc7942_0295,multi:Gene Name
secE,Q31QK1,0.678,0.204,0.329, Protein translocase subunit SecE OS=Synechococcus elongatus (strain PCC 7942) OX=1140 GN=secE PE=3 SV=1,Synpcc7942_0636,multi:Protein ID
dnaK1,P50020,0.686,0.264,0.401, Chaperone protein dnaK1 OS=Synechococcus elongatus (strain PCC 7942) OX=1140 GN=dnaK1 PE=3 SV=2,Synpcc7942_2073,tier1:Gene Name
tpiA,Q31NS8,0.695,0.127,0.224, Triosephosphate isomerase OS=Synechococcus elongatus (strain PCC 7942) OX=1140 GN=tpiA PE=3 SV=1,Synpcc7942_1261,multi:Gene Name
Synpcc7942_0864,Q31PX5,0.699,0.192,0.315, Uncharacterized protein OS=Synechococcus elongatus (strain PCC 7942) OX=1140 GN=Synpcc7942_0864 PE=4 SV=1,Synpcc7942_0864,locus_tag:Gene Name
cynB,Q7BW13,0.713,0.00916,0.0243, Integral membrane protein OS=Synechococcus elongatus (strain PCC 7942) OX=1140 GN=cynB PE=3 SV=1,Synpcc7942_2106,tier1:Gene Name
Synpcc7942_0790,Q31Q47,0.713,0.0238,0.0565, RNA-binding region RNP-1 OS=Synechococcus elongatus (strain PCC 7942) OX=1140 GN=Synpcc7942_0790 PE=4 SV=1,Synpcc7942_0790,locus_tag:Gene Name
glnB,P0A3F4,0.725,0.00285,0.00906, Nitrogen regulatory protein P-II OS=Synechococcus elongatus (strain PCC 7942) OX=1140 GN=glnB PE=1 SV=1,Synpcc7942_0321,tier1:Gene Name
Synpcc7942_1003,Q31PI6,0.729,0.00127,0.00453," Anthranilate synthase, component I OS=Synechococcus elongatus (strain PCC 7942) OX=1140 GN=Synpcc7942_1003 PE=4 SV=1",Synpcc7942_1003,locus_tag:Gene Name
Synpcc7942_0240,Q31RP7,0.743,0.457,0.616, Uncharacterized protein OS=Synechococcus elongatus (strain PCC 7942) OX=1140 GN=Synpcc7942_0240 PE=3 SV=1,Synpcc7942_0240,locus_tag:Gene Name
sbpA,P27366,0.745,0.176,0.295, Sulfate-binding protein OS=Synechococcus elongatus (strain PCC 7942) OX=1140 GN=sbpA PE=2 SV=1,Synpcc7942_1681,tier1:Gene Name
Synpcc7942_0865,Q31PX4,0.749,0.135,0.237, UPF0234 protein Synpcc7942_0865 OS=Synechococcus elongatus (strain PCC 7942) OX=1140 GN=Synpcc7942_0865 PE=3 SV=1,Synpcc7942_0865,locus_tag:Gene Name
Synpcc7942_1862,Q31M27,0.752,0.0322,0.0737, Uncharacterized protein OS=Synechococcus elongatus (strain PCC 7942) OX=1140 GN=Synpcc7942_1862 PE=4 SV=1,Synpcc7942_1862,locus_tag:Gene Name
mut3G,O05161,0.788,0.176,0.294, Probable 30S ribosomal protein PSRP-3 OS=Synechococcus elongatus (strain PCC 7942) OX=1140 GN=mut3G PE=3 SV=1,,unresolved
Synpcc7942_1508,Q31N31,0.81,0.00779,0.0209, Uncharacterized protein OS=Synechococcus elongatus (strain PCC 7942) OX=1140 GN=Synpcc7942_1508 PE=4 SV=1,Synpcc7942_1508,locus_tag:Gene Name
clpB1,P53533,0.818,0.085,0.162, Chaperone protein ClpB 1 OS=Synechococcus elongatus (strain PCC 7942) OX=1140 GN=clpB1 PE=2 SV=3,Synpcc7942_1089,tier1:Gene Name
ndhK,Q31P08,0.867,0.0414,0.0916, NdhK OS=Synechococcus elongatus (strain PCC 7942) OX=1140 GN=ndhK PE=3 SV=1,Synpcc7942_1181,tier1:Gene Name
hisI,Q31LP4,0.88,0.00158,0.00543, Histidine biosynthesis bifunctional protein HisIE OS=Synechococcus elongatus (strain PCC 7942) OX=1140 GN=hisI PE=3 SV=1,Synpcc7942_1995,tier1:Gene Name
thiG,Q31QR1,0.898,0.0168,0.0417, Thiazole synthase OS=Synechococcus elongatus (strain PCC 7942) OX=1140 GN=thiG PE=3 SV=1,Synpcc7942_0576,multi:Gene Name
rimM,Q31KY0,0.915,0.0254,0.059, Ribosome maturation factor RimM OS=Synechococcus elongatus (strain PCC 7942) OX=1140 GN=rimM PE=3 SV=1,Synpcc7942_2259,tier1:Gene Name
apcF,O50209,0.975,0.00329,0.0102," Allophycocyanin, beta subunit OS=Synechococcus elongatus (strain PCC 7942) OX=1140 GN=apcF PE=3 SV=1",Synpcc7942_2158,tier1:Gene Name
rplL,Q31QK6,0.98,4.27e-05,0.00033, 50S ribosomal protein L7/L12 OS=Synechococcus elongatus (strain PCC 7942) OX=1140 GN=rplL PE=3 SV=1,Synpcc7942_0631,tier1:Gene Name
ribH,Q31KZ5,0.994,0.125,0.222," 6,7-dimethyl-8-ribityllumazine synthase OS=Synechococcus elongatus (strain PCC 7942) OX=1140 GN=ribH PE=3 SV=1",Synpcc7942_2244,tier1:Gene Name
clpP3,Q9L4P3,1.01,0.172,0.29, ATP-dependent Clp protease proteolytic subunit 3 OS=Synechococcus elongatus (strain PCC 7942) OX=1140 GN=clpP3 PE=3 SV=1,Synpcc7942_2537,tier1:Gene Name
Synpcc7942_1364,Q31NH5,1.01,9.55e-05,0.000564, Uncharacterized protein OS=Synechococcus elongatus (strain PCC 7942) OX=1140 GN=Synpcc7942_1364 PE=4 SV=1,Synpcc7942_1364,locus_tag:Gene Name
upp,Q31MH4,1.01,0.00361,0.0111, Uracil phosphoribosyltransferase OS=Synechococcus elongatus (strain PCC 7942) OX=1140 GN=upp PE=3 SV=1,Synpcc7942_1715,tier1:Gene Name
argD,Q31PP6,1.02,0.0473,0.103, Acetylornithine aminotransferase OS=Synechococcus elongatus (strain PCC 7942) OX=1140 GN=argD PE=3 SV=1,Synpcc7942_0943,multi:Gene Name
Synpcc7942_1406,Q31ND3,1.02,0.000716,0.00286, ATPase OS=Synechococcus elongatus (strain PCC 7942) OX=1140 GN=Synpcc7942_1406 PE=3 SV=1,Synpcc7942_1406,locus_tag:Gene Name
Synpcc7942_0919,Q31PS0,1.03,0.00937,0.0246, Uncharacterized protein OS=Synechococcus elongatus (strain PCC 7942) OX=1140 GN=Synpcc7942_0919 PE=4 SV=1,Synpcc7942_0919,locus_tag:Gene Name
efp,Q54760,1.04,0.00411,0.0123, Elongation factor P OS=Synechococcus elongatus (strain PCC 7942) OX=1140 GN=efp PE=3 SV=1,Synpcc7942_2565,tier1:Gene Name
rbfA,Q31RD2,1.04,0.058,0.122, Ribosome-binding factor A OS=Synechococcus elongatus (strain PCC 7942) OX=1140 GN=rbfA PE=3 SV=1,Synpcc7942_0355,tier1:Gene Name
Synpcc7942_1015,Q31PH4,1.05,0.00539,0.0155, Methyl-accepting chemotaxis sensory transducer OS=Synechococcus elongatus (strain PCC 7942) OX=1140 GN=Synpcc7942_1015 PE=4 SV=1,Synpcc7942_1015,locus_tag:Gene Name
Synpcc7942_1908,Q31LY1,1.05,0.00544,0.0155, Uncharacterized protein OS=Synechococcus elongatus (strain PCC 7942) OX=1140 GN=Synpcc7942_1908 PE=4 SV=1,Synpcc7942_1908,locus_tag:Gene Name
psb27,Q31RE4,1.08,0.000942,0.00356, Photosystem II lipoprotein Psb27 OS=Synechococcus elongatus (strain PCC 7942) OX=1140 GN=psb27 PE=3 SV=1,Synpcc7942_0343,tier1:Gene Name
Synpcc7942_1002,Q31PI7,1.08,0.0534,0.113, Photosystem I reaction center subunit II OS=Synechococcus elongatus (strain PCC 7942) OX=1140 GN=Synpcc7942_1002 PE=4 SV=1,Synpcc7942_1002,locus_tag:Gene Name
hemF,Q31QG3,1.1,8.11e-05,0.000511, Oxygen-dependent coproporphyrinogen-III oxidase OS=Synechococcus elongatus (strain PCC 7942) OX=1140 GN=hemF PE=3 SV=1,Synpcc7942_0674,multi:Gene Name
cugP,Q31LR6,1.11,0.00628,0.0174, UTP--glucose-1-phosphate uridylyltransferase OS=Synechococcus elongatus (strain PCC 7942) OX=1140 GN=cugP PE=3 SV=1,Synpcc7942_1973,tier1:Gene Name
sp|P38044|NRTB_SYNE7 Nitrate import,P38044,1.11,0.0852,0.162, Nitrate import permease protein NrtB OS=Synechococcus elongatus (strain PCC 7942) OX=1140 GN=nrtB PE=1 SV=1,,unresolved
psaL,P95822,1.13,0.155,0.265, Photosystem I reaction center subunit XI OS=Synechococcus elongatus (strain PCC 7942) OX=1140 GN=psaL PE=3 SV=1,Synpcc7942_2342,tier1:Gene Name
Synpcc7942_0399,Q31R88,1.13,0.0296,0.0682, Uncharacterized protein OS=Synechococcus elongatus (strain PCC 7942) OX=1140 GN=Synpcc7942_0399 PE=4 SV=1,Synpcc7942_0399,locus_tag:Gene Name
psb28,Q31ML0,1.16,7.62e-05,0.000491, Photosystem II reaction center Psb28 protein OS=Synechococcus elongatus (strain PCC 7942) OX=1140 GN=psb28 PE=3 SV=1,Synpcc7942_1679,tier1:Gene Name
Synpcc7942_0415,Q31R72,1.18,4.93e-05,0.00035, Uncharacterized protein OS=Synechococcus elongatus (strain PCC 7942) OX=1140 GN=Synpcc7942_0415 PE=4 SV=1,Synpcc7942_0415,locus_tag:Gene Name
