gene_names,gene,locus_tag_ncbi,locus_tag,source,start,end,strand,Note,exception,inference,product,protein_id,Ontology_term,go_component,go_function,go_process,old_locus_tags
pstA,pstA,BSR22_RS06910,BSR22_06895,Protein Homology,1243685,1244578,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_019476385.1,phosphate ABC transporter permease PstA,WP_077141486.1,"GO:0006817,GO:0015415,GO:0005886,GO:0055052","plasma membrane|0005886||IEA,ATP-binding cassette (ABC) transporter complex%2C substrate-binding subunit-containing|0055052||IEA",ATPase-coupled phosphate ion transmembrane transporter activity|0015415||IEA,phosphate ion transport|0006817||IEA,BSR22_06895
pstB,pstB,BSR22_RS06915,BSR22_06900,Protein Homology,1244579,1245388,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_012007538.1,phosphate ABC transporter ATP-binding protein PstB,WP_077141485.1,"GO:0006817,GO:0005524,GO:0015415,GO:0009898,GO:0055052","cytoplasmic side of plasma membrane|0009898||IEA,ATP-binding cassette (ABC) transporter complex%2C substrate-binding subunit-containing|0055052||IEA","ATP binding|0005524||IEA,ATPase-coupled phosphate ion transmembrane transporter activity|0015415||IEA",phosphate ion transport|0006817||IEA,BSR22_06900
BSR22_RS09575,,BSR22_RS09575,BSR22_RS09575,Protein Homology,1245782,1245928,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_002808068.1,hypothetical protein,WP_002808068.1,,,,,
BSR22_RS06920,,BSR22_RS06920,BSR22_06905,Protein Homology,1246111,1246413,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_012007539.1,hypothetical protein,WP_077141484.1,,,,,BSR22_06905
pdeM,pdeM,BSR22_RS06925,BSR22_06910,Protein Homology,1246617,1247267,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011376286.1,ligase-associated DNA damage response endonuclease PdeM,WP_077141483.1,GO:0016787,,hydrolase activity|0016787||IEA,,BSR22_06910
BSR22_RS06930,,BSR22_RS06930,BSR22_06915,Protein Homology,1247268,1249754,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_012007541.1,ligase-associated DNA damage response DEXH box helicase,WP_077141482.1,"GO:0003676,GO:0016818",,"nucleic acid binding|0003676||IEA,hydrolase activity%2C acting on acid anhydrides%2C in phosphorus-containing anhydrides|0016818||IEA",,BSR22_06915
BSR22_RS06935,,BSR22_RS06935,BSR22_06920,Protein Homology,1249751,1251391,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011376288.1,ATP-dependent DNA ligase,WP_077141481.1,"GO:0006281,GO:0006310,GO:0003677,GO:0003910,GO:0005524",,"DNA binding|0003677||IEA,DNA ligase (ATP) activity|0003910||IEA,ATP binding|0005524||IEA","DNA repair|0006281||IEA,DNA recombination|0006310||IEA",BSR22_06920
BSR22_RS06940,,BSR22_RS06940,BSR22_06925,Protein Homology,1251394,1252380,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011862764.1,ligase-associated DNA damage response exonuclease,WP_077141480.1,,,,,BSR22_06925
BSR22_RS06945,,BSR22_RS06945,BSR22_06930,Protein Homology,1252416,1252829,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011818232.1,competence protein ComC,WP_077141479.1,,,,,BSR22_06930
BSR22_RS06950,,BSR22_RS06950,BSR22_06935,Protein Homology,1252914,1253195,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011818233.1,translation initiation factor IF-2 N-terminal domain-containing protein,WP_025894354.1,,,,,BSR22_06935
BSR22_RS06955,,BSR22_RS06955,BSR22_06940,Protein Homology,1253292,1254611,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011818234.1,DUF2130 domain-containing protein,WP_077141478.1,,,,,BSR22_06940
BSR22_RS06960,,BSR22_RS06960,BSR22_06945,Protein Homology,1254743,1255111,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011818235.1,hypothetical protein,WP_025931740.1,,,,,BSR22_06945
BSR22_RS06965,,BSR22_RS06965,BSR22_06950,Protein Homology,1255341,1255544,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_002807883.1,hypothetical protein,WP_077141477.1,,,,,BSR22_06950
BSR22_RS09580,,BSR22_RS09580,BSR22_RS09580,Protein Homology,1255571,1255744,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_012007547.1,hypothetical protein,WP_011818237.1,,,,,
BSR22_RS06970,,BSR22_RS06970,BSR22_06955,Protein Homology,1255881,1256087,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011820163.1,hypothetical protein,WP_077141476.1,,,,,BSR22_06955
BSR22_RS06975,,BSR22_RS06975,BSR22_06960,Protein Homology,1256102,1256296,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011862772.1,hypothetical protein,WP_011818239.1,,,,,BSR22_06960
BSR22_RS06980,,BSR22_RS06980,BSR22_06965,Protein Homology,1256440,1256622,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_012007549.1,hypothetical protein,WP_077141475.1,,,,,BSR22_06965
BSR22_RS09750,,BSR22_RS09750,BSR22_RS09750,GeneMarkS-2+,1256799,1256927,-,,,COORDINATES: ab initio prediction:GeneMarkS-2+,hypothetical protein,WP_257473210.1,,,,,
BSR22_RS06985,,BSR22_RS06985,BSR22_06970,Protein Homology,1256937,1257287,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_002807646.1,alpha-2-macroglobulin,WP_077141474.1,,,,,BSR22_06970
BSR22_RS09585,,BSR22_RS09585,BSR22_RS09585,Protein Homology,1257329,1257505,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011818243.1,hypothetical protein,WP_198025614.1,,,,,
BSR22_RS06990,,BSR22_RS06990,BSR22_06975,Protein Homology,1257585,1258022,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_002806656.1,hypothetical protein,WP_077142627.1,,,,,BSR22_06975
BSR22_RS06995,,BSR22_RS06995,BSR22_06980,Protein Homology,1258151,1258420,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011376301.1,hypothetical protein,WP_077141473.1,,,,,BSR22_06980
BSR22_RS09590,,BSR22_RS09590,BSR22_06985,Protein Homology,1258434,1258640,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_012007554.1,hypothetical protein,WP_077141472.1,,,,,BSR22_06985
BSR22_RS07005,,BSR22_RS07005,BSR22_06990,Protein Homology,1258681,1258959,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_002808091.1,DUF2103 domain-containing protein,WP_025922313.1,,,,,BSR22_06990
petN,petN,BSR22_RS07010,BSR22_06995,Protein Homology,1259075,1259176,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011376303.1,cytochrome b6-f complex subunit PetN,WP_011376303.1,,,,,BSR22_06995
psb29,psb29,BSR22_RS07015,BSR22_07000,Protein Homology,1259317,1259973,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011818248.1,photosystem II biogenesis protein Psp29,WP_077141471.1,"GO:0010207,GO:0015979",,,"photosystem II assembly|0010207||IEA,photosynthesis|0015979||IEA",BSR22_07000
clpP,clpP,BSR22_RS07020,BSR22_07005,Protein Homology,1260006,1260596,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011818249.1,ATP-dependent Clp endopeptidase proteolytic subunit ClpP,WP_269466542.1,"GO:0006508,GO:0004176,GO:0004252,GO:0009368",endopeptidase Clp complex|0009368||IEA,"ATP-dependent peptidase activity|0004176||IEA,serine-type endopeptidase activity|0004252||IEA",proteolysis|0006508||IEA,BSR22_07005
ftsH,ftsH,BSR22_RS07025,BSR22_07010,Protein Homology,1260593,1262506,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_002806795.1,ATP-dependent zinc metalloprotease FtsH,WP_077141470.1,"GO:0006508,GO:0051301,GO:0004222,GO:0016887,GO:0016020",membrane|0016020||IEA,"metalloendopeptidase activity|0004222||IEA,ATP hydrolysis activity|0016887||IEA","proteolysis|0006508||IEA,cell division|0051301||IEA",BSR22_07010
BSR22_RS07030,,BSR22_RS07030,BSR22_07015,Protein Homology,1262614,1262823,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_012007556.1,NAD(P)H dehydrogenase assembly family protein,WP_077141469.1,GO:0010258,,,NADH dehydrogenase complex (plastoquinone) assembly|0010258||IEA,BSR22_07015
BSR22_RS07035,,BSR22_RS07035,BSR22_07020,Protein Homology,1262825,1264042,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_002807927.1,M16 family metallopeptidase,WP_077141468.1,"GO:0008237,GO:0046872",,"metallopeptidase activity|0008237||IEA,metal ion binding|0046872||IEA",,BSR22_07020
BSR22_RS07040,,BSR22_RS07040,BSR22_07025,Protein Homology,1264036,1265286,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011818253.1,M16 family metallopeptidase,WP_077141467.1,"GO:0008237,GO:0046872",,"metallopeptidase activity|0008237||IEA,metal ion binding|0046872||IEA",,BSR22_07025
BSR22_RS07045,,BSR22_RS07045,BSR22_07030,Protein Homology,1265328,1266053,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011818254.1,phycocyanobilin:ferredoxin oxidoreductase,WP_077141466.1,,,,,BSR22_07030
BSR22_RS07050,,BSR22_RS07050,BSR22_07035,Protein Homology,1266053,1266967,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011862787.1,HlyD family efflux transporter periplasmic adaptor subunit,WP_077141465.1,,,,,BSR22_07035
devC,devC,BSR22_RS07055,BSR22_07040,Protein Homology,1266967,1268139,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011376312.1,ABC transporter permease DevC,WP_077141464.1,"GO:0006810,GO:0042626,GO:0016020,GO:0043190","membrane|0016020||IEA,ATP-binding cassette (ABC) transporter complex|0043190||IEA",ATPase-coupled transmembrane transporter activity|0042626||IEA,transport|0006810||IEA,BSR22_07040
BSR22_RS07060,,BSR22_RS07060,BSR22_07045,Protein Homology,1268153,1268881,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011818257.1,DevA family ABC transporter ATP-binding protein,WP_077141463.1,,,,,BSR22_07045
BSR22_RS09270,,BSR22_RS09270,BSR22_RS09270,Protein Homology,1268901,1269050,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011127953.1,hypothetical protein,WP_100883531.1,,,,,
BSR22_RS07065,,BSR22_RS07065,BSR22_07050,Protein Homology,1269112,1270023,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011862790.1,glycosyltransferase family 2 protein,WP_077141462.1,GO:0016757,,glycosyltransferase activity|0016757||IEA,,BSR22_07050
rpsB,rpsB,BSR22_RS07070,BSR22_07055,Protein Homology,1270153,1270857,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011818259.1,30S ribosomal protein S2,WP_011818259.1,"GO:0006412,GO:0003735,GO:0015935",small ribosomal subunit|0015935||IEA,structural constituent of ribosome|0003735||IEA,translation|0006412||IEA,BSR22_07055
tsf,tsf,BSR22_RS07075,BSR22_07060,Protein Homology,1270902,1271558,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_002805668.1,translation elongation factor Ts,WP_077141461.1,"GO:0006414,GO:0003746",,translation elongation factor activity|0003746||IEA,translational elongation|0006414||IEA,BSR22_07060
BSR22_RS07080,,BSR22_RS07080,BSR22_07065,Protein Homology,1271563,1272639,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011376318.1,adenylate cyclase,WP_225866704.1,,,,,BSR22_07065
recG,recG,BSR22_RS07085,BSR22_07070,Protein Homology,1272662,1275118,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011818262.1,ATP-dependent DNA helicase RecG,WP_077141459.1,,,,,BSR22_07070
BSR22_RS07090,,BSR22_RS07090,BSR22_07075,Protein Homology,1275176,1275859,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_002805804.1,M15 family metallopeptidase,WP_077141458.1,"GO:0006508,GO:0008237,GO:0016805",,"metallopeptidase activity|0008237||IEA,dipeptidase activity|0016805||IEA",proteolysis|0006508||IEA,BSR22_07075
BSR22_RS07095,,BSR22_RS07095,BSR22_07080,Protein Homology,1275863,1277650,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011862795.1,NADPH-dependent assimilatory sulfite reductase hemoprotein subunit,WP_077141457.1,"GO:0008652,GO:0004783,GO:0051536",,"sulfite reductase (NADPH) activity|0004783||IEA,iron-sulfur cluster binding|0051536||IEA",amino acid biosynthetic process|0008652||IEA,BSR22_07080
glyS,glyS,BSR22_RS07100,BSR22_07085,Protein Homology,1277740,1279893,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011376322.1,glycine--tRNA ligase subunit beta,WP_077141456.1,"GO:0006426,GO:0000166,GO:0004820,GO:0005524,GO:0005737",cytoplasm|0005737||IEA,"nucleotide binding|0000166||IEA,glycine-tRNA ligase activity|0004820||IEA,ATP binding|0005524||IEA",glycyl-tRNA aminoacylation|0006426||IEA,BSR22_07085
chlP,chlP,BSR22_RS07105,BSR22_07090,Protein Homology,1279874,1281214,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_019476133.1,geranylgeranyl reductase,WP_077141455.1,"GO:0015995,GO:0045550",,geranylgeranyl reductase activity|0045550||IEA,chlorophyll biosynthetic process|0015995||IEA,BSR22_07090
BSR22_RS07110,,BSR22_RS07110,BSR22_07095,Protein Homology,1281328,1282041,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011818266.1,M15 family metallopeptidase,WP_077141454.1,"GO:0006508,GO:0004181,GO:0008233,GO:0008270,GO:0016787",,"metallocarboxypeptidase activity|0004181||IEA,peptidase activity|0008233||IEA,zinc ion binding|0008270||IEA,hydrolase activity|0016787||IEA",proteolysis|0006508||IEA,BSR22_07095
typA,typA,BSR22_RS07115,BSR22_07100,Protein Homology,1282169,1283965,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_002807661.1,translational GTPase TypA,WP_077141453.1,"GO:0006412,GO:0006950,GO:0003924,GO:0005525",,"GTPase activity|0003924||IEA,GTP binding|0005525||IEA","translation|0006412||IEA,response to stress|0006950||IEA",BSR22_07100
BSR22_RS07120,,BSR22_RS07120,BSR22_07105,Protein Homology,1283977,1284345,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011862800.1,DUF309 domain-containing protein,WP_077141452.1,,,,,BSR22_07105
lptB,lptB,BSR22_RS07125,BSR22_07110,Protein Homology,1284440,1285168,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_002806068.1,LPS export ABC transporter ATP-binding protein,WP_025972040.1,"GO:0015920,GO:0015221,GO:0042626,GO:0043190",ATP-binding cassette (ABC) transporter complex|0043190||IEA,"lipopolysaccharide transmembrane transporter activity|0015221||IEA,ATPase-coupled transmembrane transporter activity|0042626||IEA",lipopolysaccharide transport|0015920||IEA,BSR22_07110
ccsB,ccsB,BSR22_RS07130,BSR22_07115,Protein Homology,1285282,1286211,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011293705.1,c-type cytochrome biogenesis protein CcsB,WP_077141451.1,"GO:0017004,GO:0020037",,heme binding|0020037||IEA,cytochrome complex assembly|0017004||IEA,BSR22_07115
rpe,rpe,BSR22_RS07135,BSR22_07120,Protein Homology,1286236,1286991,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011818271.1,ribulose-phosphate 3-epimerase,WP_077141450.1,"GO:0006098,GO:0004750",,D-ribulose-phosphate 3-epimerase activity|0004750||IEA,pentose-phosphate shunt|0006098||IEA,BSR22_07120
glpX,glpX,BSR22_RS07140,BSR22_07125,Protein Homology,1287178,1288179,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011862804.1,class II fructose-bisphosphatase,WP_025931771.1,"GO:0006071,GO:0006094,GO:0042132",,fructose 1%2C6-bisphosphate 1-phosphatase activity|0042132||IEA,"glycerol metabolic process|0006071||IEA,gluconeogenesis|0006094||IEA",BSR22_07125
BSR22_RS07145,,BSR22_RS07145,BSR22_07130,Protein Homology,1288198,1289508,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_012007576.1,glutamyl-tRNA reductase,WP_077141449.1,GO:0008883,,glutamyl-tRNA reductase activity|0008883||IEA,,BSR22_07130
BSR22_RS07150,,BSR22_RS07150,BSR22_07135,Protein Homology,1289638,1290933,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011243233.1,glucose-1-phosphate adenylyltransferase,WP_025890677.1,"GO:0005978,GO:0008878",,glucose-1-phosphate adenylyltransferase activity|0008878||IEA,glycogen biosynthetic process|0005978||IEA,BSR22_07135
gndA,gndA,BSR22_RS07155,BSR22_07140,Protein Homology,1291029,1292447,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011862807.1,NADP-dependent phosphogluconate dehydrogenase,WP_077141448.1,"GO:0006098,GO:0004616,GO:0050661",,"phosphogluconate dehydrogenase (decarboxylating) activity|0004616||IEA,NADP binding|0050661||IEA",pentose-phosphate shunt|0006098||IEA,BSR22_07140
pgl,pgl,BSR22_RS07160,BSR22_07145,Protein Homology,1292435,1293172,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_012007579.1,6-phosphogluconolactonase,WP_077141447.1,"GO:0005975,GO:0006098,GO:0017057",,6-phosphogluconolactonase activity|0017057||IEA,"carbohydrate metabolic process|0005975||IEA,pentose-phosphate shunt|0006098||IEA",BSR22_07145
BSR22_RS07165,,BSR22_RS07165,BSR22_07150,Protein Homology,1293203,1293751,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_002805476.1,CIA30 family protein,WP_077141446.1,,,,,BSR22_07150
BSR22_RS07170,,BSR22_RS07170,BSR22_07155,Protein Homology,1293741,1294127,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011862810.1,coat-like protein,WP_077141445.1,,,,,BSR22_07155
ilvD,ilvD,BSR22_RS07175,BSR22_07160,Protein Homology,1294149,1295822,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011818279.1,dihydroxy-acid dehydratase,WP_025891605.1,"GO:0009082,GO:0004160,GO:0051536",,"dihydroxy-acid dehydratase activity|0004160||IEA,iron-sulfur cluster binding|0051536||IEA",branched-chain amino acid biosynthetic process|0009082||IEA,BSR22_07160
BSR22_RS07180,,BSR22_RS07180,BSR22_07165,Protein Homology,1295846,1296136,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011820122.1,hypothetical protein,WP_011376338.1,,,,,BSR22_07165
BSR22_RS07185,,BSR22_RS07185,BSR22_07170,Protein Homology,1296166,1296783,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011376339.1,uracil phosphoribosyltransferase,WP_077141444.1,,,,,BSR22_07170
BSR22_RS07190,,BSR22_RS07190,BSR22_07175,Protein Homology,1296847,1297359,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011818281.1,pentapeptide repeat-containing protein,WP_025923079.1,,,,,BSR22_07175
BSR22_RS07195,,BSR22_RS07195,BSR22_07180,Protein Homology,1297369,1298433,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_002805136.1,GTP-binding protein,WP_025923080.1,,,,,BSR22_07180
BSR22_RS09595,,BSR22_RS09595,BSR22_RS09595,Protein Homology,1298480,1298644,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011818283.1,hypothetical protein,WP_198025615.1,,,,,
purS,purS,BSR22_RS07200,BSR22_07185,Protein Homology,1298742,1298996,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_012007587.1,phosphoribosylformylglycinamidine synthase subunit PurS,WP_025928315.1,,,,,BSR22_07185
purQ,purQ,BSR22_RS07205,BSR22_07190,Protein Homology,1298998,1299663,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011376343.1,phosphoribosylformylglycinamidine synthase subunit PurQ,WP_077141443.1,"GO:0006189,GO:0004642",,phosphoribosylformylglycinamidine synthase activity|0004642||IEA,'de novo' IMP biosynthetic process|0006189||IEA,BSR22_07190
fba,fba,BSR22_RS07210,BSR22_07195,Protein Homology,1299712,1300785,-,catalyzes the reversible aldol condensation of dihydroxyacetonephosphate and glyceraldehyde 3-phosphate in the Calvin cycle%2C glycolysis%2C and/or gluconeogenesis,,COORDINATES: similar to AA sequence:RefSeq:WP_011376344.1,class II fructose-bisphosphate aldolase,WP_011376344.1,"GO:0006096,GO:0004332",,fructose-bisphosphate aldolase activity|0004332||IEA,glycolytic process|0006096||IEA,BSR22_07195
BSR22_RS07215,,BSR22_RS07215,BSR22_07200,Protein Homology,1300878,1301975,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011376345.1,Gfo/Idh/MocA family protein,WP_025923082.1,"GO:0000166,GO:0003824",,"nucleotide binding|0000166||IEA,catalytic activity|0003824||IEA",,BSR22_07200
BSR22_RS07220,,BSR22_RS07220,BSR22_07205,Protein Homology,1301978,1302370,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011376346.1,hypothetical protein,WP_025894402.1,,,,,BSR22_07205
accD,accD,BSR22_RS07225,BSR22_07210,Protein Homology,1302372,1303253,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011376347.1,acetyl-CoA carboxylase%2C carboxyltransferase subunit beta,WP_025890687.1,"GO:0006633,GO:0003989,GO:0009317",acetyl-CoA carboxylase complex|0009317||IEA,acetyl-CoA carboxylase activity|0003989||IEA,fatty acid biosynthetic process|0006633||IEA,BSR22_07210
BSR22_RS07230,,BSR22_RS07230,BSR22_07215,Protein Homology,1303393,1304289,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011818291.1,phosphoribulokinase,WP_025881193.1,"GO:0005975,GO:0005524,GO:0008974",,"ATP binding|0005524||IEA,phosphoribulokinase activity|0008974||IEA",carbohydrate metabolic process|0005975||IEA,BSR22_07215
leuB,leuB,BSR22_RS07235,BSR22_07220,Protein Homology,1304379,1305452,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_002805130.1,3-isopropylmalate dehydrogenase,WP_025894403.1,"GO:0009098,GO:0003862",,3-isopropylmalate dehydrogenase activity|0003862||IEA,L-leucine biosynthetic process|0009098||IEA,BSR22_07220
lpxD,lpxD,BSR22_RS07240,BSR22_07225,Protein Homology,1305481,1306515,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011376350.1,UDP-3-O-(3-hydroxymyristoyl)glucosamine N-acyltransferase,WP_077141442.1,"GO:0009245,GO:0016410",,N-acyltransferase activity|0016410||IEA,lipid A biosynthetic process|0009245||IEA,BSR22_07225
proB,proB,BSR22_RS07245,BSR22_07230,Protein Homology,1306535,1307617,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_002806009.1,glutamate 5-kinase,WP_025894405.1,"GO:0006561,GO:0004349,GO:0005737",cytoplasm|0005737||IEA,glutamate 5-kinase activity|0004349||IEA,proline biosynthetic process|0006561||IEA,BSR22_07230
BSR22_RS07250,,BSR22_RS07250,BSR22_07235,Protein Homology,1307614,1308108,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_012007597.1,YqeG family HAD IIIA-type phosphatase,WP_025894406.1,GO:0008962,,phosphatidylglycerophosphatase activity|0008962||IEA,,BSR22_07235
BSR22_RS07255,,BSR22_RS07255,BSR22_07240,Protein Homology,1308114,1308650,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_012007598.1,DUF3727 domain-containing protein,WP_025894407.1,,,,,BSR22_07240
ruvX,ruvX,BSR22_RS07260,BSR22_07245,Protein Homology,1308677,1309138,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_012007599.1,Holliday junction resolvase RuvX,WP_077141441.1,GO:0006364,,,rRNA processing|0006364||IEA,BSR22_07245
BSR22_RS07265,,BSR22_RS07265,BSR22_07250,Protein Homology,1309135,1310190,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_012007600.1,hypothetical protein,WP_077141440.1,,,,,BSR22_07250
BSR22_RS07270,,BSR22_RS07270,BSR22_07255,Protein Homology,1310191,1311357,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011818299.1,hypothetical protein,WP_025922330.1,,,,,BSR22_07255
BSR22_RS07275,,BSR22_RS07275,BSR22_07260,Protein Homology,1311365,1311913,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011862828.1,thylakoid membrane photosystem I accumulation factor,WP_025894411.1,,,,,BSR22_07260
BSR22_RS07280,,BSR22_RS07280,BSR22_07265,Protein Homology,1311928,1313544,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011376358.1,DUF3685 domain-containing protein,WP_077141439.1,,,,,BSR22_07265
hisA,hisA,BSR22_RS07285,BSR22_07270,Protein Homology,1313624,1314391,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011818302.1,1-(5-phosphoribosyl)-5-[(5-phosphoribosylamino)methylideneamino]imidazole-4-carboxamide isomerase,WP_025923088.1,"GO:0000105,GO:0003949",,1-(5-phosphoribosyl)-5-[(5-phosphoribosylamino)methylideneamino]imidazole-4-carboxamide isomerase activity|0003949||IEA,L-histidine biosynthetic process|0000105||IEA,BSR22_07270
BSR22_RS07290,,BSR22_RS07290,BSR22_07275,Protein Homology,1314484,1315404,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011818303.1,NAD-dependent epimerase/dehydratase family protein,WP_077141438.1,GO:0003824,,catalytic activity|0003824||IEA,,BSR22_07275
pgsA,pgsA,BSR22_RS07295,BSR22_07280,Protein Homology,1315378,1315890,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_012007606.1,CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase,WP_423246153.1,"GO:0008654,GO:0008444,GO:0016020",membrane|0016020||IEA,CDP-diacylglycerol-glycerol-3-phosphate 3-phosphatidyltransferase activity|0008444||IEA,phospholipid biosynthetic process|0008654||IEA,BSR22_07280
BSR22_RS07300,,BSR22_RS07300,BSR22_07285,Protein Homology,1316108,1316719,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011818305.1,PCC domain-containing protein,WP_025923091.1,,,,,BSR22_07285
BSR22_RS07305,,BSR22_RS07305,BSR22_07290,Protein Homology,1316730,1316918,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011376363.1,hypothetical protein,WP_025923092.1,,,,,BSR22_07290
BSR22_RS07310,,BSR22_RS07310,BSR22_07295,Protein Homology,1316945,1317604,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_012007608.1,SDR family oxidoreductase,WP_025959896.1,,,,,BSR22_07295
nth,nth,BSR22_RS07315,BSR22_07300,Protein Homology,1317639,1318292,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011862835.1,endonuclease III,WP_025881233.1,"GO:0006281,GO:0140078",,class I DNA-(apurinic or apyrimidinic site) endonuclease activity|0140078||IEA,DNA repair|0006281||IEA,BSR22_07300
BSR22_RS07320,,BSR22_RS07320,BSR22_07305,Protein Homology,1318388,1319446,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011862836.1,ABC transporter ATP-binding protein,WP_025923094.1,"GO:0005524,GO:0016887,GO:0042626,GO:0140359",,"ATP binding|0005524||IEA,ATP hydrolysis activity|0016887||IEA,ATPase-coupled transmembrane transporter activity|0042626||IEA,ABC-type transporter activity|0140359||IEA",,BSR22_07305
BSR22_RS07325,,BSR22_RS07325,BSR22_07310,Protein Homology,1319690,1320244,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011376367.1,ferritin,WP_025923095.1,,,,,BSR22_07310
BSR22_RS07330,,BSR22_RS07330,BSR22_07315,Protein Homology,1320230,1320517,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011376368.1,hypothetical protein,WP_025923096.1,,,,,BSR22_07315
BSR22_RS07335,,BSR22_RS07335,BSR22_07320,Protein Homology,1320522,1321109,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011862839.1,Crp/Fnr family transcriptional regulator,WP_077141437.1,"GO:0003677,GO:0030552",,"DNA binding|0003677||IEA,cAMP binding|0030552||IEA",,BSR22_07320
