Accession,Peptide count,Unique peptides,Confidence score,Description,Light 1,Light 2,Light 3,Light Glu nM 1,Light Glu nM 2,Light Glu nM 3,Light Glu mM 1,Light Glu mM 2,Light Glu mM 3,Darkness 1,Darkness 2,Darkness 3,Darkness Glu nM 1,Darkness Glu nM 2,Darkness Glu nM 3,Darkness Glu mM 1,Darkness Glu mM 2,Darkness Glu mM 3,Light1,Light2,Light3,Light Glu nM 1.1,Light Glu nM 2.1,Light Glu nM 3.1,Light Glu mM 1.1,Light Glu mM 2.1,Light Glu mM 3.1,Darkness1,Darkness2,Darkness3,Darkness Glu nM 1.1,Darkness Glu nM 2.1,Darkness Glu nM 3.1,Darkness Glu mM 1.1,Darkness Glu mM 2.1,Darkness Glu mM 3.1,Marinobacter_MED4,Light avg,Light Glu nM avg,Light Glu mM avg,Darkness  avg,Darkness Glu nM avg,Darkness Glu mM avg,FC G nM/L,FC G mM/L,FC G nM/D,FC G mM/D,t.test G nM/L,t.test G mM/L,t.test G nM/O,t.test G mM/O,log2FC.GnM.L,log2FC.GmM.L,log2FC.GnM.D,log2FC.GmM.D
E4PF59,4.0,4.0,10.6225267,Glyceraldehyde-3-phosphate dehydrogenase OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=HP15_2175 PE=3 SV=1,40506.5622,156862.487,63245.5936,36778.9606,32515.6209,63983.3326,87827.1312,313457.235,85422.0034,48663.6191,37161.4012,59749.8733,46409.527,40890.9712,31785.3912,48943.1676,109776.752,196550.984,0.000611856,0.000786825,0.000362989,0.000415801,0.000450184,0.000370511,0.000218277,0.000807745,0.00015891,0.00036079,0.000450373,0.00059641,0.000636229,0.000515665,0.000289972,0.000152934,0.000285412,0.00070063,Glyceraldehyde-3-phosphate dehydrogenase OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=HP15_2175 PE=3 SV=1,0.000587223,0.000412165,0.000394977,0.000469191,0.000480622,0.000379659,0.7,0.67,1.02,0.81,0.111,0.125,0.476,0.228,-0.5145731728297583,-0.5777669993169522,0.02856915219677092,-0.3040061868900999
E4PFR6,4.0,4.0,13.6569004,Ribonuclease E OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=rne PE=3 SV=1,5083.76163,75452.1009,23128.1383,8310.52144,4608.12441,30101.3383,63712.6446,56440.9554,47613.2023,10871.8781,4521.74047,14268.8016,5138.05609,3194.41467,19859.7306,76259.7881,152404.561,60778.9773,7.68e-05,0.000378469,0.000132741,9.4e-05,6.38e-05,0.000174309,0.000158345,0.000145442,8.86e-05,8.06e-05,5.48e-05,0.000142428,7.04e-05,4.03e-05,0.000181177,0.000238291,0.000396241,0.000216654,Ribonuclease E OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=rne PE=3 SV=1,0.000196,0.000110688,0.000130787,9.26e-05,9.73e-05,0.000283729,0.56,0.67,1.05,3.06,0.268,0.275,0.405,0.068,-0.8365012677171204,-0.5777669993169522,0.070389327891398,1.613531652917927
E4PGY7,7.0,7.0,23.141571,Succinyl-diaminopimelate desuccinylase OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=dapE PE=3 SV=1,45687.9259,107179.044,136998.939,169892.627,44046.1741,89118.309,208969.636,63515.4601,346808.062,131508.357,45491.0968,51907.1184,54917.9802,36235.3871,112232.642,128038.6,159167.998,208058.792,0.000690121,0.000537612,0.000786286,0.001920704,0.000609827,0.000516061,0.000519353,0.000163672,0.000645163,0.000974997,0.000551324,0.000518125,0.000752871,0.000456955,0.001023878,0.000400086,0.000413826,0.000741651,Succinyl-diaminopimelate desuccinylase OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=dapE PE=3 SV=1,0.00067134,0.001015531,0.00044273,0.000681482,0.000744568,0.000518521,1.51,0.66,1.09,0.76,0.264,0.044,0.403,0.277,0.5945485495503542,-0.5994620704162712,0.12432813500220177,-0.3959286763311392
E4PHN5,2.0,2.0,6.6023891,Uncharacterized protein OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=HP15_1236 PE=4 SV=1,56833.6865,490300.637,12168.1221,2332.71011,255317.01,15611.1441,65746.2327,756562.331,52976.1009,60780.3229,177198.559,7252.69837,28136.4577,188625.566,10006.2933,404270.093,812861.153,23503.1591,0.000858479,0.002459358,6.98e-05,2.64e-05,0.003534906,9.04e-05,0.000163399,0.001949579,9.86e-05,0.000450623,0.002147535,7.24e-05,0.000385723,0.002378706,9.13e-05,0.001263234,0.002113382,8.38e-05,Uncharacterized protein OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=HP15_1236 PE=4 SV=1,0.001129225,0.001217226,0.000737177,0.000890184,0.000951905,0.001153465,1.08,0.65,1.07,1.3,0.444,0.106,0.278,0.22,0.11103131238874395,-0.6214883767462701,0.09761079662642233,0.37851162325372983
E4PRN0,3.0,3.0,9.35968304,Dihydroxy-acid dehydratase OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=ilvD PE=3 SV=1,44338.096,35900.8229,37950.4459,52916.0961,30287.7233,41449.1949,148162.065,46481.5402,108275.658,243708.637,122582.168,13485.3811,48240.7486,103280.962,22632.7335,101286.331,75273.5924,40455.9775,0.000669731,0.000180079,0.000217811,0.000598238,0.000419339,0.000240021,0.000368228,0.000119778,0.000201424,0.001806845,0.001485619,0.000134608,0.000661333,0.001302448,0.000206474,0.000316492,0.000195706,0.00014421,Dihydroxy-acid dehydratase OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=ilvD PE=3 SV=1,0.000355874,0.000419199,0.00022981,0.001142357,0.000723419,0.000218803,1.18,0.65,0.63,0.19,0.281,0.145,0.188,0.094,0.23878685958711648,-0.6214883767462701,-0.6665762662748083,-2.395928676331139
E4PHE3,4.0,4.0,12.3219352,ATP synthase gamma chain OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=atpG PE=3 SV=1,97803.9381,171624.241,257831.228,282526.976,92011.0406,254151.287,610338.788,196264.273,215517.698,190749.193,99835.1997,161262.745,87567.4987,68370.088,149048.706,224043.91,278756.904,395160.006,0.001477338,0.000860871,0.001479786,0.003194081,0.001273908,0.001471723,0.001516878,0.000505752,0.000400925,0.001414206,0.00120994,0.001609689,0.001200464,0.000862197,0.001359745,0.000700076,0.000724748,0.001408597,ATP synthase gamma chain OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=atpG PE=3 SV=1,0.001272665,0.001979904,0.000807852,0.001411278,0.001140802,0.000944474,1.56,0.63,0.81,0.67,0.153,0.146,0.011,0.044,0.6415460290875237,-0.6665762662748083,-0.3040061868900999,-0.5777669993169522
E4PG14,4.0,4.0,14.8238964,Response regulator receiver domain protein (CheY) OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=HP15_3514 PE=4 SV=1,3831.16785,177200.924,248604.042,6376.07028,2129.8844,227409.349,20613.6584,485034.28,105775.909,9083.43772,1097.14805,13315.0186,2034.99913,1525.52235,33035.6668,24211.6101,172349.998,827220.221,5.79e-05,0.000888844,0.001426828,7.21e-05,2.95e-05,0.001316868,5.12e-05,0.001249881,0.000196774,6.73e-05,1.33e-05,0.000132908,2.79e-05,1.92e-05,0.000301379,7.57e-05,0.000448098,0.002948729,Response regulator receiver domain protein (CheY) OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=HP15_3514 PE=4 SV=1,0.000791181,0.000472813,0.000499295,7.12e-05,0.000116171,0.001157494,0.6,0.63,1.63,16.26,0.182,0.303,0.275,0.17,-0.7369655941662062,-0.6665762662748083,0.7048719644563528,4.023255352300303
E4PR03,2.0,2.0,9.91310263,"Glycine betaine/proline ABC transporter, periplasmic glycine betaine/proline-binding protein OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=HP15_3296 PE=4 SV=1",32740.4291,202383.558,236477.024,33548.8726,24508.5194,162432.397,149166.327,278415.324,381385.578,54020.2129,60280.9098,59851.3725,36167.9586,37675.4352,50446.7419,180293.692,140272.136,220636.07,0.000494548,0.00101516,0.001357227,0.000379284,0.000339324,0.000940603,0.000370724,0.000717446,0.000709487,0.000400503,0.000730567,0.000597423,0.000495827,0.000475115,0.000460217,0.000563369,0.000364698,0.000786485,"Glycine betaine/proline ABC transporter, periplasmic glycine betaine/proline-binding protein OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=HP15_3296 PE=4 SV=1",0.000955645,0.00055307,0.000599219,0.000576164,0.000477053,0.000571517,0.58,0.63,0.83,0.99,0.065,0.073,0.219,0.491,-0.7858751946471527,-0.6665762662748083,-0.2688167584278,-0.014499569695115089
E4PN43,4.0,4.0,14.2056322,"Phosphonate ABC transporter, periplasmic phosphonate-binding protein OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=HP15_1728 PE=3 SV=1",197236.342,433197.664,350720.666,82420.8999,420537.255,279461.984,420607.385,721364.19,829464.337,318547.145,845103.701,220478.196,262110.357,646290.888,142110.873,481081.531,624128.6,352832.466,0.002979275,0.002172928,0.002012912,0.000931801,0.005822407,0.001618291,0.001045337,0.001858878,0.001543043,0.002361694,0.010242127,0.002200764,0.003593275,0.008150199,0.001296452,0.001503249,0.00162269,0.001257715,"Phosphonate ABC transporter, periplasmic phosphonate-binding protein OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=HP15_1728 PE=3 SV=1",0.002388372,0.002790833,0.001482419,0.004934862,0.004346642,0.001461218,1.17,0.62,0.88,0.3,0.417,0.111,0.303,0.155,0.22650852980867975,-0.6896598793878495,-0.18442457113742744,-1.7369655941662063
E4PHN8,4.0,4.0,11.1486201,Phosphoribosylformylglycinamidine synthase OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=purL PE=3 SV=1,8228.77521,62612.2047,12369.7772,4.83246392,56952.4295,2693.05282,1639.68,103005.629,22815.2716,10397.6832,83551.6987,4293.00439,30366.0306,67523.9644,95.1525828,14449.5883,37772.3292,34081.9545,0.000124296,0.000314064,7.1e-05,5.46e-08,0.000788516,1.56e-05,4.08e-06,0.000265434,4.24e-05,7.71e-05,0.001012594,4.29e-05,0.000416288,0.000851526,8.68e-07,4.52e-05,9.82e-05,0.000121489,Phosphoribosylformylglycinamidine synthase OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=purL PE=3 SV=1,0.000169785,0.000268055,0.000103984,0.000377511,0.000422894,8.83e-05,1.58,0.61,1.12,0.23,0.328,0.071,0.396,0.227,0.6599245584023783,-0.7131188522118385,0.16349873228287956,-2.1202942337177118
E4PHU9,6.0,6.0,17.2842472,Leucine--tRNA ligase OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=leuS PE=3 SV=1,53369.144,73972.7146,87499.5112,89076.9274,90042.9817,100941.474,138858.876,100022.778,210330.235,158301.54,95524.457,63402.9857,67913.2766,85878.0542,24994.1335,116568.601,139450.72,118167.549,0.000806146,0.000371049,0.000502191,0.00100705,0.00124666,0.000584526,0.000345107,0.000257748,0.000391275,0.001173641,0.001157697,0.000632874,0.000931024,0.001082985,0.000228017,0.000364245,0.000362562,0.000421223,Leucine--tRNA ligase OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=leuS PE=3 SV=1,0.000559795,0.000946079,0.000331376,0.00098807,0.000747342,0.000382677,1.69,0.59,0.76,0.39,0.129,0.094,0.064,0.046,0.7570232465074596,-0.7612131404128835,-0.3959286763311392,-1.3584539709124763
E4PLX8,8.0,8.0,27.9098111,50S ribosomal protein L1 OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=rplA PE=3 SV=1,117597.653,210828.73,273845.998,151177.498,91664.5159,265005.34,97945.7835,811399.191,146526.813,81142.096,428285.474,273282.75,104937.846,142053.861,159012.541,85099.0165,190205.718,606343.528,0.001776325,0.001057521,0.001571701,0.001709122,0.00126911,0.001534576,0.000243425,0.002090888,0.000272582,0.000601584,0.005190551,0.002727847,0.001438594,0.001791403,0.001450643,0.000265911,0.000494521,0.002161386,50S ribosomal protein L1 OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=rplA PE=3 SV=1,0.001468515,0.00150427,0.000868965,0.002839994,0.001560213,0.00097394,1.02,0.59,0.55,0.34,0.362,0.27,0.203,0.159,0.02856915219677092,-0.7612131404128835,-0.862496476250065,-1.5563933485243853
E4PLY4,6.0,6.0,26.5441124,30S ribosomal protein S7 OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=rpsG PE=3 SV=1,297155.377,1074826.9,372572.571,667858.613,371969.287,404274.222,590466.215,2027376.23,145408.863,323685.07,180334.12,106960.226,312290.216,206525.948,71908.5795,426556.647,2448066.94,774204.001,0.004488562,0.005391354,0.002138328,0.00755041,0.005149976,0.002341046,0.001467488,0.00522433,0.000270502,0.002399787,0.002185536,0.001067653,0.004281191,0.002604443,0.000656009,0.001332873,0.006364802,0.002759746,30S ribosomal protein S7 OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=rpsG PE=3 SV=1,0.004006081,0.005013811,0.002320773,0.001884325,0.002513881,0.003485807,1.25,0.58,1.33,1.85,0.216,0.09,0.223,0.201,0.32192809488736235,-0.7858751946471527,0.41142624572646497,0.8875252707415875
E4PGX1,3.0,3.0,9.42559481,Fumarate hydratase class I OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=HP15_1143 PE=3 SV=1,12339.1917,7406.78861,19316.2755,2268.38842,2006.52416,26415.1748,30723.1611,12965.4179,41332.6124,7597.89543,17282.4863,4317.05027,4135.17384,16720.3888,7492.18358,27610.48,36622.5214,154837.328,0.000186385,3.72e-05,0.000110863,2.56e-05,2.78e-05,0.000152963,7.64e-05,3.34e-05,7.69e-05,5.63e-05,0.000209453,4.31e-05,5.67e-05,0.000210856,6.83e-05,8.63e-05,9.52e-05,0.000551937,Fumarate hydratase class I OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=HP15_1143 PE=3 SV=1,0.000111467,6.88e-05,6.22e-05,0.000102958,0.000111965,0.000244476,0.62,0.56,1.09,2.37,0.278,0.13,0.192,0.265,-0.6896598793878495,-0.8365012677171204,0.12432813500220177,1.2448870591235344
E4PMG7,13.0,13.0,46.9799855,S-adenosylmethionine synthase OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=metK PE=3 SV=1,543756.773,589297.223,700012.647,59449.9655,379779.1,630026.273,911692.735,1564169.81,1041169.99,670681.16,395360.874,430521.741,356858.971,271713.557,482173.143,583592.955,796532.886,343979.957,0.008213501,0.002955927,0.004017624,0.000672106,0.005258104,0.003648317,0.002265834,0.004030697,0.001936877,0.0049724,0.004791526,0.004297371,0.004892185,0.003426506,0.00439878,0.001823569,0.002070929,0.001226159,S-adenosylmethionine synthase OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=metK PE=3 SV=1,0.005062351,0.003192842,0.002744469,0.004687099,0.004239157,0.001706886,0.63,0.54,0.9,0.36,0.295,0.186,0.217,0.001,-0.6665762662748083,-0.888968687611256,-0.15200309344504995,-1.4739311883324124
E4PPG9,3.0,3.0,9.50863624,Transcription elongation factor GreA OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=greA PE=3 SV=1,57260.6506,352468.248,97122.0093,41226.3516,94954.123,90157.5609,150223.187,226711.125,385582.417,228660.165,117173.749,62096.8998,87467.9365,110108.038,39190.1835,359028.025,516228.904,228958.171,0.000864928,0.001767988,0.000557418,0.00046608,0.001314655,0.000522079,0.00037335,0.00058421,0.000717295,0.001695276,0.001420072,0.000619837,0.001199099,0.001388543,0.000357525,0.001121865,0.001342159,0.00081615,Transcription elongation factor GreA OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=greA PE=3 SV=1,0.001063445,0.000767605,0.000558285,0.001245062,0.000981722,0.001093391,0.72,0.52,0.79,0.88,0.076,0.161,0.094,0.285,-0.4739311883324124,-0.9434164716336325,-0.3400754415976217,-0.18442457113742744
E4PRQ2,6.0,6.0,18.2500842,Phosphate-specific transport system accessory protein PhoU OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=HP15_3385 PE=3 SV=1,69401.7445,35974.6893,35532.4083,40247.9887,36099.5529,26280.5637,134683.41,71380.6379,119958.161,145933.531,54863.76,25146.0207,40827.9064,65562.2896,4107.72508,120870.862,70029.639,93176.7931,0.00104832,0.00018045,0.000203933,0.00045502,0.000499804,0.000152184,0.000334729,0.00018394,0.000223157,0.001081945,0.000664914,0.000251002,0.00055971,0.000826788,3.75e-05,0.000377689,0.000182072,0.00033214,Phosphate-specific transport system accessory protein PhoU OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=HP15_3385 PE=3 SV=1,0.000477568,0.000369003,0.000247275,0.000665954,0.000474658,0.0002973,0.77,0.52,0.71,0.45,0.361,0.221,0.218,0.128,-0.3770696490798233,-0.9434164716336325,-0.4941090702700427,-1.15200309344505
E4PKF6,7.0,7.0,29.2301886,Nucleoside diphosphate kinase OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=ndk PE=3 SV=1,109160.98,431564.325,598416.491,71313.0875,72403.9639,708250.46,442558.336,483726.481,734960.682,127416.702,79713.3213,111826.837,99604.7406,87311.9092,205522.82,169919.656,240214.599,904222.78,0.001648888,0.002164736,0.003434527,0.000806223,0.001002445,0.004101292,0.001099892,0.001246511,0.001367239,0.000944662,0.000966075,0.00111623,0.001365483,0.001101067,0.001874948,0.000530953,0.000624541,0.003223214,Nucleoside diphosphate kinase OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=ndk PE=3 SV=1,0.00241605,0.001969987,0.001237881,0.001008989,0.001447166,0.001459569,0.82,0.51,1.43,1.45,0.256,0.062,0.068,0.321,-0.2863041851566411,-0.9714308478032291,0.5160151470036647,0.5360529002402097
E4PLY2,24.0,24.0,94.8730147,DNA-directed RNA polymerase subunit beta' OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=rpoC PE=3 SV=1,614060.09,663540.585,769262.682,955159.66,225722.554,804284.652,1181705.32,1292262.93,1260529.87,1377599.23,225265.734,353668.129,348502.548,211908.886,676039.837,967766.814,1258867.68,573173.365,0.00927544,0.003328333,0.004415075,0.010798464,0.003125166,0.004657401,0.002936897,0.003330022,0.002344949,0.010213459,0.002730079,0.003530236,0.004777626,0.002672325,0.006167391,0.003024008,0.003272967,0.002043147,DNA-directed RNA polymerase subunit beta' OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=rpoC PE=3 SV=1,0.005672949,0.006193677,0.002870623,0.005491258,0.004539114,0.002780041,1.09,0.51,0.83,0.51,0.21,0.136,0.364,0.181,0.12432813500220177,-0.9714308478032291,-0.2688167584278,-0.9714308478032291
E4PPA7,2.0,2.0,6.51399016,Secreted protein containing motility protein FimV OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=HP15_1830 PE=4 SV=1,32166.3032,187544.034,45232.4277,117985.781,52685.4519,31290.5389,54905.9038,252155.391,32684.8506,3506.15157,32726.1823,13215.8956,30077.6263,19806.4276,27487.1586,217897.572,240939.94,26845.4168,0.000485875,0.000940725,0.000259605,0.001333877,0.000729439,0.000181195,0.000136458,0.000649777,6.08e-05,2.6e-05,0.000396621,0.000131918,0.000412335,0.000249773,0.00025076,0.000680871,0.000626427,9.57e-05,Secreted protein containing motility protein FimV OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=HP15_1830 PE=4 SV=1,0.000562068,0.00074817,0.000282346,0.000184844,0.00030429,0.000467664,1.33,0.5,1.65,2.53,0.316,0.012,0.259,0.148,0.41142624572646497,-1.0,0.722466024471091,1.3391373849195853
E4PP77,3.0,3.0,9.21932793,30S ribosomal protein S6 OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=rpsF PE=3 SV=1,69441.3739,258007.222,97615.867,39394.2944,77179.2432,32591.3519,92348.937,418189.62,74719.6143,252883.436,221759.469,25082.6953,78137.9523,216088.21,12000.0789,231933.917,364047.475,195864.024,0.001048919,0.00129417,0.000560253,0.000445368,0.001068559,0.000188728,0.000229515,0.001077629,0.000139,0.001874866,0.002687586,0.00025037,0.001071194,0.00272503,0.000109475,0.00072473,0.000946498,0.000698181,30S ribosomal protein S6 OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=rpsF PE=3 SV=1,0.00096778,0.000567552,0.000482048,0.001604274,0.0013019,0.000789803,0.59,0.5,0.81,0.49,0.034,0.056,0.179,0.169,-0.7612131404128835,-1.0,-0.3040061868900999,-1.0291463456595165
E4PGE5,4.0,4.0,23.946342,Purine-binding chemotaxis protein CheW OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=HP15_2292 PE=4 SV=1,1700405.34,2652166.6,491921.09,1974733.92,1667954.15,503952.414,2514232.75,2987456.8,3627823.14,3874505.17,1698834.84,401272.811,1278926.8,1772250.5,456054.24,2795995.07,3324850.34,1830728.68,0.025684796,0.013303323,0.002823312,0.022325161,0.023093099,0.002918256,0.006248634,0.007698354,0.006748798,0.028725407,0.020588813,0.004005415,0.017532826,0.02234937,0.004160502,0.008736724,0.008644377,0.006525858,Purine-binding chemotaxis protein CheW OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=HP15_2292 PE=4 SV=1,0.013937143,0.016112172,0.006898595,0.017773212,0.014680899,0.007968986,1.16,0.49,0.83,0.45,0.318,0.204,0.264,0.137,0.21412480535284734,-1.0291463456595165,-0.2688167584278,-1.15200309344505
E4PQT8,7.0,7.0,26.2425711,Aspartate--tRNA(Asp/Asn) ligase OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=aspS PE=3 SV=1,36714.415,63166.9347,77354.58,28303.7172,41834.5076,112254.429,35052.9578,159203.152,82328.7777,75600.4382,66978.9291,44762.7868,38686.2204,41556.5291,201002.265,17364.0531,72786.3241,146747.372,0.000554575,0.000316847,0.000443966,0.000319985,0.000579206,0.000650036,8.71e-05,0.000410249,0.000153155,0.000560498,0.000811743,0.000446812,0.00053035,0.000524058,0.001833708,5.43e-05,0.000189239,0.000523099,Aspartate--tRNA(Asp/Asn) ligase OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=aspS PE=3 SV=1,0.000438462,0.000516409,0.000216841,0.000606351,0.000962705,0.000255532,1.18,0.49,1.59,0.42,0.334,0.156,0.282,0.123,0.23878685958711648,-1.0291463456595165,0.6690267655096307,-1.2515387669959646
E4PNC9,9.0,9.0,30.5609028,Oxidoreductase Fe-S binding subunit OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=HP15_483 PE=4 SV=1,85997.4327,69009.9141,323298.147,168991.698,93886.4095,264133.88,155926.37,287612.418,318266.165,79276.3592,237138.039,223226.866,112210.295,178261.28,246230.839,81734.4345,228882.628,189299.447,0.001299,0.000346155,0.001855524,0.001910519,0.001299873,0.00152953,0.000387524,0.000741146,0.000592067,0.000587751,0.002873964,0.002228201,0.001538293,0.002248005,0.00224632,0.000255398,0.000595079,0.000674781,Oxidoreductase Fe-S binding subunit OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=HP15_483 PE=4 SV=1,0.001166893,0.001579974,0.000573579,0.001896639,0.002010872,0.000508419,1.35,0.49,1.06,0.27,0.197,0.18,0.413,0.067,0.43295940727610627,-1.0291463456595165,0.08406426478847455,-1.8889686876112561
E4PL81,5.0,5.0,13.429935,Succinate--CoA ligase [ADP-forming] subunit alpha OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=sucD PE=3 SV=1,82516.8752,75204.5684,167439.23,98278.9779,47754.2458,216363.307,77316.4856,141856.378,330553.749,102980.582,104171.891,68225.4771,57603.6348,103837.814,53066.8274,51495.474,100564.008,340135.931,0.001246426,0.000377228,0.000960994,0.001111083,0.000661165,0.001252903,0.000192155,0.000365549,0.000614925,0.000763493,0.001262498,0.000681011,0.000789689,0.00130947,0.000484119,0.000160909,0.000261459,0.001212457,Succinate--CoA ligase [ADP-forming] subunit alpha OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=sucD PE=3 SV=1,0.000861549,0.001008384,0.000390876,0.000902334,0.000861093,0.000544942,1.17,0.45,0.95,0.6,0.204,0.133,0.325,0.259,0.22650852980867975,-1.15200309344505,-0.07400058144377693,-0.7369655941662062
E4PP91,7.0,7.0,22.7224467,Phospho-2-dehydro-3-deoxyheptonate aldolase OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=HP15_1814 PE=3 SV=1,88095.2494,127175.727,170455.407,183257.398,93777.4727,236275.17,172477.565,170260.599,247469.938,84600.753,47867.3775,133649.754,86502.1142,41467.6614,135457.929,48652.6654,107873.432,189153.053,0.001330688,0.000637916,0.000978305,0.002071799,0.001298365,0.001368207,0.000428659,0.000438743,0.000460365,0.000627226,0.000580123,0.001334062,0.001185859,0.000522937,0.001235759,0.000152026,0.000280463,0.000674259,Phospho-2-dehydro-3-deoxyheptonate aldolase OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=HP15_1814 PE=3 SV=1,0.000982303,0.001579457,0.000442589,0.000847137,0.000981518,0.000368916,1.61,0.45,1.16,0.44,0.015,0.059,0.296,0.022,0.6870606883398924,-1.15200309344505,0.21412480535284734,-1.1844245711374275
E4PNH7,2.0,2.0,5.73344588,Acetolactate synthase OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=HP15_531 PE=3 SV=1,415.946759,6793.92227,23069.9344,3427.95285,619.363737,20753.9336,671.443985,27448.8289,2896.01386,3557.66575,764.646464,380.892261,554.67925,562.618963,638.671842,1058.07719,4670.36774,230885.801,6.28e-06,3.41e-05,0.000132407,3.88e-05,8.58e-06,0.000120181,1.67e-06,7.07e-05,5.39e-06,2.64e-05,9.27e-06,3.8e-06,7.6e-06,7.1e-06,5.83e-06,3.31e-06,1.21e-05,0.000823021,Acetolactate synthase OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=HP15_531 PE=3 SV=1,5.76e-05,5.58e-05,2.59e-05,1.31e-05,6.84e-06,0.00027949,0.97,0.45,0.52,21.26,0.465,0.293,0.213,0.219,-0.043943347587597055,-1.15200309344505,-0.9434164716336325,4.41006969175638
E4PII1,5.0,5.0,17.6565106,Methionine--tRNA ligase OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=metG PE=3 SV=1,83740.6008,67338.9853,141064.732,79755.3295,85985.8682,158629.93,116428.525,137726.144,232368.815,111394.751,79260.5292,112682.374,79938.3043,62949.0353,133833.16,69752.2793,117039.351,144050.011,0.00126491,0.000337774,0.000809621,0.000901666,0.001190488,0.000918584,0.00028936,0.000354905,0.000432273,0.000825876,0.000960588,0.00112477,0.001095875,0.000793833,0.001220936,0.000217957,0.000304294,0.000513484,Methionine--tRNA ligase OS=Marinobacter adhaerens (strain DSM 23420 / HP15) OX=225937 GN=metG PE=3 SV=1,0.000804102,0.00100358,0.000358846,0.000970411,0.001036882,0.000345245,1.25,0.45,1.07,0.36,0.315,0.131,0.326,0.0,0.32192809488736235,-1.15200309344505,0.09761079662642233,-1.4739311883324124
