 Locus tag,Gene abbreviation,"RPKM1 ,           Shew 3-18-1_ax   High light,      high O2               (control)","RPKM1,             Syn 7002   Shew 3-18-1   co-culture lactate","RPKM1,             Syn 7002   Shew 3-18-1   co-culture HCO3-","Fold change,                   Co-culture lactate                    vs.                                             axenic control","Fold change,                   Co-culture HCO3-                    vs.                                             axenic control","Fold change,                   Co-culture HCO3-                    vs.                                            co-culture lactate",Curated Product Descriptor,Main Role,Subrole,Subsystem,Predicted Localization,Regulon,resolved_locus_tag,resolution_method
SputW3181_0687,,35.4,5.4,4.0,0.15,0.11,0.74,HAE1 family effllux pump permease component,Transport and binding proteins,Unknown substrate,,Inner Membrane (12 transmembrane spans),,Sputw3181_0687,locus_tag_ci: Locus tag
SputW3181_1005,,8.4,18.9,30.4,2.26,3.63,1.61,periplasmic substrate binding protein family 3,Transport and binding proteins,Unknown substrate,,Periplasm,,Sputw3181_1005,locus_tag_ci: Locus tag
SputW3181_1280,,6.5,13.5,24.0,2.07,3.69,1.78,periplasmic solute binding protein,Transport and binding proteins,Unknown substrate,,Periplasm,,Sputw3181_1280,locus_tag_ci: Locus tag
SputW3181_1341,,4.7,10.8,7.2,2.32,1.55,0.67,periplasmic substrate binding protein family 1,Transport and binding proteins,Unknown substrate,,Periplasm,,Sputw3181_1341,locus_tag_ci: Locus tag
SputW3181_1372,,16.7,37.8,40.0,2.26,2.39,1.06,RND superfamily efflux pump MFP component,Transport and binding proteins,Unknown substrate,,Inner Membrane Lipoprotein,,Sputw3181_1372,locus_tag_ci: Locus tag
SputW3181_1732,,4.7,14.9,11.2,3.19,2.41,0.75,RND superfamily efflux pump permease component 2,Transport and binding proteins,Unknown substrate,,Inner Membrane (14 transmembrane spans),,Sputw3181_1732,locus_tag_ci: Locus tag
SputW3181_1733,,3.7,14.9,6.4,3.99,1.72,0.43,RND superfamily efflux pump MFP component,Transport and binding proteins,Unknown substrate,,Inner Membrane Lipoprotein,,Sputw3181_1733,locus_tag_ci: Locus tag
SputW3181_1813,,37.2,78.3,104.9,2.1,2.82,1.34,MMPL family efflux pump,Transport and binding proteins,Unknown substrate,,Inner Membrane (12 transmembrane spans),,Sputw3181_1813,locus_tag_ci: Locus tag
SputW3181_3239,,28.8,63.5,71.3,2.2,2.47,1.12,TRAP transporter substrate-binding component,Transport and binding proteins,Unknown substrate,,Inner Membrane Lipoprotein,,Sputw3181_3239,locus_tag_ci: Locus tag
SputW3181_3540,,254.0,90.5,111.3,0.36,0.44,1.23,10 TMS drug/metabolite efflux pump (DME) family,Transport and binding proteins,Unknown substrate,,Inner Membrane (10 transmembrane spans),,Sputw3181_3540,locus_tag_ci: Locus tag
SputW3181_3576,,0.9,4.1,4.0,4.35,4.3,0.99,ABC-type transport system substrate-binding component,Transport and binding proteins,Unknown substrate,,Periplasm,,Sputw3181_3576,locus_tag_ci: Locus tag
SputW3181_0723,,122.8,32.4,25.6,0.26,0.21,0.79,thiol-disulphide oxidoreductase DCC family,Unknown function,Enzymes of unknown specificity,,Cytoplasm,,Sputw3181_0723,locus_tag_ci: Locus tag
SputW3181_0736,,1.9,5.4,5.6,2.9,3.01,1.04,predicted ATP-dependent endonuclease OLD family,Unknown function,Enzymes of unknown specificity,,Cytoplasm,,Sputw3181_0736,locus_tag_ci: Locus tag
SputW3181_1688,,201.0,59.4,27.2,0.3,0.14,0.46,SAM-dependent methyltransferase type 11,Unknown function,Enzymes of unknown specificity,,Cytoplasm,,Sputw3181_1688,locus_tag_ci: Locus tag
SputW3181_2300,,9.3,4.1,4.0,0.44,0.43,0.99,catalytic subunit of aromatic ring-opening dioxygenase,Unknown function,Enzymes of unknown specificity,,Cytoplasm,,Sputw3181_2300,locus_tag_ci: Locus tag
SputW3181_3058,,2836.0,6444.3,5419.2,2.27,1.91,0.84,transamidase with YqeY domain,Unknown function,Enzymes of unknown specificity,,Cytoplasm,,Sputw3181_3058,locus_tag_ci: Locus tag
SputW3181_3499,,97.7,293.1,110.5,3.0,1.13,0.38,CMP/dCMP deaminase zinc-binding,Unknown function,Enzymes of unknown specificity,,Cytoplasm,,Sputw3181_3499,locus_tag_ci: Locus tag
SputW3181_3539,,61.4,20.3,38.4,0.33,0.63,1.9,hydrolase haloacid dehalogenase-like family,Unknown function,Enzymes of unknown specificity,,Cytoplasm,,Sputw3181_3539,locus_tag_ci: Locus tag
SputW3181_3647,,95.8,25.7,4.8,0.27,0.05,0.19,cell-cell signaling protein C-factor,Unknown function,Enzymes of unknown specificity,,Cytoplasm,,Sputw3181_3647,locus_tag_ci: Locus tag
SputW3181_3652,,78.2,248.5,59.3,3.18,0.76,0.24,ATP-dependent protease La (LON) domain protein,Unknown function,Enzymes of unknown specificity,,Cytoplasm,,Sputw3181_3652,locus_tag_ci: Locus tag
SputW3181_3689,,14.9,47.3,0.0,3.18,0.01,0.0,acteyltransferase GNAT family,Unknown function,Enzymes of unknown specificity,,Cytoplasm,,Sputw3181_3689,locus_tag_ci: Locus tag
SputW3181_3718,,38.1,14.9,32.8,0.39,0.86,2.21,HAD-superfamily hydrolase subfamily IA variant 1 family protein,Unknown function,Enzymes of unknown specificity,,Cytoplasm,,Sputw3181_3718,locus_tag_ci: Locus tag
SputW3181_0025,,58.6,124.3,54.4,2.12,0.93,0.44,peptidoglycan-binding protein,Unknown function,General,,Periplasm,,Sputw3181_0025,locus_tag_ci: Locus tag
SputW3181_0033,,76.3,17.6,24.8,0.23,0.33,1.41,protein of unknown function DUF1488,Unknown function,General,,Cytoplasm,,Sputw3181_0033,locus_tag_ci: Locus tag
SputW3181_0099,,44.7,5.4,16.0,0.12,0.36,2.96,histidine-rich protein of unknown function DUF3300,Unknown function,General,,Periplasm,,Sputw3181_0099,locus_tag_ci: Locus tag
SputW3181_0223,,12.1,48.6,5.6,4.02,0.46,0.12,periplasmic protein of unknown function DUF4124,Unknown function,General,,Periplasm,,Sputw3181_0223,locus_tag_ci: Locus tag
SputW3181_0231,,228.9,82.4,75.3,0.36,0.33,0.91,protein of unknown function DUF323,Unknown function,General,,Cytoplasm,,Sputw3181_0231,locus_tag_ci: Locus tag
SputW3181_0563,,1415.2,2989.1,281.8,2.11,0.2,0.09,conserved lysine rich protein,Unknown function,General,,Cytoplasm,,Sputw3181_0563,locus_tag_ci: Locus tag
SputW3181_0615,,30.7,769.9,34.4,25.07,1.12,0.04,putative outer membrane protein TIGR02001 family,Unknown function,General,,Outer Membrane,,Sputw3181_0615,locus_tag_ci: Locus tag
SputW3181_0618,,6.5,2.7,0.0,0.41,0.02,0.05,hypothetical inner membrane protein,Unknown function,General,,Inner Membrane (4 transmembrane spans),,Sputw3181_0618,locus_tag_ci: Locus tag
SputW3181_0620,,11.2,25.7,44.0,2.3,3.94,1.72,hypothetical periplasmic protein,Unknown function,General,,Inner Membrane (1 transmembrane span),,Sputw3181_0620,locus_tag_ci: Locus tag
SputW3181_0621,,323.8,90.5,137.7,0.28,0.43,1.52,periplasmic protein of unknown function DUF3016,Unknown function,General,,Periplasm,,Sputw3181_0621,locus_tag_ci: Locus tag
SputW3181_0628,,122.8,39.2,19.2,0.32,0.16,0.49,membrane protein,Unknown function,General,,Inner Membrane (1 transmembrane span),,Sputw3181_0628,locus_tag_ci: Locus tag
SputW3181_0675,,8.4,4.1,6.4,0.48,0.76,1.58,protein of unknown function DUF1566,Unknown function,General,,Extracelllular,,Sputw3181_0675,locus_tag_ci: Locus tag
SputW3181_0706,,480.1,91.8,160.1,0.19,0.33,1.74,hypothetical protein,Unknown function,General,,Cytoplasm,,Sputw3181_0706,locus_tag_ci: Locus tag
SputW3181_0713,,26.1,89.1,0.0,3.42,0.0,0.0,conserved hypothetical protein,Unknown function,General,,Inner Membrane (1 transmembrane span),,Sputw3181_0713,locus_tag_ci: Locus tag
SputW3181_0768,,27.9,156.7,37.6,5.61,1.35,0.24,conserved hypothetical protein,Unknown function,General,,Periplasm,,Sputw3181_0768,locus_tag_ci: Locus tag
SputW3181_0791,,3899.6,55.4,248.2,0.01,0.06,4.48,hypothetical protein,Unknown function,General,,Cytoplasm,,Sputw3181_0791,locus_tag_ci: Locus tag
SputW3181_0809,,3.7,12.2,0.0,3.27,0.03,0.01,putative periplasmic protein of unknown function,Unknown function,General,,Periplasm,,Sputw3181_0809,locus_tag_ci: Locus tag
SputW3181_0841,,16.7,44.6,77.7,2.66,4.64,1.74,DNA binding domain-containing protein,Unknown function,General,,Cytoplasm,,Sputw3181_0841,locus_tag_ci: Locus tag
SputW3181_0979,,5.6,24.3,0.0,4.35,0.02,0.01,conserved hypothetical protein,Unknown function,General,,Cytoplasm,,Sputw3181_0979,locus_tag_ci: Locus tag
SputW3181_0980,,9.3,32.4,6.4,3.48,0.69,0.2,protein of unknown function DUF3696,Unknown function,General,,Cytoplasm,,Sputw3181_0980,locus_tag_ci: Locus tag
SputW3181_0981,,8.4,25.7,5.6,3.06,0.67,0.22,hypothetical protein,Unknown function,General,,Cytoplasm,,Sputw3181_0981,locus_tag_ci: Locus tag
SputW3181_1017,,9.3,21.6,9.6,2.32,1.03,0.44,SEC-C motif domain protein,Unknown function,General,,Cytoplasm,,Sputw3181_1017,locus_tag_ci: Locus tag
SputW3181_1023,,13.0,4.1,0.0,0.31,0.01,0.03,membrane protein of unknown function DUF1624,Unknown function,General,,Inner Membrane (9 transmembrane spans),,Sputw3181_1023,locus_tag_ci: Locus tag
SputW3181_1078,,10.2,2.7,0.0,0.26,0.01,0.05,hypothetical protein,Unknown function,General,,Cytoplasm,,Sputw3181_1078,locus_tag_ci: Locus tag
SputW3181_1079,,14.0,5.4,3.2,0.39,0.23,0.59,PRTRC system protein D,Unknown function,General,,Cytoplasm,,Sputw3181_1079,locus_tag_ci: Locus tag
SputW3181_1146,,77.2,32.4,82.5,0.42,1.07,2.54,hypothetical protein,Unknown function,General,,Inner Membrane (2 transmembrane spans),,Sputw3181_1146,locus_tag_ci: Locus tag
SputW3181_1158,,375.0,160.7,116.9,0.43,0.31,0.73,hypothetical protein,Unknown function,General,,Cytoplasm,,Sputw3181_1158,locus_tag_ci: Locus tag
SputW3181_1176,,13.0,5.4,7.2,0.41,0.55,1.33,hypothetical protein,Unknown function,General,,Inner Membrane (4 transmembrane spans),,Sputw3181_1176,locus_tag_ci: Locus tag
SputW3181_1249,,73.5,8.1,3.2,0.11,0.04,0.4,protein of unknown function DUF1852,Unknown function,General,,Cytoplasm,,Sputw3181_1249,locus_tag_ci: Locus tag
SputW3181_1290,,147.0,364.7,229.8,2.48,1.56,0.63,protein of unknown function DUF2375,Unknown function,General,,Cytoplasm,,Sputw3181_1290,locus_tag_ci: Locus tag
SputW3181_1295,,14.0,56.7,81.7,4.06,5.85,1.44,conserved hypothetical protein,Unknown function,General,,Cytoplasm,,Sputw3181_1295,locus_tag_ci: Locus tag
SputW3181_1320,,41.9,18.9,31.2,0.45,0.75,1.65,outer membrane protein,Unknown function,General,,Outer Membrane,,Sputw3181_1320,locus_tag_ci: Locus tag
SputW3181_1519,,121.9,43.2,15.2,0.35,0.12,0.35,conserved hypothetical protein,Unknown function,General,,Cytoplasm,,Sputw3181_1519,locus_tag_ci: Locus tag
SputW3181_1551,,30.7,109.4,132.9,3.56,4.33,1.21,periplasmic conserved domain protein,Unknown function,General,,Periplasm,,Sputw3181_1551,locus_tag_ci: Locus tag
SputW3181_1572,,16.7,2.7,0.0,0.16,0.01,0.05,uncharacterized membrane protein,Unknown function,General,,Inner Membrane (3 transmembrane spans),,Sputw3181_1572,locus_tag_ci: Locus tag
SputW3181_1587,,13.0,33.8,15.2,2.59,1.17,0.45,hypothetical protein,Unknown function,General,,Cytoplasm,,Sputw3181_1587,locus_tag_ci: Locus tag
SputW3181_1599,,271.7,89.1,119.3,0.33,0.44,1.34,hypothetical protein,Unknown function,General,,Cytoplasm,,Sputw3181_1599,locus_tag_ci: Locus tag
SputW3181_1770,,34.4,77.0,9.6,2.24,0.28,0.12,hypothetical protein,Unknown function,General,,Inner Membrane (1 transmembrane span),,Sputw3181_1770,locus_tag_ci: Locus tag
SputW3181_1810,,70.7,187.7,446.0,2.66,6.31,2.38,outer membrane protein of unknown function DUF1302,Unknown function,General,,Outer Membrane,,Sputw3181_1810,locus_tag_ci: Locus tag
SputW3181_1811,,65.1,206.7,534.1,3.17,8.2,2.58,putative periplasmic protein of unknown function DUF1329,Unknown function,General,,Periplasm,,Sputw3181_1811,locus_tag_ci: Locus tag
SputW3181_1812,,38.1,79.7,162.5,2.09,4.26,2.04,BNR repeat protein,Unknown function,General,,Periplasm,,Sputw3181_1812,locus_tag_ci: Locus tag
SputW3181_1821,,25.1,63.5,31.2,2.53,1.24,0.49,outer membrane lipoprotein,Unknown function,General,,Outer Membrane Lipoprotein,,Sputw3181_1821,locus_tag_ci: Locus tag
SputW3181_1880,,12.1,25.7,0.0,2.12,0.01,0.0,conserved hypothetical protein,Unknown function,General,,Inner Membrane (2 transmembrane spans),,Sputw3181_1880,locus_tag_ci: Locus tag
SputW3181_2022,,7.4,25.7,12.0,3.45,1.61,0.47,conserved hypothetical protein,Unknown function,General,,Cytoplasm,,Sputw3181_2022,locus_tag_ci: Locus tag
SputW3181_2087,,2.8,8.1,6.4,2.9,2.29,0.79,conserved hypothetical protein,Unknown function,General,,Inner Membrane (1 transmembrane span),,Sputw3181_2087,locus_tag_ci: Locus tag
SputW3181_2114,,18.6,5.4,7.2,0.29,0.39,1.33,hypothetical protein,Unknown function,General,,Cytoplasm,,Sputw3181_2114,locus_tag_ci: Locus tag
SputW3181_2198,,2.8,1.4,15.2,0.48,5.45,11.26,conserved hypothetical protein,Unknown function,General,,Periplasm,,Sputw3181_2198,locus_tag_ci: Locus tag
SputW3181_2268,,61.4,152.6,95.3,2.49,1.55,0.62,conserved hypothetical protein,Unknown function,General,,Cytoplasm,,Sputw3181_2268,locus_tag_ci: Locus tag
SputW3181_2329,,21.4,9.5,28.8,0.44,1.35,3.05,SirA-like protein,Unknown function,General,,Cytoplasm,,Sputw3181_2329,locus_tag_ci: Locus tag
SputW3181_2347,,272.6,45.9,17.6,0.17,0.06,0.38,conserved hypothetical protein,Unknown function,General,,Cytoplasm,,Sputw3181_2347,locus_tag_ci: Locus tag
SputW3181_2349,,134.9,27.0,121.7,0.2,0.9,4.51,putative periplasmic protein,Unknown function,General,,Periplasm,,Sputw3181_2349,locus_tag_ci: Locus tag
SputW3181_2544,,58.6,27.0,53.6,0.46,0.92,1.99,membrane protein of unknown function DUF2062,Unknown function,General,,Inner Membrane (3 transmembrane spans),,Sputw3181_2544,locus_tag_ci: Locus tag
SputW3181_2548,,4.7,12.2,0.0,2.61,0.03,0.01,ribbon-helix-helix domain protein,Unknown function,General,,Cytoplasm,,Sputw3181_2548,locus_tag_ci: Locus tag
SputW3181_2554,,47.5,106.7,98.5,2.25,2.08,0.92,conserved domain protein,Unknown function,General,,Cytoplasm,,Sputw3181_2554,locus_tag_ci: Locus tag
SputW3181_2638,,3.7,14.9,3.2,3.99,0.86,0.22,conserved hypothetical protein,Unknown function,General,,Inner Membrane (1 transmembrane span),,Sputw3181_2638,locus_tag_ci: Locus tag
SputW3181_2669,,112.6,286.4,60.9,2.54,0.54,0.21,conserved hypothetical protein,Unknown function,General,,Cytoplasm,,Sputw3181_2669,locus_tag_ci: Locus tag
SputW3181_2707,,1471.1,249.9,157.7,0.17,0.11,0.63,outer membrane lipoprotein,Unknown function,General,,Outer Membrane Lipoprotein,,Sputw3181_2707,locus_tag_ci: Locus tag
SputW3181_2785,,48.4,102.7,30.4,2.12,0.63,0.3,hypothetical protein,Unknown function,General,,Cytoplasm,,Sputw3181_2785,locus_tag_ci: Locus tag
SputW3181_2786,,1184.5,2656.9,813.5,2.24,0.69,0.31,Bon domain protein,Unknown function,General,,Periplasm,,Sputw3181_2786,locus_tag_ci: Locus tag
SputW3181_2815,,15.8,40.5,24.0,2.56,1.52,0.59,protein of unknown function DUF3192,Unknown function,General,,Inner Membrane (1 transmembrane span),,Sputw3181_2815,locus_tag_ci: Locus tag
SputW3181_2871,,70.7,154.0,64.9,2.18,0.92,0.42,conserved hypothetical protein,Unknown function,General,,Cytoplasm,,Sputw3181_2871,locus_tag_ci: Locus tag
SputW3181_2878,,0.0,1.4,13.6,10.98,110.67,10.08,HP1-like phage conserved hypothetical protein,Unknown function,General,,,,Sputw3181_2878,locus_tag_ci: Locus tag
SputW3181_2913,,12.1,24.3,6.4,2.01,0.53,0.26,FRG domain protein,Unknown function,General,,Cytoplasm,,Sputw3181_2913,locus_tag_ci: Locus tag
SputW3181_2914,,3.7,12.2,0.0,3.27,0.03,0.01,hypothetical protein,Unknown function,General,,Inner Membrane (1 transmembrane span),,Sputw3181_2914,locus_tag_ci: Locus tag
SputW3181_2915,,9.3,32.4,0.0,3.48,0.01,0.0,hypothetical protein,Unknown function,General,,Inner Membrane (2 transmembrane spans),,Sputw3181_2915,locus_tag_ci: Locus tag
SputW3181_2917,,4.7,14.9,2.4,3.19,0.52,0.16,KAP P-loop domain protein,Unknown function,General,,Cytoplasm,,Sputw3181_2917,locus_tag_ci: Locus tag
SputW3181_3118,,219.6,1523.6,260.2,6.94,1.19,0.17,protein of unknown function DUF3545,Unknown function,General,,Cytoplasm,,Sputw3181_3118,locus_tag_ci: Locus tag
SputW3181_3154,,76.3,27.0,32.8,0.35,0.43,1.22,protein of unknown function DUF3019,Unknown function,General,,Outer Membrane,,Sputw3181_3154,locus_tag_ci: Locus tag
SputW3181_3182,,147.9,418.7,429.2,2.83,2.9,1.02,protein of unknown function DUF3718,Unknown function,General,,Periplasm,,Sputw3181_3182,locus_tag_ci: Locus tag
SputW3181_3219,,25.1,63.5,0.0,2.53,0.0,0.0,protein of unknown function DUF1568,Unknown function,General,,Cytoplasm,,Sputw3181_3219,locus_tag_ci: Locus tag
SputW3181_3307,,61.4,181.0,23.2,2.95,0.38,0.13,protein of unknown function DUF1568,Unknown function,General,,Cytoplasm,,Sputw3181_3307,locus_tag_ci: Locus tag
SputW3181_3390,,104.2,216.1,248.2,2.07,2.38,1.15,protein of unknown function DUF1456,Unknown function,General,,Cytoplasm,,Sputw3181_3390,locus_tag_ci: Locus tag
SputW3181_3398,,612.2,79.7,130.5,0.13,0.21,1.64,protein of unknown function DUF3149,Unknown function,General,,Inner Membrane (1 transmembrane span),,Sputw3181_3398,locus_tag_ci: Locus tag
SputW3181_3439,,18.6,82.4,39.2,4.43,2.11,0.48,protein of unknown function DUF2292,Unknown function,General,,Cytoplasm,,Sputw3181_3439,locus_tag_ci: Locus tag
SputW3181_3466,,5.6,50.0,0.0,8.95,0.02,0.0,transposase domain protein,Unknown function,General,,Cytoplasm,,Sputw3181_3466,locus_tag_ci: Locus tag
SputW3181_3484,,109.8,511.9,783.9,4.66,7.14,1.53,GEMM-inducible secreted protein,Unknown function,General,,Extracelllular,,Sputw3181_3484,locus_tag_ci: Locus tag
SputW3181_3620,,4.7,9.5,0.0,2.03,0.03,0.01,protein with C-terminal FimV core domain,Unknown function,General,,Periplasm,,Sputw3181_3620,locus_tag_ci: Locus tag
SputW3181_3630,,65.1,144.5,32.0,2.22,0.49,0.22,protein of unknown function DUF465,Unknown function,General,,Cytoplasm,,Sputw3181_3630,locus_tag_ci: Locus tag
SputW3181_3660,,2.8,1.4,6.4,0.48,2.29,4.74,PAP2 family protein,Unknown function,General,,Inner Membrane (3 transmembrane spans),,Sputw3181_3660,locus_tag_ci: Locus tag
SputW3181_3688,,8.4,67.5,16.8,8.06,2.01,0.25,phage Tail Collar domain protein,Unknown function,General,,Cytoplasm,,Sputw3181_3688,locus_tag_ci: Locus tag
SputW3181_3723,,93.0,27.0,32.8,0.29,0.35,1.22,putative lipoprotein,Unknown function,General,,Outer Membrane Lipoprotein,,Sputw3181_3723,locus_tag_ci: Locus tag
SputW3181_3747,,11.2,28.4,71.3,2.54,6.38,2.51,hypothetical protein,Unknown function,General,,Cytoplasm,,Sputw3181_3747,locus_tag_ci: Locus tag
SputW3181_3796,,51.2,131.0,80.9,2.56,1.58,0.62,protein of unknown function DUF1107,Unknown function,General,,Cytoplasm,,Sputw3181_3796,locus_tag_ci: Locus tag
SputW3181_3806,,133.1,55.4,40.8,0.42,0.31,0.74,secreted protein of unknown function DUF500,Unknown function,General,,Extracelllular,,Sputw3181_3806,locus_tag_ci: Locus tag
SputW3181_3830,,251.2,540.3,53.6,2.15,0.21,0.1,conserved hypothetical protein,Unknown function,General,,Inner Membrane (1 transmembrane span),,Sputw3181_3830,locus_tag_ci: Locus tag
SputW3181_3831,,347.1,692.9,191.4,2.0,0.55,0.28,putative orphan protein,Unknown function,General,,Inner Membrane (2 transmembrane spans),,Sputw3181_3831,locus_tag_ci: Locus tag
SputW3181_3832,,708.1,1418.3,446.8,2.0,0.63,0.32,conserved hypothetical protein,Unknown function,General,,Inner Membrane (1 transmembrane span),,Sputw3181_3832,locus_tag_ci: Locus tag
SputW3181_3886,,203.8,33.8,62.5,0.17,0.31,1.85,hypothetical protein,Unknown function,General,,Inner Membrane (2 transmembrane spans),,Sputw3181_3886,locus_tag_ci: Locus tag
SputW3181_3928,,8.4,20.3,21.6,2.42,2.58,1.07,conserved hypothetical lipoprotein,Unknown function,General,,Extracelllular,,Sputw3181_3928,locus_tag_ci: Locus tag
SputW3181_3929,,4.7,13.5,0.0,2.9,0.03,0.01,conserved hypothetical protein,Unknown function,General,,Cytoplasm,,Sputw3181_3929,locus_tag_ci: Locus tag
SputW3181_3965,,3.7,8.1,0.0,2.18,0.03,0.02,hypothetical protein,Unknown function,General,,Cytoplasm,,Sputw3181_3965,locus_tag_ci: Locus tag
SputW3181_3989,,54.9,112.1,26.4,2.04,0.48,0.24,hypothetical protein,Unknown function,General,,Cytoplasm,,Sputw3181_3989,locus_tag_ci: Locus tag
SputW3181_4079,,18.6,51.3,0.0,2.76,0.01,0.0,hypothetical protein,Unknown function,General,,Cytoplasm,,Sputw3181_4079,locus_tag_ci: Locus tag
,,,,,,,,,,,,,,,empty
"1 RPKM is defined as a number of reads per kilobase of transcript per million of mapped reads. If the number of reads that map to a given transcript t is Mt, the length of that transcript is Lt, and the total number of mapped reads is M, such that M= ΣMt, then RPKM = (109*Mt)/(Lt*M)",,,,,,,,,,,,,,Sputw3181_2756,tier1: Locus tag
