Synonym,Product,Expression 9313+1A3 ,Expression med 4,Expression 9313+1A3 .1,Expression med 4.1,qValue 9313+1A3  vs med 4,fold change 9313+1A3/med4+1A3,resolved_locus_tag,resolution_method
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
,,,,,,,,,empty
