Synonym,Product,Expression 9313 t=20 + 0.01,Expression t=20 9313+1A3 + 0.01,q Value,log 2 fold change coculture/axenic,
PMT0054,photosystem I assembly-like protein Ycf37,155.01,133.01,0.106743645,-0.220826575,
PMT0144,hypothetical protein,7.01,6.01,1,-0.222049453,
PMT2058,O-succinylbenzoate synthase,7.01,6.01,1,-0.222049453,
PMT0198,precorrin-2 C20-methyltransferase,21.01,18.01,0.169114167,-0.222277981,
PMT2039,N-acetylglucosamine-6-phosphate deacetylase,28.01,24.01,0.116065097,-0.22230658,
PMT2177,tRNA uridine 5-carboxymethylaminomethyl modification protein GidA,35.01,30.01,0.124680508,-0.222323743,
PMT0052,thiazole synthase,49.01,42.01,0.116890169,-0.222343361,
PMT1569,PA-phosphatase-like phosphoesterase,63.01,54.01,0.132964665,-0.222354261,
PMT0768,hypothetical protein,70.01,60.01,0.123836722,-0.222358077,
PMT1995,glycerol-3-phosphate acyltransferase PlsX,154.01,132.01,0.099769088,-0.222376809,
PMT1252,alpha-ribazole-5'-phosphate phosphatase,97.01,83.01,0.083542281,-0.224848326,
PMT1791,"L,L-diaminopimelate aminotransferase",152.01,130.01,0.091781865,-0.225543639,
PMT1589,hypothetical protein,62.01,53.01,0.139945338,-0.226236349,
PMT0570,heme transporter,117.01,100.01,0.0956081,-0.22648757,
PMT1832,hypothetical protein,103.01,88.01,0.088738388,-0.227045036,
PMT0752,LysM motif-containing protein,151.01,129.01,0.074525984,-0.227161191,
PMT0360,hypothetical protein,137.01,117.01,0.126292075,-0.227649364,
PMT0470,glutathione reductase (NADPH),41.01,35.01,0.143344469,-0.228208682,
PMT0948,metalloprotease (M29),41.01,35.01,0.164287045,-0.228208682,
PMT0985,hypothetical protein,41.01,35.01,0.127051733,-0.228208682,
PMT0761,DHH domain-containing protein,34.01,29.01,0.143274068,-0.229408711,
PMT0793,ribonucleotide reductase (class II),638.01,544.01,0.45285107,-0.229945865,
PMT0395,nitrilase,95.01,81.01,0.137007022,-0.229979361,
PMT1036,hypothetical protein,61.01,52.01,0.144756538,-0.230256693,
PMT1143,homoserine dehydrogenase,61.01,52.01,0.12503645,-0.230256693,
PMT0716,diaminopimelate epimerase,27.01,23.01,0.007693107,-0.231232656,
PMT1400,hypothetical protein,67.01,57.01,0.134577903,-0.233161406,
PMT2086,preprotein translocase subunit SecE,308.01,262.01,0.124135244,-0.233355315,
PMT1370,hypothetical protein,508.01,432.01,0.104732669,-0.233792189,
PMT0437,ROK family protein,20.01,17.01,0.146441494,-0.234338026,
PMT0785,hypothetical protein,73.01,62.01,0.135762656,-0.23559319,
PMT1059,diaminopimelate decarboxylase,73.01,62.01,0.09529791,-0.23559319,
PMT0444,glycogen branching protein,106.01,90.01,0.092624439,-0.236043165,
PMT1992,photosystem I assembly protein Ycf3,139.01,118.01,0.139665788,-0.236279554,
PMT0946,hypothetical protein,86.01,73.01,0.121198091,-0.236410325,
PMT0354,hypothetical protein,33.01,28.01,0.157176329,-0.236961155,
PMT1677,CpeS-like protein,138.01,117.01,0.138632167,-0.238140975,
PMT1994,two-component response regulator,215.01,182.01,0.076122628,-0.240386043,
PMT2073,nicotinate-nucleotide pyrophosphorylase:quinolinate phosphoriobsyl transferase,13.01,11.01,1,-0.240806493,
PMT2096,hypothetical protein,13.01,11.01,1,-0.240806493,
PMT1425,sporulation protein SpoIID,26.01,22.01,0.115671846,-0.240907254,
PMT0532,phosphoribulokinase,463.01,391.01,0.413571032,-0.243837848,
PMT1588,acetyl-CoA carboxylase biotin carboxylase subunit,167.01,141.01,0.09827148,-0.244137011,
PMT1727,recombinase A,262.01,221.01,0.194530944,-0.245510227,
PMT1191,acetyltransferase,70.01,59.01,0.136008618,-0.246601548,
PMT1747,50S ribosomal protein L18,1329.01,1120.01,0.407197692,-0.246840347,
PMT0660,esterase/lipase/thioesterase family protein,19.01,16.01,0.205873684,-0.247785224,
PMT1487,DNA helicase,19.01,16.01,0.148745994,-0.247785224,
PMT1381,hypothetical protein,38.01,32.01,0.128878249,-0.247856348,
PMT1484,adenylosuccinate lyase,120.01,101.01,0.078724173,-0.248656498,
PMT0315,ATP-dependent Clp protease-like protein,328.01,276.01,0.104093217,-0.249019261,
PMT1530,hypothetical protein,220.01,185.01,0.083577031,-0.249965847,
PMT0077,multidrug ABC transporter,144.01,121.01,0.416212019,-0.251042722,
PMT0038,penicillin amidase,169.01,142.01,0.147104562,-0.251116086,
PMT1661,SMF family protein,25.01,21.01,0.126288687,-0.251428896,
PMT2140,thiamine biosynthesis oxidoreductase,25.01,21.01,0.132319667,-0.251428896,
PMT0503,ATLS1-like light-inducible protein,50.01,42.01,0.158540701,-0.251483819,
PMT0669,phosphoribosylaminoimidazole carboxylase ATPase subunit,31.01,26.01,0.12433003,-0.253667127,
PMT1802,p-pantothenate cysteine ligase and p-pantothenenoylcysteine decarboxylase,31.01,26.01,0.153346428,-0.253667127,
PMT0335,dihydrolipoamide dehydrogenase,93.01,78.01,0.09117778,-0.253726763,
PMT2009,NAD(P)H-quinone oxidoreductase subunit F,421.01,353.01,0.395688049,-0.254145449,
PMT1819,hypothetical protein,99.01,83.01,0.095886342,-0.2542891,
PMT1305,methionine aminopeptidase,235.01,197.01,0.11133935,-0.254453286,
PMT0678,ABC transporter,37.01,31.01,0.140675407,-0.25518161,
PMT1124,DNA gyrase subunit A,74.01,62.01,0.113580871,-0.255219327,
PMT1391,hypothetical protein,117.01,98.01,0.131602005,-0.255630971,
PMT2174,"Fatty acid desaturase, type 1",699.01,585.01,0.387837975,-0.256851809,
PMT1800,photosystem II manganese-stabilizing protein,3414.01,2856.01,0.483936448,-0.257466253,
PMT0386,DNA polymerase III subunit epsilon,61.01,51.01,0.150560301,-0.25826563,
PMT0493,hypothetical protein,399.01,333.01,0.109256156,-0.260859403,
PMT0601,glutamine synthetase,790.01,659.01,0.396438945,-0.261570558,
PMT0941,hypothetical protein,6.01,5.01,1,-0.262554388,
PMT1021,small cytokines (intecrine/chemokine),6.01,5.01,1,-0.262554388,
PMT0670,hypothetical protein,12.01,10.01,1,-0.262794177,
PMT1463,hypothetical protein,12.01,10.01,1,-0.262794177,
PMT2074,tRNA modification GTPase TrmE,12.01,10.01,1,-0.262794177,
PMT2220,organic radical activating protein,24.01,20.01,0.162087403,-0.262914236,
PMT0002,hypothetical protein,30.01,25.01,0.126719073,-0.262938261,
PMT0092,hypothetical protein,42.01,35.01,0.134112927,-0.262965724,
PMT1826,thioredoxin,174.01,145.01,0.109477356,-0.263017824,
PMT1988,two-component response regulator,416.01,346.01,0.346535274,-0.265804474,
PMT1683,phycobilisome protein (phycoerythrin beta-subunit),682.01,567.01,0.401860036,-0.266418714,
PMT0424,threonyl-tRNA synthetase,77.01,64.01,0.09387415,-0.266748488,
PMT0939,hypothetical protein,71.01,59.01,0.151573492,-0.267062748,
PMT2149,mechanosensitive ion channel,71.01,59.01,0.116904245,-0.267062748,
PMT1168,helicase domain-containing protein,65.01,54.01,0.15328056,-0.267435106,
PMT0907,octicosapeptide repeat-containing protein,59.01,49.01,0.178720872,-0.267883312,
PMT0195,3-dehydroquinate dehydratase,53.01,44.01,0.128314544,-0.268433169,
PMT0720,D-Ala-D-Ala carboxypeptidase 3,53.01,44.01,0.149378093,-0.268433169,
PMT0125,glutathione peroxidase,412.01,342.01,0.11767819,-0.268640845,
PMT1426,hypothetical protein,47.01,39.01,0.149333076,-0.269123682,
PMT0559,hypothetical protein,722.01,599.01,0.119624081,-0.269438731,
PMT1102,glucose-6-phosphate 1-dehydrogenase,41.01,34.01,0.157568133,-0.270016738,
PMT1774,methanol dehydrogenase beta subunit,41.01,34.01,0.207288615,-0.270016738,
PMT1130,cytochrome b6-f complex subunit PetG,193.01,160.01,0.137799046,-0.270513526,
PMT1514,neuromedin U,35.01,29.01,0.15031704,-0.271216766,
PMT1568,carbonic anhydrase,35.01,29.01,0.224868896,-0.271216766,
PMT2267,phosphoribosylglycinamide formyltransferase 2,64.01,53.01,0.172627671,-0.272032768,
PMT1120,binding-protein dependent transport system inner membrane protein,52.01,43.01,0.149972791,-0.274116907,
PMT2061,glutathione synthetase,115.01,95.01,0.111887459,-0.275608034,
PMT2215,glycine cleavage system aminomethyltransferase T,63.01,52.01,0.166018335,-0.276791772,
PMT0081,"6,7-dimethyl-8-ribityllumazine synthase",845.01,697.01,0.425335948,-0.27778906,
PMT1979,porin,18042.01,14871.01,0.65098266,-0.278857439,
PMT0183,inositol monophosphate family protein,51.01,42.01,0.161426761,-0.280047315,
PMT1328,prenyltransferase,85.01,70.01,0.164358189,-0.280071553,
PMT2167,reductase,153.01,126.01,0.172163916,-0.280087715,
PMT1708,hypothetical protein,79.01,65.01,0.114497842,-0.281373607,
PMT0332,UDP-N-acetylglucosamine 1-carboxyvinyltransferase,231.01,190.01,0.215419361,-0.281879957,
PMT0627,hypothetical protein,214.01,176.01,0.136017409,-0.282020813,
PMT0266,peptide ABC transporter,45.01,37.01,0.141527999,-0.282330429,
PMT1238,hypothetical protein,73.01,60.01,0.134581198,-0.28289115,
PMT2213,spermidine synthase,73.01,60.01,0.158511793,-0.28289115,
PMT2265,hypothetical protein,73.01,60.01,0.159224255,-0.28289115,
PMT1937,Fe-S oxidoreductase,101.01,83.01,0.095881154,-0.283141077,
PMT0090,hypothetical protein,353.01,290.01,0.405305976,-0.283606405,
PMT1303,ligand-binding domain-containing protein,28.01,23.01,0.219315174,-0.283681,
PMT1717,hypothetical protein,28.01,23.01,0.13284348,-0.283681,
PMT0508,"ABC transporter substrate-binding protein, phosphate",39.01,32.01,0.157788252,-0.285321321,
PMT0029,thiamine monophosphate kinase,78.01,64.01,0.18120857,-0.285361764,
PMT1046,light-harvesting complex protein,33229.01,27262.01,0.331916077,-0.285551377,
PMT1896,cytochrome b559 subunit alpha,12676.01,10391.01,0.461910043,-0.286764813,
PMT1713,phosphoenolpyruvate carboxylase,83.01,68.01,0.118687909,-0.287538253,
PMT0891,hypothetical protein,22.01,18.01,0.283123989,-0.289360964,
PMT0007,hypothetical protein,33.01,27.01,0.13550641,-0.289409499,
PMT1082,hypothetical protein,33.01,27.01,0.227586807,-0.289409499,
PMT1232,creatininase,44.01,36.01,0.158287764,-0.289433772,
PMT0741,ribonuclease II,66.01,54.01,0.106666316,-0.28945805,
PMT0721,hypothetical protein,181.01,148.01,0.094430313,-0.29037475,
PMT0673,cytochrome b6-f complex subunit PetN,252.01,206.01,0.138960006,-0.290766613,
PMT0523,hypothetical protein,186.01,152.01,0.125275801,-0.291213949,
PMT0537,"fructose-1,6-bisphosphate aldolase",979.01,800.01,0.405165506,-0.291305563,
PMT1591,hypothetical protein,725.01,592.01,0.410633602,-0.292379349,
PMT0284,porin,1215.01,992.01,0.521304448,-0.292541619,
PMT2088,50S ribosomal protein L11,1034.01,844.01,0.43184279,-0.292918141,
PMT0822,carbamoyl phosphate synthase large subunit,38.01,31.01,0.123301629,-0.293645499,
PMT1762,HNH endonuclease family protein,38.01,31.01,0.157568133,-0.293645499,
PMT0436,gamma-glutamyl phosphate reductase,65.01,53.01,0.168974313,-0.294397114,
PMT0096,capsular polysaccharide biosynthesis protein,43.01,35.01,0.170910991,-0.29690507,
PMT1339,protoheme IX farnesyltransferase,172.01,140.01,0.095963951,-0.296962567,
PMT0616,preprotein translocase subunit SecF,263.01,214.01,0.154594393,-0.297439443,
PMT0341,FKBP-type peptidyl-prolyl cis-trans isomerase (PPIase),445.01,362.01,0.150050127,-0.297808206,
PMT0575,tyrosine binding protein,64.01,52.01,0.131509981,-0.299508271,
PMT1442,DNA-directed RNA polymerase subunit omega,218.01,177.01,0.166950125,-0.300563446,
PMT1666,photosystem II reaction centre T protein,10669.01,8662.01,0.411578119,-0.300652569,
PMT1074,ribose-phosphate pyrophosphokinase,74.01,60.01,0.181803205,-0.302517286,
PMT2084,glyoxalase/bleomycin resistance protein/dioxygenase family protein,74.01,60.01,0.021365515,-0.302517286,
PMT1454,hypothetical protein,447.01,362.01,0.123120351,-0.304277556,
PMT2059,"1,4-dihydroxy-2-naphthoate octaprenyltransferase",21.01,17.01,0.144113557,-0.304693021,
PMT0969,cytochrome ubiquinol oxidase,42.01,34.01,0.21796688,-0.30477378,
PMT1952,GDP-mannose pyrophosphorylase,63.01,51.01,0.143409394,-0.304800709,
PMT0025,hypothetical protein,278.01,225.01,0.144113557,-0.305147658,
PMT0872,CDP-alcohol phosphatidyltransferase,47.01,38.01,0.160899372,-0.306588655,
PMT0272,bacteriochlorophyll/chlorophyll a synthase,463.01,374.01,0.434979169,-0.307966509,
PMT0233,L-cysteine/cystine lyase,26.01,21.01,0.136149057,-0.307990237,
PMT2124,2Fe-2S-binding domain-containing protein,57.01,46.01,0.201887262,-0.309267545,
PMT1167,DNA-binding domain-containing protein,2002.01,1615.01,0.410420483,-0.309906082,
PMT0401,cytoplasmic peptidoglycan synthetase,31.01,25.01,0.148289679,-0.310228468,
PMT1001,ArsR family regulatory protein,31.01,25.01,0.223590986,-0.310228468,
PMT0339,signal peptidase,542.01,437.01,0.122348956,-0.310653176,
PMT0776,carboxyl-terminal processing protease,67.01,54.01,0.164287045,-0.311149859,
PMT1177,cyclophilin-type peptidyl-prolyl cis-trans isomerase,67.01,54.01,0.167373779,-0.311149859,
PMT0739,50S ribosomal protein L33,1059.01,852.01,0.140822451,-0.313773944,
PMT1635,ABC transporter ATP-binding protein,56.01,45.01,0.138855737,-0.315438864,
PMT1171,methyltransferase,112.01,90.01,0.174043085,-0.315470341,
PMT1195,hypothetical protein,122.01,98.01,0.183896472,-0.315998536,
PMT1161,1-deoxy-D-xylulose 5-phosphate reductoisomerase,81.01,65.01,0.144613535,-0.317438353,
PMT0044,cobalt-precorrin-6A synthase,10.01,8.01,1,-0.321567826,
PMT0240,hypothetical protein,10.01,8.01,1,-0.321567826,
PMT0375,bifunctional diaminohydroxyphosphoribosylaminopyrimidine deaminase/5-amino-6-(5-phosphoribosylamino)uracil reductase,10.01,8.01,1,-0.321567826,
PMT1575,membrane permease or ABC transporter component,20.01,16.01,0.149140073,-0.321747859,
PMT1860,two-component sensor histidine kinase,20.01,16.01,0.143274068,-0.321747859,
PMT1719,molybdopterin biosynthesis protein,25.01,20.01,0.171570662,-0.32178389,
PMT1488,8-amino-7-oxononanoate synthase,45.01,36.01,0.174427526,-0.321847965,
PMT1545,ABC transporter ATP-binding protein,65.01,52.01,0.20734118,-0.321872616,
PMT0226,cystathionine gamma-synthase,70.01,56.01,0.194133122,-0.321876578,
PMT1853,ammonium transporter,1313.01,1050.01,0.509428537,-0.322474836,
PMT1048,photosystem II protein Y,4562.01,3646.01,0.415939555,-0.323351091,
PMT1368,50S ribosomal protein L34,433.01,346.01,0.20391269,-0.32358661,
PMT1248,transaldolase/EF-hand domain-containing protein,154.01,123.01,0.11349269,-0.324248426,
PMT1371,inner membrane protein translocase component YidC,769.01,613.01,0.41810876,-0.32709175,
PMT0802,porin,1814.01,1446.01,0.443984071,-0.32710488,
PMT1700,hypothetical protein,64.01,51.01,0.191590395,-0.327517208,
PMT0676,ATP-dependent Clp protease proteolytic subunit,103.01,82.01,0.207485018,-0.328912656,
PMT1506,DNA-directed RNA polymerase subunit gamma,412.01,328.01,0.425240439,-0.328939555,
PMT1239,acetolactate synthase 3 catalytic subunit,93.01,74.01,0.106644269,-0.32966562,
PMT2010,NAD(P)H-quinone oxidoreductase subunit 4,122.01,97.01,0.152070122,-0.33079402,
PMT1402,orotidine 5'-phosphate decarboxylase,39.01,31.01,0.158674708,-0.331110472,
PMT0443,hypothetical protein,136.01,108.01,0.144466566,-0.332547839,
PMT1503,ribosomal RNA large subunit methyltransferase N,87.01,69.01,0.178571458,-0.334375785,
PMT1970,hypothetical protein,212.01,168.01,0.186393752,-0.33558521,
PMT0389,acetyl-coenzyme A synthetase,130.01,103.01,0.144415377,-0.335838197,
PMT0648,aspartyl/glutamyl-tRNA amidotransferase subunit A,101.01,80.01,0.113679514,-0.336245896,
PMT1560,hypothetical protein,24.01,19.01,0.234197199,-0.336876872,
PMT0698,ATP phosphoribosyltransferase regulatory subunit,72.01,57.01,0.202507228,-0.336982265,
PMT2226,ATP-binding subunit of urea ABC transport system,216.01,171.01,0.10776979,-0.337017412,
PMT1316,photosystem I PsaF protein (subunit III),7962.01,6301.01,0.481304954,-0.337549584,
PMT0766,acetazolamide conferring resistance protein Zam,139.01,110.01,0.356932869,-0.337553998,
PMT1233,30S ribosomal protein S1,158.01,125.01,0.144467589,-0.337972359,
PMT1606,cysteine desulfurase activator complex subunit SufB,124.01,98.01,0.114976621,-0.339455602,
PMT1227,GTP cyclohydrolase I,381.01,301.01,0.198123223,-0.340017447,
PMT1957,transketolase,819.01,647.01,1,-0.340093057,
PMT1798,cell division protein FtsH2,295.01,233.01,0.417399679,-0.340371987,
PMT1519,Iron-containing alcohol dehydrogenase,19.01,15.01,0.32453622,-0.340834555,
PMT2274,threonine synthase,114.01,90.01,0.141863148,-0.341003174,
PMT0338,hypothetical protein,674.01,532.01,0.44595257,-0.341316632,
PMT0312,cobalamin biosynthetic protein,71.01,56.01,0.227513916,-0.342337779,
PMT0577,aromatic-ring hydroxylase (flavoprotein monooxygenase),661.01,521.01,0.421211828,-0.343361034,
PMT1865,oxidoreductase,61.01,48.01,0.214519764,-0.345710795,
PMT1991,P-type ATPase transporter for copper,61.01,48.01,0.117050656,-0.345710795,
PMT0897,amino acid ABC transporter substrate-binding protein,75.01,59.01,0.212067716,-0.346123484,
PMT1365,signal peptide peptidase SppA,75.01,59.01,0.209636067,-0.346123484,
PMT0488,integrase zinc binding subunit,70.01,55.01,0.218034826,-0.347867104,
PMT2083,phosphopyruvate hydratase,172.01,135.01,0.156239491,-0.34942617,
PMT0542,CPA1 family Na(+)/H(+) antiporter,51.01,40.01,0.214613576,-0.350419472,
PMT1366,chorismate mutase,208.01,163.01,0.228808224,-0.351692416,
PMT0402,hypothetical protein,97.01,76.01,0.219812383,-0.351944237,
PMT0845,"histidine kinase-, DNA gyrase B-, phy",60.01,47.01,0.208756419,-0.352235249,
PMT1134,hypothetical protein,46.01,36.01,0.218025272,-0.353549857,
PMT0459,hypothetical protein,256.01,200.01,0.228808224,-0.356128031,
PMT0160,thiamine biosynthesis protein ThiC,260.01,203.01,0.414993789,-0.357016316,
PMT0174,major facilitator superfamily multidrug-efflux transporter,41.01,32.01,0.192104245,-0.357453067,
PMT0756,cell division protein FtsH4,82.01,64.01,0.125952304,-0.357502529,
PMT1741,30S ribosomal protein S17,1238.01,966.01,0.353859275,-0.357912939,
PMT0140,DedA family alkaline phosphatase-like protein,59.01,46.01,0.186903117,-0.359012002,
PMT1214,sulfate transporter,893.01,696.01,0.571561853,-0.359568297,
PMT1098,cAMP phosphodiesterase class-II,325.01,253.01,0.141065017,-0.361289701,
PMT0662,transcripton factor,27.01,21.01,0.174719344,-0.362417478,
PMT0783,hypothetical protein,27.01,21.01,0.194736143,-0.362417478,
PMT0040,methyl-accepting chemotaxis protein,36.01,28.01,0.209748151,-0.362455616,
PMT1029,aspartate aminotransferase,36.01,28.01,0.213690301,-0.362455616,
PMT0688,hypothetical protein,45.01,35.01,0.209727439,-0.362478503,
PMT1972,hypothetical protein,108.01,84.01,0.169640836,-0.362531917,
PMT1704,hypothetical protein,126.01,98.01,0.233359038,-0.362537368,
PMT1638,hypothetical protein,233.01,181.01,0.220670816,-0.36432247,
PMT0271,penicillin binding protein,67.01,52.01,0.154000402,-0.365587369,
PMT1858,esterase,49.01,38.01,0.165208727,-0.366697122,
PMT1213,sodium-dependent bicarbonate transporter,276.01,214.01,0.181472414,-0.367042327,
PMT1429,2Fe-2S ferredoxin,3079.01,2387.01,0.429654944,-0.367261943,
PMT2211,nucleoside triphosphate pyrophosphohydrolase,40.01,31.01,0.195489813,-0.367627103,
PMT0321,hypothetical protein,115.01,89.01,0.209462685,-0.369719975,
PMT1273,porphobilinogen deaminase,97.01,75.01,0.215899226,-0.371050529,
PMT0528,hypothetical protein,313.01,242.01,0.123368561,-0.371142087,
PMT0037,SNF2/helicase domain-containing protein,22.01,17.01,0.194736143,-0.371776004,
PMT0277,hypothetical protein,22.01,17.01,0.268849976,-0.371776004,
PMT1040,Sema domain-containing protein,22.01,17.01,0.234452995,-0.371776004,
PMT2092,hypothetical protein,66.01,51.01,0.225836672,-0.371904497,
PMT1872,deoxyribonucleotide triphosphate pyrophosphatase,35.01,27.01,0.184828697,-0.374273422,
PMT1619,protein phosphatase 2C,2188.01,1688.01,0.630494981,-0.374295881,
PMT1386,hypothetical protein,140.01,108.01,0.173352572,-0.374364984,
PMT1536,hypothetical protein,555.01,428.01,0.170910991,-0.374869262,
PMT1205,ribulose bisophosphate carboxylase,520.01,401.01,0.434707988,-0.374901153,
PMT2266,hypothetical protein,48.01,37.01,0.241904113,-0.3754198,
PMT1375,hypothetical protein,122.01,94.01,0.152984012,-0.376113265,
PMT0053,hypothetical protein,161.01,124.01,0.253397726,-0.376693832,
PMT0170,hypothetical protein,13.01,10.01,1,-0.378178988,
PMT1396,hypothetical protein,13.01,10.01,1,-0.378178988,
PMT2171,cystathionine beta-lyase family aluminum resistance protein,13.01,10.01,1,-0.378178988,
PMT0259,hypothetical protein,39.01,30.01,0.164443595,-0.378400679,
PMT2107,universal stress protein,65.01,50.01,0.16549438,-0.378445049,
PMT0441,hypothetical protein,104.01,80.01,0.170032265,-0.378470012,
PMT1890,hypothetical protein,104.01,80.01,0.157572696,-0.378470012,
PMT0606,hypothetical protein,169.01,130.01,0.173399261,-0.378486015,
PMT1369,ribonuclease P protein component,476.01,366.01,0.13284348,-0.379108816,
PMT1976,hypothetical protein,43.01,33.01,0.237086986,-0.381768993,
PMT1947,hypothetical protein,372.01,285.01,0.126012556,-0.384328864,
PMT0501,ABC transporter ATP-binding protein,47.01,36.01,0.229702325,-0.384570081,
PMT1417,two-component sensor histidine kinase,64.01,49.01,0.175195935,-0.385221162,
PMT2158,SNF2/helicase domain-containing protein,64.01,49.01,0.189115043,-0.385221162,
PMT1779,30S ribosomal protein S12,1770.01,1355.01,0.427048235,-0.385454012,
PMT2264,phospho-N-acetylmuramoyl-pentapeptide-transferase,81.01,62.01,0.229625818,-0.385599118,
PMT0623,glutamate dehydrogenase,34.01,26.01,0.197658273,-0.386892607,
PMT1886,2-amino-4-hydroxy-6-hydroxymethyldihydropteridine pyrophosphokinase,34.01,26.01,0.174427526,-0.386892607,
PMT0336,indole-3-glycerol-phosphate synthase,68.01,52.01,0.258199862,-0.386957854,
PMT1407,leucyl aminopeptidase,85.01,65.01,0.165178097,-0.386970906,
PMT1444,HSP70 family molecular chaperone,136.01,104.01,0.188393874,-0.386990486,
PMT1969,hypothetical protein,258.01,197.01,0.202164877,-0.389158122,
PMT1761,peptide chain release factor 1,114.01,87.01,0.176060255,-0.389907247,
PMT0568,"fructose 1,6-bisphosphatase II",585.01,446.01,0.421751939,-0.391385229,
PMT1288,hypothetical protein,21.01,16.01,0.210996575,-0.392102854,
PMT2269,esterase/lipase/thioesterase family protein,21.01,16.01,0.169645058,-0.392102854,
PMT1377,polynucleotide phosphorylase/polyadenylase,1256.01,957.01,0.422013279,-0.392242046,
PMT1176,acetolactate synthase 3 regulatory subunit,105.01,80.01,0.250265737,-0.39227449,
PMT1394,glutamyl/glutaminyl-tRNA synthetase,105.01,80.01,0.227905257,-0.39227449,
PMT1322,cytochrome b6-f complex iron-sulfur subunit,1084.01,825.01,0.434979169,-0.393894554,
PMT1627,DASS family sodium/sulfate transporter,92.01,70.01,0.130327373,-0.394229661,
PMT1769,photosystem I P700 chlorophyll a apoprotein A2,15965.01,12146.01,0.3259805,-0.394430994,
PMT0645,30S ribosomal protein S15,685.01,521.01,0.139945806,-0.394813986,
PMT0003,phosphoribosylformylglycinamidine synthase II,25.01,19.01,0.221469666,-0.395746526,
PMT0374,hypothetical protein,25.01,19.01,0.221469666,-0.395746526,
PMT1922,glycosyltransferase,25.01,19.01,0.160460169,-0.395746526,
PMT1083,ATP-dependent RNA helicase,75.01,57.01,0.162087403,-0.395867941,
PMT0522,hypothetical protein,91.01,69.01,0.14630793,-0.399219642,
PMT1693,hypothetical protein,62.01,47.01,0.25848973,-0.399533209,
PMT0367,phenylalanyl-tRNA synthetase subunit alpha,66.01,50.01,0.271127529,-0.400467993,
PMT1194,hydroxyacylglutathione hydrolase,66.01,50.01,0.236581181,-0.400467993,
PMT1817,isoleucyl-tRNA synthetase,99.01,75.01,0.213690301,-0.400491302,
PMT2029,adenylylsulfate kinase,70.01,53.01,0.218799633,-0.401296466,
PMT1770,photosystem I P700 chlorophyll a apoprotein A1,23415.01,17725.01,0.082656426,-0.401647213,
PMT1406,hypothetical protein,37.01,28.01,0.180355688,-0.401973152,
PMT1919,hypothetical protein,78.01,59.01,0.171361289,-0.402699615,
PMT1743,50S ribosomal protein L24,1822.01,1378.01,0.42837749,-0.40294452,
PMT1712,hypothetical protein,41.01,31.01,0.234383522,-0.403242218,
PMT1707,ATPase,86.01,65.01,0.24788474,-0.403842751,
PMT0603,hypothetical protein,94.01,71.01,0.219315174,-0.40479202,
PMT1885,NUDIX hydrolase,49.01,37.01,0.183193764,-0.405161011,
PMT1253,dihydroorotase,65.01,49.01,0.273139634,-0.407585507,
PMT1671,carbohydrate kinase,81.01,61.01,0.227038162,-0.409054277,
PMT1299,hypothetical protein,85.01,64.01,0.269566635,-0.409335251,
PMT0348,hypothetical protein,89.01,67.01,0.132964665,-0.40959102,
PMT1888,ABC transporter,89.01,67.01,0.28514805,-0.40959102,
PMT2170,glycine cleavage system protein H,178.01,134.01,0.275398807,-0.409617629,
PMT1629,VIC family potassium channel protein,97.01,73.01,0.286208379,-0.410039391,
PMT1314,high light inducible protein,194.01,146.01,0.219812383,-0.410063836,
PMT0258,hypothetical protein,101.01,76.01,0.141184187,-0.410236988,
PMT1126,inosine 5-monophosphate dehydrogenase,101.01,76.01,0.197453918,-0.410236988,
PMT1131,"cytochrome c, class IC:cytochrome c, class I",129.01,97.01,0.24416089,-0.411277522,
PMT1481,nitrogen regulatory protein P-II,711.01,534.01,0.195322272,-0.413003092,
PMT1598,ATPase AAA,4.01,3.01,1,-0.41383875,
PMT1916,hypothetical protein,4.01,3.01,1,-0.41383875,
PMT0300,hypothetical protein,8.01,6.01,1,-0.414437252,
PMT0355,GTP-binding protein Era,8.01,6.01,1,-0.414437252,
PMT1327,exopolyphosphatase,16.01,12.01,1,-0.414737157,
PMT1544,GTPase ObgE,16.01,12.01,1,-0.414737157,
PMT0858,ferric uptake regulator family protein,24.01,18.01,0.192104245,-0.414837222,
PMT1084,sugar-phosphate nucleotidyl transferase,32.01,24.01,0.248861978,-0.414887273,
PMT0620,4-diphosphocytidyl-2-C-methyl-D-erythritol kinase,36.01,27.01,0.22616135,-0.41490396,
PMT1636,serine protease,36.01,27.01,0.227380187,-0.41490396,
PMT0276,menaquinone biosynthesis methlytransferase,40.01,30.01,0.221212124,-0.41491731,
PMT2033,hypothetical protein,40.01,30.01,0.227304166,-0.41491731,
PMT2065,hypothetical protein,40.01,30.01,0.183272771,-0.41491731,
PMT0473,NADH-ubiquinone/plastoquinone (comple,44.01,33.01,0.2306474,-0.414928233,
PMT0628,hypothetical protein,56.01,42.01,0.176224825,-0.414951642,
PMT0057,amidase,68.01,51.01,0.190392595,-0.414966791,
PMT0556,cobalamin synthesis protein,88.01,66.01,0.240279981,-0.414982859,
PMT0927,UBA/TS-N domain-containing protein,124.01,93.01,0.189520358,-0.414998721,
PMT1526,transcription elongation factor NusA,331.01,248.01,0.464849122,-0.41647651,
PMT1925,2-dehydro-3-deoxyphosphooctonate aldolase,87.01,65.01,0.303921763,-0.420519564,
PMT0821,hypothetical protein,75.01,56.01,0.245051198,-0.421398514,
