GID,SYMBOL,kid,PRODUCT,ko,cyanobase,cyanobase_def,uniprot_acc,uniprot_def,ec_num,start_pos,pos,length
SYNW1886,SYNW1886,syw:SYNW1886,conserved hypothetical protein,,,conserved hypothetical protein,Q7U526,Hypothetical protein precursor.,,1800575,1800575..1801144,189
SYNW1887,"rpl34, rpmH",syw:SYNW1887,50S ribosomal protein L34,K02914,"rpl34,rpmH",50S ribosomal protein L34,Q7U525,50S ribosomal protein L34.,,1801191,1801191..1801328,45
SYNW1888,rnpA,syw:SYNW1888,bacterial ribonuclease P protein component of ribozyme,K03536,rnpA,bacterial ribonuclease P protein component of ribozyme,Q7U524,Ribonuclease P protein component (EC 3.1.26.5) (RNaseP protein) (RNase P protein) (Protein C5).,3.1.26.5,1801368,1801368..1801754,128
SYNW1889,SYNW1889,syw:SYNW1889,conserved hypothetical protein,,,conserved hypothetical protein,Q7U523,Hypothetical protein.,,1801751,1801751..1802158,135
SYNW1890,SYNW1890,syw:SYNW1890,putative inner membrane protein,K03217,,,,,,,,
SYNW1891,SYNW1891,syw:SYNW1891,conserved hypothetical protein,K07040,,conserved hypothetical protein,Q7U521,Hypothetical protein.,,1803353,1803353..1803871,172
SYNW1892,SYNW1892,syw:SYNW1892,conserved hypothetical protein,,,conserved hypothetical protein,Q7U520,Hypothetical protein.,,1803868,1803868..1805361,497
SYNW1893,SYNW1893,syw:SYNW1893,hypothetical protein,,,hypothetical,Q7U519,Hypothetical precursor.,,1805431,1805431..1805601,56
SYNW1894,serRS,syw:SYNW1894,putative seryl-tRNA synthetase,K01875,serRS,putative seryl-tRNA synthetase,Q7U518,Seryl-tRNA synthetase (EC 6.1.1.11) (Serine--tRNA ligase) (SerRS).,6.1.1.11,1805643,1805643..1806920,425
SYNW1895,SYNW1895,syw:SYNW1895,conserved hypothetical protein,K01417,,conserved hypothetical protein,Q7U517,Hypothetical protein precursor.,3.4.24.-,1806945,1806945..1808030,361
SYNW1896,"rps14, rpsN",syw:SYNW1896,30S ribosomal protein S14,K02954,"rps14,rpsN",30S ribosomal protein S14,Q7U516,30S ribosomal protein S14.,,1808090,1808090..1808392,100
SYNW1897,pnp,syw:SYNW1897,polyribonucleotide nucleotidyltransferase,K00962,pnp,polyribonucleotide nucleotidyltransferase,Q7U515,Polyribonucleotide nucleotidyltransferase (EC 2.7.7.8).,2.7.7.8,1808511,1808511..1810676,721
SYNW1898,SYNW1898,syw:SYNW1898,CysQ protein homolog,K03677,,CysQ protein homolog,Q7U514,CysQ protein homolog.,,1810677,complement(1810677..1811594),305
SYNW1899,SYNW1899,syw:SYNW1899,putative tetrapyrrole methylase family protein,K07056,,putative tetrapyrrole methylase family protein,Q7U513,Putative tetrapyrrole methylase family protein.,,1811618,1811618..1812478,286
SYNW1900,SYNW1900,syw:SYNW1900,conserved hypothetical protein,,,conserved hypothetical protein,Q7U512,Hypothetical protein precursor.,,1812499,1812499..1812729,76
SYNW1901,SYNW1901,syw:SYNW1901,conserved hypothetical protein,,,conserved hypothetical protein,Q7U511,Hypothetical protein.,,1812734,complement(1812734..1813507),257
RNA_32,RNA_32,syw:RNA_32,tRNA-Arg,,,,,,,1813567,1813567..1813640,
SYNW1902,SYNW1902,syw:SYNW1902,hypothetical protein,,,hypothetical,Q7U510,Hypothetical.,,1813753,complement(1813753..1813932),59
SYNW1903,SYNW1903,syw:SYNW1903,hypothetical protein,,,hypothetical,Q7U509,Hypothetical.,,1814062,complement(1814062..1814301),79
SYNW1904,SYNW1904,syw:SYNW1904,hypothetical protein,,,hypothetical,Q7U508,Hypothetical.,,1814416,1814416..1814673,85
SYNW1905,SYNW1905,syw:SYNW1905,hypothetical protein,,,hypothetical,Q7U507,Hypothetical.,,1814682,complement(1814682..1815158),158
SYNW1906,SYNW1906,syw:SYNW1906,conserved hypothetical protein,,,conserved hypothetical protein,Q7U506,Hypothetical protein.,,1815170,complement(1815170..1815463),97
SYNW1907,SYNW1907,syw:SYNW1907,hypothetical protein,,,hypothetical,Q7U505,Hypothetical.,,1815456,complement(1815456..1815686),76
SYNW1908,SYNW1908,syw:SYNW1908,possible Zn-dependent metalloprotease,,,Possible Zn-dependent metalloprotease,Q7U504,Possible Zn-dependent metalloprotease.,,1815933,complement(1815933..1817108),391
SYNW1909,SYNW1909,syw:SYNW1909,Band 7 family protein,,,Band 7 family protein,Q7U503,Band 7 family protein.,,1817389,1817389..1818192,267
SYNW1910,SYNW1910,syw:SYNW1910,conserved hypothetical protein,,,conserved hypothetical protein,Q7U502,Hypothetical protein precursor.,,1818206,1818206..1818511,101
SYNW1911,SYNW1911,syw:SYNW1911,hypothetical protein,,,hypothetical,Q7U501,Hypothetical precursor.,,1818508,1818508..1818666,52
SYNW1912,SYNW1912,syw:SYNW1912,"conserved hypothetical protein, possible pseudogene",,,"conserved hypothetical protein, possible pseudogene",Q7U500,Hypothetical protein precursor.,,1818672,1818672..1819430,252
SYNW1913,sdmt,syw:SYNW1913,putative sarcosine-dimethylglycine methyltransferase,K13042,sdmt,putative sarcosine-dimethylglycine methyltransferase,Q7U4Z9,Putative sarcosine-dimethylglycine methyltransferase.,2.1.1.161,1819432,complement(1819432..1820274),280
SYNW1914,gsmt,syw:SYNW1914,putative glycine-sarcosine methyltransferase,,gsmt,putative glycine-sarcosine methyltransferase,Q7U4Z8,Putative glycine-sarcosine methyltransferase.,,1820280,complement(1820280..1821128),282
SYNW1915,SYNW1915,syw:SYNW1915,"ABC transporter superfamily for glycine betaine/proline, ATP binding",K02000,,"ABC transporter superfamily for glycine betaine/proline, ATP binding",Q7U4Z7,"ABC transporter superfamily for glycine betaine/proline, ATP binding.",3.6.3.32,1821409,1821409..1822413,334
SYNW1916,SYNW1916,syw:SYNW1916,"ABC transporter, glycine betaine/proline family, membrane component",K02001,,"ABC transporter, glycine betaine/proline family, membrane component",Q7U4Z6,"ABC transporter, glycine betaine/proline family, membrane component precursor.",,1822410,1822410..1823324,304
SYNW1917,SYNW1917,syw:SYNW1917,"ABC transporter binding protein, glycine betaine/proline family",K02002,,"ABC transporter binding protein, glycine betaine/proline family",Q7U4Z5,"ABC transporter binding protein, glycine betaine/proline family precursor.",,1823321,1823321..1824286,321
SYNW1918,SYNW1918,syw:SYNW1918,conserved hypothetical protein,K09705,,conserved hypothetical protein,Q7U4Z4,Hypothetical protein.,,1824356,complement(1824356..1824805),149
SYNW1919,psbA4,syw:SYNW1919,photosystem II reaction center D1 protein form II,K02703,psbA4,photosystem II D1 protein form II,Q7U4Z3,Photosystem II D1 protein form II.,,1824940,complement(1824940..1826019),359
SYNW1920,SYNW1920,syw:SYNW1920,conserved hypothetical protein,,,conserved hypothetical protein,Q7U4Z2,Hypothetical protein precursor.,,1826383,1826383..1826715,110
SYNW1921,SYNW1921,syw:SYNW1921,conserved hypothetical protein,,,conserved hypothetical protein,Q7U4Z1,Hypothetical protein precursor.,,1826708,1826708..1826977,89
SYNW1922,SYNW1922,syw:SYNW1922,putative aspartoacylase,K01437,,putative aspartoacylase,P59829,Probable aspartoacylase (EC 3.5.1.15).,3.5.1.15,1827116,complement(1827116..1828027),303
SYNW1923,SYNW1923,syw:SYNW1923,conserved hypothetical protein,K07393,,conserved hypothetical protein,Q7U4Z0,Hypothetical protein.,,1828096,1828096..1829067,323
SYNW1924,SYNW1924,syw:SYNW1924,conserved hypothetical protein membrane protein,,,conserved hypothetical membrane protein,Q7U4Y9,Conserved hypothetical membrane protein.,,1829064,1829064..1829702,212
SYNW1925,SYNW1925,syw:SYNW1925,"putative ABC transporter, ATP binding protein",,,"putative ABC transporter, ATP binding protein",Q7U4Y8,"Putative ABC transporter, ATP binding protein.",,1829699,1829699..1831603,634
SYNW1926,SYNW1926,syw:SYNW1926,conserved hypothetical protein,,,conserved hypothetical protein,Q7U4Y7,Hypothetical protein.,,1831687,1831687..1831905,72
SYNW1927,SYNW1927,syw:SYNW1927,conserved hypothetical protein,,,conserved hypothetical protein,Q7U4Y6,Hypothetical protein.,,1831909,complement(1831909..1832091),60
SYNW1928,SYNW1928,syw:SYNW1928,GTP1/Obg family GTP-binding protein,K03979,,GTP1/Obg family GTP-binding protein,Q7U4Y5,GTP1/Obg family GTP-binding protein.,,1832188,complement(1832188..1833180),330
SYNW1929,SYNW1929,syw:SYNW1929,possible ABC transporter ATP-binding protein,K02023,,possible ABC transporter ATP-binding protein,Q7U4Y4,Possible ABC transporter ATP-binding protein.,,1833239,1833239..1834462,407
SYNW1930,SYNW1930,syw:SYNW1930,hypothetical protein,,,hypothetical,Q7U4Y3,Hypothetical.,,1834463,complement(1834463..1834627),54
SYNW1931,mutS,syw:SYNW1931,putative DNA mismatch repair protein MutS family,K07456,mutS,putative DNA mismatch repair protein MutS family,Q7U4Y2,Putative DNA mismatch repair protein MutS family.,,1834650,complement(1834650..1837088),812
SYNW1932,SYNW1932,syw:SYNW1932,possible ring-cleaving dioxygenase,,,possible ring-cleaving dioxygenase,Q7U4Y1,Possible ring-cleaving dioxygenase.,,1837051,complement(1837051..1837509),152
SYNW1933,hemB,syw:SYNW1933,possible delta-aminolevulinic acid dehydratase,K01698,hemB,possible delta-aminolevulinic acid dehydratase,Q7U4Y0,Delta-aminolevulinic acid dehydratase (EC 4.2.1.24) (ALADH) (Porphobilinogen synthase).,4.2.1.24,1837481,complement(1837481..1838482),333
SYNW1934,dnaJ3,syw:SYNW1934,DnaJ3 protein,K05516,dnaJ3,DnaJ3 protein,Q7U4X9,DnaJ3 protein.,,1838522,complement(1838522..1839496),324
SYNW1935,SYNW1935,syw:SYNW1935,conserved hypothetical protein,,,conserved hypothetical protein,Q7U4X8,Hypothetical protein precursor.,,1839616,1839616..1840020,134
SYNW1936,SYNW1936,syw:SYNW1936,putative sulfate transporter,K03321,,putative sulfate transporter,Q7U4X7,Putative sulfate transporter precursor.,,1840024,1840024..1841706,560
SYNW1937,SYNW1937,syw:SYNW1937,similar to tRNA-(MS[2]IO[6]A)-hydroxylase,K06169,,similar to tRNA-(MS[2]IO[6]A)-hydroxylase,Q7U4X6,Similar to tRNA-(MS[2]IO[6]A)-hydroxylase.,1.-.-.-,1841991,complement(1841991..1842626),211
SYNW1938,aroD,syw:SYNW1938,dehydroquinase class II,K03786,aroD,Dehydroquinase class II,Q7U4X5,3-dehydroquinate dehydratase (EC 4.2.1.10) (3-dehydroquinase) (Type II DHQase).,4.2.1.10,1842623,complement(1842623..1843063),146
RNA_33,RNA_33,syw:RNA_33,tRNA-Tyr,,,,,,,1843149,1843149..1843230,
RNA_34,RNA_34,syw:RNA_34,tRNA-Thr,,,,,,,1843241,1843241..1843312,
SYNW1939,SYNW1939,syw:SYNW1939,hypothetical protein,,,hypothetical,Q7U4X4,Hypothetical.,,1843388,1843388..1844308,306
SYNW1940,SYNW1940,syw:SYNW1940,hypothetical protein,,,hypothetical,Q7U4X3,Hypothetical.,,1844466,1844466..1844753,95
SYNW1941,SYNW1941,syw:SYNW1941,hypothetical protein,,,hypothetical,Q7U4X2,Hypothetical.,,1846017,1846017..1846385,122
SYNW1942,SYNW1942,syw:SYNW1942,conserved hypothetical protein,,,conserved hypothetical protein,Q7U4X1,Hypothetical protein precursor.,,1847721,complement(1847721..1847966),81
SYNW1943,SYNW1943,syw:SYNW1943,hypothetical protein,,,hypothetical,Q7U4X0,Hypothetical.,,1848664,1848664..1848930,88
SYNW1944,SYNW1944,syw:SYNW1944,conserved hypothetical protein,,,conserved hypothetical protein,Q7U4W9,Hypothetical protein.,,1848904,complement(1848904..1849092),62
SYNW1945,SYNW1945,syw:SYNW1945,hypothetical protein,,,hypothetical,Q7U4W8,Hypothetical.,,1849089,complement(1849089..1849490),133
SYNW1946,SYNW1946,syw:SYNW1946,PhoH family protein,K07175,,PhoH family protein,Q7U4W7,PhoH family protein.,,1850771,1850771..1852159,462
SYNW1947,SYNW1947,syw:SYNW1947,conserved hypothetical protein,K06966,,conserved hypothetical protein,Q7U4W6,Hypothetical protein.,,1852184,1852184..1853080,298
SYNW1948,SYNW1948,syw:SYNW1948,hypothetical protein,,,hypothetical,Q7U4W5,Hypothetical.,,1853460,1853460..1853711,83
SYNW1949,SYNW1949,syw:SYNW1949,hypothetical protein,,,hypothetical,Q7U4W4,Hypothetical.,,1854064,1854064..1854777,237
SYNW1950,SYNW1950,syw:SYNW1950,hypothetical protein,,,hypothetical,Q7U4W3,Hypothetical.,,1855018,1855018..1855200,60
SYNW1951,SYNW1951,syw:SYNW1951,conserved hypothetical protein,,,conserved hypothetical,Q7U4W2,Conserved hypothetical.,,1855261,1855261..1855485,74
SYNW1952,SYNW1952,syw:SYNW1952,putative glycosyl hydrolase family,K01234,,putative glycosyl hydrolase family,Q7U4W1,Putative glycosyl hydrolase family.,3.2.1.135,1855822,complement(1855822..1857228),468
SYNW1953,SYNW1953,syw:SYNW1953,putative glycerol kinase,K00864,,putative glycerol kinase,Q7U4W0,Putative glycerol kinase precursor (EC 2.7.1.30).,2.7.1.30,1857280,1857280..1858785,501
SYNW1954,SYNW1954,syw:SYNW1954,putative glycerol-3-phosphate dehydrogenase,K00111,,putative glycerol-3-phosphate dehydrogenase,Q7U4V9,Putative glycerol-3-phosphate dehydrogenase precursor (EC 1.1.99.5).,1.1.5.3,1858778,1858778..1860355,525
SYNW1955,SYNW1955,syw:SYNW1955,putative trehalose synthase,K05343,,putative trehalose synthase,Q7U4V8,Putative trehalose synthase (EC 5.4.99.16).,5.4.99.16,1860298,complement(1860298..1861959),553
SYNW1956,SYNW1956,syw:SYNW1956,putative aldehyde dehydrogenase,K00128,,putative aldehyde dehydrogenase,Q7U4V7,Putative aldehyde dehydrogenase (EC 1.2.1.3).,1.2.1.3,1862014,1862014..1863393,459
SYNW1957,SYNW1957,syw:SYNW1957,possible LysM domain,,,possible LysM domain,Q7U4V6,Possible LysM domain precursor.,,1863491,1863491..1864489,332
SYNW1958,SYNW1958,syw:SYNW1958,putative ATP-dependent DNA helicase,K03654,,putative ATP-dependent DNA helicase,Q7U4V5,Putative ATP-dependent DNA helicase (EC 3.6.1.-).,3.6.1.-,1864491,complement(1864491..1865978),495
SYNW1959,SYNW1959,syw:SYNW1959,conserved hypothetical protein,,,conserved hypothetical protein,Q7U4V4,Hypothetical protein.,,1866020,complement(1866020..1867060),346
SYNW1960,psaE,syw:SYNW1960,photosystem I subunit IV (PsaE),K02693,psaE,photosystem I subunit IV (PsaE),Q7U4V3,Photosystem I reaction center subunit IV.,,1867161,1867161..1867370,69
SYNW1961,FPG,syw:SYNW1961,formamidopyrimidine-DNA glycolase (FAPY-DNA glycolase),K10563,FPG,Formamidopyrimidine-DNA glycolase (FAPY-DNA glycolase),Q7U4V2,Formamidopyrimidine-DNA glycosylase (EC 3.2.2.23) (Fapy-DNA glycosylase) (DNA-(apurinic or apyrimidinic site) lyase mutM) (EC 4.2.99.18) (AP lyase mutM).,3.2.2.23 4.2.99.18,1867376,1867376..1868212,278
SYNW1962,eIF2B,syw:SYNW1962,putative translation initiation factor eIF-2B alpha subunit,K08963,eIF2B,putative translation initiation factor eIF-2B alpha subunit,Q7U4V1,Putative translation initiation factor eIF-2B alpha subunit.,5.3.1.23,1868203,complement(1868203..1869285),360
SYNW1963,SYNW1963,syw:SYNW1963,putative sugar aldolase,K08964,,putative sugar aldolase,Q7U4V0,Putative sugar aldolase.,4.2.1.109,1869248,1869248..1869883,211
SYNW1964,masA,syw:SYNW1964,putative enolase-phosphatase E-1,K09880,masA,putative enolase-phosphatase E-1,Q7U4U9,Putative enolase-phosphatase E-1.,3.1.3.77,1869880,1869880..1870617,245
RNA_35,rrnA,syw:RNA_35,RNA_35,,,,,,,1870762,complement(1870762..1876058),
RNA_36,RNA_36,syw:RNA_36,5S ribosomal RNA,K01985,,,,,,1870762,complement(1870762..1870876),
RNA_37,RNA_37,syw:RNA_37,23S ribosomal RNA,K01980,,,,,,1870985,complement(1870985..1873849),
RNA_38,RNA_38,syw:RNA_38,tRNA-Ala,,,,,,,1874314,complement(1874314..1874386),
RNA_39,RNA_39,syw:RNA_39,tRNA-Ile,,,,,,,1874396,complement(1874396..1874469),
RNA_40,RNA_40,syw:RNA_40,16S ribosomal RNA,K01977,,,,,,1874657,complement(1874657..1876118),
SYNW1965,SYNW1965,syw:SYNW1965,putative neutral invertase-like protein,,,putative neutral invertase-like protein,Q7U4U8,Putative neutral invertase-like protein.,,1876826,1876826..1878280,484
SYNW1966,petD,syw:SYNW1966,cytochrome b6-f complex subunit 4 (17 kd polypeptide),K02637,petD,cytochrome b6-f complex subunit 4 (17 kd polypeptide),Q7U4U7,Cytochrome b6-f complex subunit 4 (17 kDa polypeptide).,,1878339,complement(1878339..1878821),160
SYNW1967,petB,syw:SYNW1967,apocytochrome b6,K02635,petB,apocytochrome b6,Q7U4U6,Cytochrome b6.,,1878861,complement(1878861..1879517),218
SYNW1968,ctpA,syw:SYNW1968,putative carboxyl-terminal processing protease,,ctpA,putative carboxyl-terminal processing protease,Q7U4U5,Putative carboxyl-terminal processing protease precursor (EC 3.4.21.-).,,1879585,1879585..1880862,425
SYNW1969,SYNW1969,syw:SYNW1969,conserved hypothetical protein,K06885,,conserved hypothetical protein,Q7U4U4,Hypothetical protein.,,1880859,1880859..1882130,423
SYNW1970,minC,syw:SYNW1970,possible septum site-determining protein,K03610,minC,possible septum site-determining protein,Q7U4U3,Possible septum site-determining protein.,,1882100,1882100..1882759,219
SYNW1971,minD,syw:SYNW1971,septum site-determining protein MinD,K03609,minD,putative septum site-determining protein MinD,Q7U4U2,Putative septum site-determining protein MinD.,,1882816,1882816..1883628,270
SYNW1972,minE,syw:SYNW1972,possible septum site-determining protein MinE,K03608,minE,possible septum site-determining protein MinE,Q7U4U1,Possible septum site-determining protein MinE.,,1883633,1883633..1883893,86
SYNW1973,SYNW1973,syw:SYNW1973,"possible transcriptional regulator, luxR family",,,"possible transcriptional regulator, luxR family",Q7U4U0,"Possible transcriptional regulator, luxR family.",,1883957,1883957..1884166,69
RNA_41,RNA_41,syw:RNA_41,tRNA-Thr,,,,,,,1884157,1884157..1884231,
SYNW1974,SYNW1974,syw:SYNW1974,hypothetical protein,,,hypothetical,Q7U4T9,Hypothetical.,,1884238,complement(1884238..1884411),57
SYNW1975,SYNW1975,syw:SYNW1975,conserved hypothetical protein,K07566,,conserved hypothetical protein,Q7U4T8,Hypothetical protein.,,1884408,complement(1884408..1885013),201
SYNW1976,hemK,syw:SYNW1976,possible protoporphyrinogen oxidase,K02493,hemK,possible protoporphyrinogen oxidase,Q7U4T7,Possible protoporphyrinogen oxidase (EC 1.3.3.4).,2.1.1.-,1885010,complement(1885010..1885900),296
SYNW1977,smf,syw:SYNW1977,putative DNA processing protein (Smf family),K04096,smf,putative DNA processing protein (Smf family),Q7U4T6,Putative DNA processing protein (Smf family) precursor.,,1885897,complement(1885897..1886961),354
SYNW1978,SYNW1978,syw:SYNW1978,conserved hypothetical protein,K07107,,conserved hypothetical protein,Q7U4T5,Hypothetical protein.,,1886983,complement(1886983..1887435),150
SYNW1979,SYNW1979,syw:SYNW1979,conserved hypothetical protein,,,conserved hypothetical protein,Q7U4T4,Hypothetical protein.,,1887480,1887480..1888328,282
SYNW1980,psbM,syw:SYNW1980,possible photosystem II reaction center M protein,K02714,psbM,possible photosystem II reaction center M protein,Q7U4T3,Photosystem II reaction center protein M (PSII-M).,,1888331,complement(1888331..1888435),34
SYNW1981,SYNW1981,syw:SYNW1981,possible ferredoxin [2Fe-2S],,,possible ferredoxin [2Fe-2S],Q7U4T2,Possible ferredoxin [2Fe-2S].,,1888495,complement(1888495..1888956),153
SYNW1982,psbB,syw:SYNW1982,photosystem II chlorophyll-binding protein CP47,K02704,psbB,photosystem II chlorophyll-binding protein CP47,Q7U4T1,Photosystem II chlorophyll-binding protein CP47.,,1889145,1889145..1890704,519
SYNW1983,psbTc,syw:SYNW1983,photosystem II PsbTc protein,K02718,psbT,photosystem II reaction center T protein,Q7U4T0,Photosystem II reaction center protein T (PSII-T).,,1890726,1890726..1890821,31
SYNW1984,SYNW1984,syw:SYNW1984,conserved hypothetical protein,K07738,,conserved hypothetical protein,Q7U4S9,Transcriptional repressor nrdR.,,1891003,1891003..1891485,160
SYNW1985,"rps1a, rpsA1",syw:SYNW1985,"30S ribosomal protein S1, homolog A",K02945,"rps1a,rpsA1","30S ribosomal protein S1, homolog A",Q7U4S8,"30S ribosomal protein S1, homolog A.",,1891587,1891587..1892690,367
SYNW1986,SYNW1986,syw:SYNW1986,conserved hypothetical protein,K01091,,conserved hypothetical protein,Q7U4S7,Hypothetical protein.,3.1.3.18,1892697,1892697..1893473,258
SYNW1987,metK,syw:SYNW1987,S-adenosylmethionine synthetase,K00789,metK,S-adenosylmethionine synthetase,Q7U4S6,S-adenosylmethionine synthetase (EC 2.5.1.6) (Methionine adenosyltransferase) (AdoMet synthetase) (MAT).,2.5.1.6,1893498,1893498..1894757,419
SYNW1988,SYNW1988,syw:SYNW1988,"putative carbohydrate kinase, FGGY family",,,"Putative carbohydrate kinase, FGGY family",Q7U4S5,"Putative carbohydrate kinase, FGGY family.",,1894759,1894759..1896024,421
SYNW1989,mpeE,syw:SYNW1989,"phycobilisome rod linker polypeptide Lr, C-phycoerythrin-II-associated",K02286,,Possible phycobilisome linker polypeptide,Q7U4S4,Possible phycobilisome linker polypeptide.,,1896172,1896172..1897074,300
SYNW1990,SYNW1990,syw:SYNW1990,conserved hypothetical protein,,,conserved hypothetical protein,Q7U4S3,Hypothetical protein.,,1897300,1897300..1897575,91
SYNW1991,SYNW1991,syw:SYNW1991,conserved hypothetical protein,,,conserved hypothetical protein,Q7U4S2,Hypothetical protein.,,1897607,1897607..1898242,211
RNA_42,RNA_42,syw:RNA_42,tRNA-Phe,,,,,,,1898273,1898273..1898345,
SYNW1992,SYNW1992,syw:SYNW1992,conserved hypothetical protein,,,conserved hypothetical protein,Q7U4S1,Hypothetical protein.,,1898367,1898367..1898606,79
SYNW1993,SYNW1993,syw:SYNW1993,conserved hypothetical protein,,,conserved hypothetical protein,Q7U4S0,Hypothetical protein.,,1898612,complement(1898612..1899016),134
SYNW1994,SYNW1994,syw:SYNW1994,conserved hypothetical protein,,,conserved hypothetical protein,Q7U4R9,Hypothetical protein.,,1899145,1899145..1899813,222
SYNW1995,SYNW1995,syw:SYNW1995,hypothetical protein,,,hypothetical,Q7U4R8,Hypothetical.,,1899924,1899924..1900355,143
SYNW1996,SYNW1996,syw:SYNW1996,possible phycobilisome polypeptide,,,possible Phycobilisome polypeptide,Q7TTT3,Possible Phycobilisome polypeptide.,,1900355,1900355..1900927,190
SYNW1997,cpcG2,syw:SYNW1997,"phycobilisome rod-core linker polypeptide Lrc, C-phycocyanin associated",K02290,cpcG2,possible phycobilisome rod-core linker polypeptide (L-RC 28.5),Q7U4R7,Possible phycobilisome rod-core linker polypeptide (L-RC 28.5).,,1900999,1900999..1901757,252
SYNW1998,SYNW1998,syw:SYNW1998,conserved hypothetical protein,,,conserved hypothetical protein,Q7U4R6,Hypothetical protein.,,1901759,1901759..1902472,237
SYNW1999,cpeC,syw:SYNW1999,"phycobilisome rod linker polypeptide Lr, C-phycoerythrin-I-associated",K05378,cpeC,phycobilisome linker polypeptide,Q7U4R5,Phycobilisome linker polypeptide.,,1902651,1902651..1903535,294
SYNW2000,mpeD,syw:SYNW2000,"phycobilisome rod linker polypeptide Lr, associated to C-phycoerythrin-I and C-phycoerythrin-II ",K05379,,Phycobilisome linker polypeptide,Q7U4R4,Phycobilisome linker polypeptide.,,1903591,1903591..1905237,548
SYNW2001,cpeE,syw:SYNW2001,"phycobilisome rod linker polypeptide Lr, C-phycoerythrin-I-associated",K05380,cpeE,possible phycobilisome linker polypeptide,Q7U4R3,Possible phycobilisome linker polypeptide.,,1905312,1905312..1906046,244
SYNW2002,cpeS,syw:SYNW2002,conserved hypothetical protein CpeS,K05382,cpeS,conserved hypothetical protein CpeS,Q7U4R2,Hypothetical protein cpeS.,,1906307,1906307..1906870,187
SYNW2003,cpeT,syw:SYNW2003,CpeT homolog,K05383,cpeT,CpeT homolog,Q7U4R1,CpeT homolog.,,1906879,1906879..1907493,204
SYNW2004,cpeR,syw:SYNW2004,"CpeR homolog, phycoerythrin linker-proteins region",K05381,cpeR,"CpeR homolog, phycoerythrin linker-proteins region",Q7U4R0,"CpeR homolog, phycoerythrin linker-proteins region.",,1907497,1907497..1907802,101
SYNW2005,SYNW2005,syw:SYNW2005,hypothetical protein,,,hypothetical,Q7U4Q9,Hypothetical.,,1908084,complement(1908084..1908374),96
SYNW2006,SYNW2006,syw:SYNW2006,hypothetical protein,,,hypothetical,Q7U4Q8,Hypothetical.,,1908368,complement(1908368..1908736),122
SYNW2007,SYNW2007,syw:SYNW2007,similar to cpeY,,,similar to cpeY,Q7U4Q7,Similar to cpeY (EC 4.-.-.-).,,1908928,1908928..1910124,398
SYNW2008,mpeB,syw:SYNW2008,"C-phycoerythrin class II beta subunit 	",K05377,mpeB,C-phycoerythrin class II beta chain,P0A318,C-phycoerythrin class 2 subunit beta (C-phycoerythrin class II beta chain).,,1910296,1910296..1910832,178
SYNW2009,mpeA,syw:SYNW2009,C-phycoerythrin class II alpha subunit,K05376,mpeA,C-phycoerythrin class II alpha chain,P0A316,C-phycoerythrin class 2 subunit alpha (C-phycoerythrin class II alpha chain).,,1910879,1910879..1911376,165
SYNW2010,mpeC,syw:SYNW2010,"phycobilisome rod linker polypeptide Lr, C-phycoerythrin-II-associated (C-PEII gamma subunit)",K05378,mpeC,"C-phycoerythrin class II gamma chain, linker polypeptide",Q7U4Q6,"C-phycoerythrin class II gamma chain, linker polypeptide.",,1911741,1911741..1912622,293
SYNW2011,mpeU,syw:SYNW2011,bilin biosynthesis protein MpeU (PBS lyase HEAT-like repeat),K05384,mpeU,bilin biosynthesis protein MpeU (PBS lyase HEAT-like repeat),Q7TTT2,Bilin biosynthesis protein MpeU (PBS lyase HEAT-like repeat).,,1912788,1912788..1913693,301
SYNW2012,cpeZ,syw:SYNW2012,putative bilin biosynthesis protein cpeZ,K05386,cpeZ,putative bilin biosynthesis protein cpeZ,Q7U4Q5,Putative bilin biosynthesis protein cpeZ.,,1914208,complement(1914208..1914828),206
SYNW2013,cpeY,syw:SYNW2013,putative bilin biosynthesis protein (CpeY),K05385,cpeY,putative bilin biosynthesis protein (CpeY),Q7U4Q4,Putative bilin biosynthesis protein (CpeY).,,1914921,complement(1914921..1916246),441
SYNW2014,SYNW2014,syw:SYNW2014,hypothetical protein,,,hypothetical,Q7U4Q3,Hypothetical.,,1916379,1916379..1916729,116
SYNW2015,SYNW2015,syw:SYNW2015,conserved hypothetical protein,,,conserved hypothetical protein,Q7U4Q2,Hypothetical protein.,,1916730,complement(1916730..1917161),143
SYNW2016,cpeA,syw:SYNW2016,C-phycoerythrin class I alpha subunit,K05376,cpeA,C-phycoerythrin class I alpha chain,Q7U4Q1,C-phycoerythrin class I alpha chain.,,1917288,complement(1917288..1917782),164
SYNW2017,cpeB,syw:SYNW2017,C-phycoerythrin class I beta subunit,K05377,cpeB,C-phycoerythrin class I beta chain,Q7U4Q0,C-phycoerythrin class I beta chain.,,1917841,complement(1917841..1918395),184
SYNW2018,SYNW2018,syw:SYNW2018,hypothetical protein,,,hypothetical,Q7U4P9,Hypothetical.,,1918383,1918383..1918874,163
SYNW2019,SYNW2019,syw:SYNW2019,conserved hypothetical protein,,,conserved hypothetical protein,Q7U4P8,Hypothetical protein.,,1918998,1918998..1919612,204
SYNW2020,pebA,syw:SYNW2020,"15,16 dihydrobiliverdin:ferredoxin oxidoreductase",K05369,pebA,"15,16 dihydrobiliverdin:ferredoxin oxidoreductase",Q7U4P7,"15,16-dihydrobiliverdin:ferredoxin oxidoreductase (EC 1.3.7.2).",1.3.7.2,1919618,1919618..1920325,235
