seqid,gene_names,gene,locus_tag_ncbi,source,start,end,strand,Note,exception,inference,product,protein_id,Ontology_term,go_component,go_function,go_process,locus_tag,ec_numbers
NZ_CP139300.1,SOI86_RS08725,,SOI86_RS08725,GeneMarkS-2+,1538300,1538665,-,,,COORDINATES: ab initio prediction:GeneMarkS-2+,hypothetical protein,WP_320681427.1,,,,,SOI86_RS08725,
NZ_CP139300.1,SOI86_RS08730,,SOI86_RS08730,GeneMarkS-2+,1538676,1539239,+,,,COORDINATES: ab initio prediction:GeneMarkS-2+,hypothetical protein,WP_320681428.1,,,,,SOI86_RS08730,
NZ_CP139300.1,SOI86_RS08735,,SOI86_RS08735,Protein Homology,1539280,1539435,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011862086.1,hypothetical protein,WP_320681429.1,,,,,SOI86_RS08735,
NZ_CP139300.1,SOI86_RS08740,,SOI86_RS08740,Protein Homology,1539739,1542498,+,,,COORDINATES: protein motif:HMM:NF042814.3,DNA methyltransferase,WP_320681430.1,,,,,SOI86_RS08740,
NZ_CP139300.1,SOI86_RS08745,,SOI86_RS08745,Protein Homology,1542526,1543305,-,,,COORDINATES: protein motif:HMM:NF036314.5,GP88 family protein,WP_320681431.1,,,,,SOI86_RS08745,
NZ_CP139300.1,aroQ,aroQ,SOI86_RS08760,Protein Homology,1543995,1544435,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011862412.1,type II 3-dehydroquinate dehydratase,WP_320682521.1,"GO:0009423,GO:0003855",,3-dehydroquinate dehydratase activity|0003855||IEA,chorismate biosynthetic process|0009423||IEA,SOI86_RS08760,4.2.1.10
NZ_CP139300.1,SOI86_RS08765,,SOI86_RS08765,Protein Homology,1544436,1545044,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_002805342.1,tRNA-(ms[2]io[6]A)-hydroxylase,WP_320681432.1,,,,,SOI86_RS08765,
NZ_CP139300.1,SOI86_RS08770,,SOI86_RS08770,Protein Homology,1545062,1545817,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011375946.1,precorrin-2 C(20)-methyltransferase,WP_320681433.1,,,,,SOI86_RS08770,
NZ_CP139300.1,SOI86_RS08775,,SOI86_RS08775,Protein Homology,1545817,1546302,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011375947.1,DUF1823 family protein,WP_320681434.1,,,,,SOI86_RS08775,
NZ_CP139300.1,der,der,SOI86_RS08780,Protein Homology,1546377,1547750,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011132027.1,ribosome biogenesis GTPase Der,WP_320681435.1,"GO:0042254,GO:0003924,GO:0005525,GO:0043022,GO:0005737",cytoplasm|0005737||IEA,"GTPase activity|0003924||IEA,GTP binding|0005525||IEA,ribosome binding|0043022||IEA",ribosome biogenesis|0042254||IEA,SOI86_RS08780,3.6.5.-
NZ_CP139300.1,SOI86_RS08785,,SOI86_RS08785,Protein Homology,1547750,1548664,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_002807973.1,energy-coupling factor transporter transmembrane component T,WP_320681436.1,GO:0055085,,,transmembrane transport|0055085||IEA,SOI86_RS08785,
NZ_CP139300.1,SOI86_RS08790,,SOI86_RS08790,Protein Homology,1548683,1548949,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011862418.1,PII-interacting protein PipX family protein,WP_320681437.1,,,,,SOI86_RS08790,
NZ_CP139300.1,SOI86_RS08795,,SOI86_RS08795,Protein Homology,1548953,1549588,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011375951.1,YggS family pyridoxal phosphate-dependent enzyme,WP_320681438.1,GO:0030170,,pyridoxal phosphate binding|0030170||IEA,,SOI86_RS08795,
NZ_CP139300.1,SOI86_RS08800,,SOI86_RS08800,Protein Homology,1549738,1550313,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011819774.1,cell division protein SepF,WP_320681439.1,,,,,SOI86_RS08800,
NZ_CP139300.1,proC,proC,SOI86_RS08805,Protein Homology,1550321,1551133,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011375953.1,pyrroline-5-carboxylate reductase,WP_320681440.1,"GO:0006561,GO:0004735",,pyrroline-5-carboxylate reductase activity|0004735||IEA,proline biosynthetic process|0006561||IEA,SOI86_RS08805,1.5.1.2
NZ_CP139300.1,SOI86_RS08810,,SOI86_RS08810,Protein Homology,1551130,1552296,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011862422.1,glycosyltransferase family 4 protein,WP_320681441.1,"GO:0006486,GO:0016757",,glycosyltransferase activity|0016757||IEA,protein glycosylation|0006486||IEA,SOI86_RS08810,2.4.-.-
NZ_CP139300.1,recO,recO,SOI86_RS08815,Protein Homology,1552379,1553164,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011862423.1,DNA repair protein RecO,WP_320681442.1,"GO:0006281,GO:0006310,GO:0003677",,DNA binding|0003677||IEA,"DNA repair|0006281||IEA,DNA recombination|0006310||IEA",SOI86_RS08815,
NZ_CP139300.1,SOI86_RS08820,,SOI86_RS08820,Protein Homology,1553165,1553824,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_012007233.1,2-deoxyribose-5-phosphate aldolase,WP_320681443.1,,,,,SOI86_RS08820,
NZ_CP139300.1,hpf,hpf,SOI86_RS08825,Protein Homology,1553832,1554416,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011817911.1,ribosome hibernation-promoting factor%2C HPF/YfiA family,WP_320681444.1,"GO:0045182,GO:0005840",ribosome|0005840||IEA,translation regulator activity|0045182||IEA,,SOI86_RS08825,
NZ_CP139300.1,lipB,lipB,SOI86_RS08830,Protein Homology,1554461,1555111,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011375958.1,lipoyl(octanoyl) transferase LipB,WP_320681445.1,"GO:0009249,GO:0033819",,lipoyl(octanoyl) transferase activity|0033819||IEA,protein lipoylation|0009249||IEA,SOI86_RS08830,2.3.1.181
NZ_CP139300.1,SOI86_RS08835,,SOI86_RS08835,Protein Homology,1555139,1557082,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_012007235.1,AMP-binding protein,WP_320681446.1,,,,,SOI86_RS08835,
NZ_CP139300.1,SOI86_RS08840,,SOI86_RS08840,Protein Homology,1557122,1557565,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011862428.1,YlqD family protein,WP_025880659.1,,,,,SOI86_RS08840,
NZ_CP139300.1,SOI86_RS08845,,SOI86_RS08845,Protein Homology,1557781,1559148,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_012007236.1,dihydrolipoamide acetyltransferase family protein,WP_320681447.1,"GO:0016407,GO:0045240",alpha-ketoacid dehydrogenase complex|0045240||IEA,acetyltransferase activity|0016407||IEA,,SOI86_RS08845,2.3.1.-
NZ_CP139300.1,queA,queA,SOI86_RS08850,Protein Homology,1559155,1560297,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011862430.1,tRNA preQ1(34) S-adenosylmethionine ribosyltransferase-isomerase QueA,WP_320681448.1,"GO:0016740,GO:0016853",,"transferase activity|0016740||IEA,isomerase activity|0016853||IEA",,SOI86_RS08850,2.4.99.17
NZ_CP139300.1,cysK,cysK,SOI86_RS08855,Protein Homology,1560300,1561286,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011817917.1,cysteine synthase A,WP_320681449.1,"GO:0006535,GO:0004124",,cysteine synthase activity|0004124||IEA,cysteine biosynthetic process from serine|0006535||IEA,SOI86_RS08855,2.5.1.47
NZ_CP139300.1,SOI86_RS08860,,SOI86_RS08860,Protein Homology,1561371,1562840,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011862431.1,PLP-dependent transferase,WP_320681450.1,"GO:0019346,GO:0030170",,pyridoxal phosphate binding|0030170||IEA,transsulfuration|0019346||IEA,SOI86_RS08860,
NZ_CP139300.1,SOI86_RS08865,,SOI86_RS08865,Protein Homology,1562844,1564007,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011819787.1,PLP-dependent aspartate aminotransferase family protein,WP_320682522.1,,,,,SOI86_RS08865,
NZ_CP139300.1,rpsD,rpsD,SOI86_RS08870,Protein Homology,1564084,1564692,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011817920.1,30S ribosomal protein S4,WP_320681451.1,"GO:0006412,GO:0003735,GO:0015935",small ribosomal subunit|0015935||IEA,structural constituent of ribosome|0003735||IEA,translation|0006412||IEA,SOI86_RS08870,
NZ_CP139300.1,yidD,yidD,SOI86_RS08875,Protein Homology,1564788,1565024,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011132047.1,membrane protein insertion efficiency factor YidD,WP_320681452.1,,,,,SOI86_RS08875,
NZ_CP139300.1,SOI86_RS08880,,SOI86_RS08880,Protein Homology,1565029,1565331,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_002807652.1,glutaredoxin family protein,WP_320681453.1,,,,,SOI86_RS08880,
NZ_CP139300.1,SOI86_RS08885,,SOI86_RS08885,Protein Homology,1565341,1566876,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011132049.1,UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--2%2C6-diaminopimelate ligase,WP_320681454.1,"GO:0008360,GO:0009058,GO:0051301,GO:0005524,GO:0016874",,"ATP binding|0005524||IEA,ligase activity|0016874||IEA","regulation of cell shape|0008360||IEA,biosynthetic process|0009058||IEA,cell division|0051301||IEA",SOI86_RS08885,6.3.2.13
NZ_CP139300.1,SOI86_RS08890,,SOI86_RS08890,Protein Homology,1566958,1567662,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_012007242.1,SDR family NAD(P)-dependent oxidoreductase,WP_320681455.1,,,,,SOI86_RS08890,
NZ_CP139300.1,SOI86_RS08895,,SOI86_RS08895,Protein Homology,1567693,1568868,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_012007243.1,aminotransferase class V-fold PLP-dependent enzyme,WP_320681456.1,,,,,SOI86_RS08895,
NZ_CP139300.1,SOI86_RS08900,,SOI86_RS08900,Protein Homology,1568906,1569700,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011375972.1,methyltransferase domain-containing protein,WP_320681457.1,,,,,SOI86_RS08900,
NZ_CP139300.1,SOI86_RS08905,,SOI86_RS08905,Protein Homology,1569777,1569950,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_012007245.1,DUF4278 domain-containing protein,WP_320681458.1,,,,,SOI86_RS08905,
NZ_CP139300.1,SOI86_RS08910,,SOI86_RS08910,Protein Homology,1570206,1570463,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011375974.1,hypothetical protein,WP_320681459.1,,,,,SOI86_RS08910,
NZ_CP139300.1,SOI86_RS08915,,SOI86_RS08915,Protein Homology,1570487,1570732,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011360360.1,NifU family protein,WP_002805305.1,,,,,SOI86_RS08915,
NZ_CP139300.1,SOI86_RS08920,,SOI86_RS08920,Protein Homology,1570803,1572299,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_012007246.1,malate:quinone oxidoreductase,WP_320681460.1,,,,,SOI86_RS08920,1.1.5.4
NZ_CP139300.1,lepA,lepA,SOI86_RS08925,Protein Homology,1572355,1574163,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_019475292.1,translation elongation factor 4,WP_320681461.1,"GO:0003924,GO:0005525",,"GTPase activity|0003924||IEA,GTP binding|0005525||IEA",,SOI86_RS08925,3.6.5.n1
NZ_CP139300.1,SOI86_RS08930,,SOI86_RS08930,Protein Homology,1574332,1575087,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_012007248.1,ABC transporter permease,WP_320681462.1,"GO:0042626,GO:0140359",,"ATPase-coupled transmembrane transporter activity|0042626||IEA,ABC-type transporter activity|0140359||IEA",,SOI86_RS08930,
NZ_CP139300.1,trmH,trmH,SOI86_RS08935,Protein Homology,1575090,1575761,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011817929.1,tRNA (guanosine(18)-2'-O)-methyltransferase TrmH,WP_320681463.1,"GO:0030488,GO:0141100",,tRNA (guanine(18)-2'-O)-methyltransferase activity|0141100||IEA,tRNA methylation|0030488||IEA,SOI86_RS08935,
NZ_CP139300.1,SOI86_RS08940,,SOI86_RS08940,Protein Homology,1575859,1576062,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011375979.1,hypothetical protein,WP_320681464.1,,,,,SOI86_RS08940,
NZ_CP139300.1,SOI86_RS08945,,SOI86_RS08945,Protein Homology,1576264,1576656,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_012007251.1,DUF393 domain-containing protein,WP_320681465.1,,,,,SOI86_RS08945,
NZ_CP139300.1,SOI86_RS08950,,SOI86_RS08950,Protein Homology,1576659,1576895,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011862445.1,TIGR03643 family protein,WP_320681466.1,,,,,SOI86_RS08950,
NZ_CP139300.1,SOI86_RS08955,,SOI86_RS08955,Protein Homology,1576899,1577030,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_019475298.1,DUF2256 domain-containing protein,WP_320681467.1,,,,,SOI86_RS08955,
NZ_CP139300.1,SOI86_RS08960,,SOI86_RS08960,Protein Homology,1577027,1578517,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_002805514.1,cryptochrome/photolyase family protein,WP_320681468.1,,,,,SOI86_RS08960,
NZ_CP139300.1,SOI86_RS08965,,SOI86_RS08965,Protein Homology,1578624,1578803,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011862448.1,hypothetical protein,WP_320681469.1,,,,,SOI86_RS08965,
NZ_CP139300.1,SOI86_RS08970,,SOI86_RS08970,Protein Homology,1579016,1580332,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011862450.1,16S rRNA (cytosine(967)-C(5))-methyltransferase,WP_320681470.1,,,,,SOI86_RS08970,2.1.1.176
NZ_CP139300.1,SOI86_RS08975,,SOI86_RS08975,Protein Homology,1580354,1582111,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_012007255.1,transglycosylase domain-containing protein,WP_320681471.1,"GO:0008360,GO:0009252,GO:0071555,GO:0008955,GO:0016757",,"peptidoglycan glycosyltransferase activity|0008955||IEA,glycosyltransferase activity|0016757||IEA","regulation of cell shape|0008360||IEA,peptidoglycan biosynthetic process|0009252||IEA,cell wall organization|0071555||IEA",SOI86_RS08975,2.4.-.-
NZ_CP139300.1,chlG,chlG,SOI86_RS08980,Protein Homology,1582113,1583060,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_019474377.1,chlorophyll synthase ChlG,WP_320681472.1,"GO:0015995,GO:0046408,GO:0016020",membrane|0016020||IEA,chlorophyll synthetase activity|0046408||IEA,chlorophyll biosynthetic process|0015995||IEA,SOI86_RS08980,2.5.1.62
NZ_CP139300.1,SOI86_RS08985,,SOI86_RS08985,Protein Homology,1583069,1583293,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011817940.1,DUF2862 domain-containing protein,WP_209042102.1,,,,,SOI86_RS08985,
NZ_CP139300.1,hisF,hisF,SOI86_RS08990,Protein Homology,1583353,1584123,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011375989.1,imidazole glycerol phosphate synthase subunit HisF,WP_320681473.1,"GO:0000105,GO:0000107",,imidazoleglycerol-phosphate synthase activity|0000107||IEA,L-histidine biosynthetic process|0000105||IEA,SOI86_RS08990,4.3.2.10
NZ_CP139300.1,ubiE,ubiE,SOI86_RS08995,Protein Homology,1584167,1584868,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011375990.1,bifunctional demethylmenaquinone methyltransferase/2-methoxy-6-polyprenyl-1%2C4-benzoquinol methylase UbiE,WP_320681474.1,"GO:0042372,GO:0052624",,2-phytyl-1%2C4-naphthoquinone methyltransferase activity|0052624||IEA,phylloquinone biosynthetic process|0042372||IEA,SOI86_RS08995,"2.1.1.163,2.1.1.201"
NZ_CP139300.1,SOI86_RS09000,,SOI86_RS09000,Protein Homology,1584877,1585335,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011862454.1,DUF721 domain-containing protein,WP_320681475.1,,,,,SOI86_RS09000,
NZ_CP139300.1,SOI86_RS09005,,SOI86_RS09005,Protein Homology,1585435,1586184,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_002805980.1,biotin--[acetyl-CoA-carboxylase] ligase,WP_320681476.1,"GO:0036211,GO:0004077",,biotin--[biotin carboxyl-carrier protein] ligase activity|0004077||IEA,protein modification process|0036211||IEA,SOI86_RS09005,6.3.4.15
NZ_CP139300.1,SOI86_RS09010,,SOI86_RS09010,Protein Homology,1586187,1586873,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011132070.1,ABC transporter ATP-binding protein,WP_320681477.1,"GO:0005524,GO:0016887,GO:0042626,GO:0140359",,"ATP binding|0005524||IEA,ATP hydrolysis activity|0016887||IEA,ATPase-coupled transmembrane transporter activity|0042626||IEA,ABC-type transporter activity|0140359||IEA",,SOI86_RS09010,
NZ_CP139300.1,SOI86_RS09015,,SOI86_RS09015,Protein Homology,1586890,1588410,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_012007263.1,NAD(P)H-quinone oxidoreductase subunit N,WP_320681478.1,,,,,SOI86_RS09015,
NZ_CP139300.1,topA,topA,SOI86_RS09020,Protein Homology,1588586,1591192,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_002805396.1,type I DNA topoisomerase,WP_320681479.1,"GO:0006260,GO:0006265,GO:0003677,GO:0003917,GO:0005737",cytoplasm|0005737||IEA,"DNA binding|0003677||IEA,DNA topoisomerase type I (single strand cut%2C ATP-independent) activity|0003917||IEA","DNA replication|0006260||IEA,DNA topological change|0006265||IEA",SOI86_RS09020,5.6.2.1
NZ_CP139300.1,SOI86_RS09025,,SOI86_RS09025,Protein Homology,1591201,1591785,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011862459.1,hypothetical protein,WP_320681480.1,,,,,SOI86_RS09025,
NZ_CP139300.1,SOI86_RS09030,,SOI86_RS09030,Protein Homology,1591806,1592444,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011862460.1,DUF2232 domain-containing protein,WP_320681481.1,,,,,SOI86_RS09030,
NZ_CP139300.1,cobT,cobT,SOI86_RS09035,Protein Homology,1592456,1593613,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011862461.1,nicotinate mononucleotide-dependent phosphoribosyltransferase CobT,WP_320682523.1,,,,,SOI86_RS09035,
NZ_CP139300.1,SOI86_RS09040,,SOI86_RS09040,Protein Homology,1593614,1594612,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011817951.1,hypothetical protein,WP_320681482.1,,,,,SOI86_RS09040,
NZ_CP139300.1,SOI86_RS09045,,SOI86_RS09045,Protein Homology,1594601,1595743,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011376000.1,aldo/keto reductase,WP_320681483.1,,,,,SOI86_RS09045,
NZ_CP139300.1,SOI86_RS09050,,SOI86_RS09050,Protein Homology,1595854,1596507,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011817953.1,riboflavin synthase,WP_320681484.1,,,,,SOI86_RS09050,2.5.1.9
NZ_CP139300.1,SOI86_RS09055,,SOI86_RS09055,Protein Homology,1596518,1596871,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_002807044.1,AbrB family transcriptional regulator,WP_320681485.1,,,,,SOI86_RS09055,
NZ_CP139300.1,SOI86_RS09060,,SOI86_RS09060,Protein Homology,1596970,1597572,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011817955.1,heme-copper oxidase subunit III,WP_320681486.1,,,,,SOI86_RS09060,
NZ_CP139300.1,ctaD,ctaD,SOI86_RS09065,Protein Homology,1597579,1599204,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_002806073.1,cytochrome c oxidase subunit I,WP_320681487.1,"GO:0015990,GO:0004129",,cytochrome-c oxidase activity|0004129||IEA,electron transport coupled proton transport|0015990||IEA,SOI86_RS09065,7.1.1.9
NZ_CP139300.1,coxB,coxB,SOI86_RS09070,Protein Homology,1599201,1600004,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011862468.1,cytochrome c oxidase subunit II,WP_320681488.1,"GO:0004129,GO:0016020",membrane|0016020||IEA,cytochrome-c oxidase activity|0004129||IEA,,SOI86_RS09070,7.1.1.9
NZ_CP139300.1,SOI86_RS09075,,SOI86_RS09075,Protein Homology,1600269,1601195,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011817958.1,COX15/CtaA family protein,WP_320681489.1,"GO:0006783,GO:0017004,GO:0016491,GO:0020037,GO:0046872",,"oxidoreductase activity|0016491||IEA,heme binding|0020037||IEA,metal ion binding|0046872||IEA","heme biosynthetic process|0006783||IEA,cytochrome complex assembly|0017004||IEA",SOI86_RS09075,1.17.99.9
NZ_CP139300.1,SOI86_RS09080,,SOI86_RS09080,Protein Homology,1601192,1602193,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011817959.1,heme o synthase,WP_320681490.1,"GO:0048034,GO:0008495,GO:0016020",membrane|0016020||IEA,protoheme IX farnesyltransferase activity|0008495||IEA,heme O biosynthetic process|0048034||IEA,SOI86_RS09080,2.5.1.141
NZ_CP139300.1,SOI86_RS09085,,SOI86_RS09085,Protein Homology,1602233,1603249,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011376008.1,ABC transporter ATP-binding protein,WP_320681491.1,GO:0005524,,ATP binding|0005524||IEA,,SOI86_RS09085,
NZ_CP139300.1,SOI86_RS09090,,SOI86_RS09090,Protein Homology,1603298,1604122,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011817961.1,ABC transporter permease,WP_320681492.1,"GO:0140359,GO:0016020",membrane|0016020||IEA,ABC-type transporter activity|0140359||IEA,,SOI86_RS09090,
NZ_CP139300.1,SOI86_RS09095,,SOI86_RS09095,Protein Homology,1604130,1604561,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011817962.1,glycoprotein,WP_320681493.1,,,,,SOI86_RS09095,
NZ_CP139300.1,groL,groL,SOI86_RS09100,Protein Homology,1604565,1606310,-,60 kDa chaperone family%3B promotes refolding of misfolded polypeptides especially under stressful conditions%3B forms two stacked rings of heptamers to form a barrel-shaped 14mer%3B ends can be capped by GroES%3B misfolded proteins enter the barrel where they are refolded when GroES binds,,COORDINATES: similar to AA sequence:RefSeq:WP_011862474.1,chaperonin GroEL,WP_320681494.1,"GO:0042026,GO:0140662",,ATP-dependent protein folding chaperone|0140662||IEA,protein refolding|0042026||IEA,SOI86_RS09100,
NZ_CP139300.1,SOI86_RS09105,,SOI86_RS09105,Protein Homology,1606442,1606621,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011817964.1,hypothetical protein,WP_320681495.1,,,,,SOI86_RS09105,
NZ_CP139300.1,fabG,fabG,SOI86_RS09110,Protein Homology,1606622,1607371,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011376013.1,3-oxoacyl-[acyl-carrier-protein] reductase,WP_320681496.1,"GO:0006633,GO:0004316,GO:0051287",,"3-oxoacyl-[acyl-carrier-protein] reductase (NADPH) activity|0004316||IEA,NAD binding|0051287||IEA",fatty acid biosynthetic process|0006633||IEA,SOI86_RS09110,1.1.1.100
NZ_CP139300.1,ispD,ispD,SOI86_RS09115,Protein Homology,1607464,1608135,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011376014.1,2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase,WP_320681497.1,"GO:0008299,GO:0019288,GO:0050518",,2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase activity|0050518||IEA,"isoprenoid biosynthetic process|0008299||IEA,isopentenyl diphosphate biosynthetic process%2C methylerythritol 4-phosphate pathway|0019288||IEA",SOI86_RS09115,2.7.7.60
NZ_CP139300.1,SOI86_RS09120,,SOI86_RS09120,Protein Homology,1608136,1609005,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_002807925.1,LD-carboxypeptidase,WP_320681498.1,,,,,SOI86_RS09120,
NZ_CP139300.1,SOI86_RS09125,,SOI86_RS09125,Protein Homology,1609015,1609923,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_002807724.1,4-hydroxybenzoate polyprenyltransferase,WP_320681499.1,,,,,SOI86_RS09125,2.5.1.39
NZ_CP139300.1,SOI86_RS09130,,SOI86_RS09130,Protein Homology,1610028,1611623,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011376017.1,Ppx/GppA phosphatase family protein,WP_320681500.1,GO:0000166,,nucleotide binding|0000166||IEA,,SOI86_RS09130,
NZ_CP139300.1,SOI86_RS09135,,SOI86_RS09135,Protein Homology,1611616,1612110,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_012007285.1,helix-turn-helix domain-containing protein,WP_320681501.1,GO:0003677,,DNA binding|0003677||IEA,,SOI86_RS09135,
NZ_CP139300.1,cobM,cobM,SOI86_RS09140,Protein Homology,1612166,1612921,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011817971.1,precorrin-4 C(11)-methyltransferase,WP_320681502.1,"GO:0009236,GO:0046026",,precorrin-4 C11-methyltransferase activity|0046026||IEA,cobalamin biosynthetic process|0009236||IEA,SOI86_RS09140,2.1.1.133
NZ_CP139300.1,lgt,lgt,SOI86_RS09145,Protein Homology,1612914,1613807,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011817972.1,prolipoprotein diacylglyceryl transferase,WP_320681503.1,"GO:0009249,GO:0008961,GO:0016020",membrane|0016020||IEA,phosphatidylglycerol-prolipoprotein diacylglyceryl transferase activity|0008961||IEA,protein lipoylation|0009249||IEA,SOI86_RS09145,2.5.1.145
NZ_CP139300.1,petA,petA,SOI86_RS09150,Protein Homology,1613818,1614771,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_002807638.1,cytochrome f,WP_320682524.1,,,,,SOI86_RS09150,
NZ_CP139300.1,petC,petC,SOI86_RS09155,Protein Homology,1614776,1615312,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_012007289.1,cytochrome b6-f complex iron-sulfur subunit,WP_320681504.1,"GO:0015979,GO:0009496,GO:0045158",,"plastoquinol--plastocyanin reductase activity|0009496||IEA,electron transporter%2C transferring electrons within cytochrome b6/f complex of photosystem II activity|0045158||IEA",photosynthesis|0015979||IEA,SOI86_RS09155,7.1.1.6
NZ_CP139300.1,SOI86_RS09160,,SOI86_RS09160,Protein Homology,1615436,1615753,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011819844.1,DUF3067 family protein,WP_320681505.1,,,,,SOI86_RS09160,
NZ_CP139300.1,tatC,tatC,SOI86_RS09165,Protein Homology,1615722,1616480,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_012007291.1,twin-arginine translocase subunit TatC,WP_320681506.1,"GO:0015628,GO:0005886",plasma membrane|0005886||IEA,,protein secretion by the type II secretion system|0015628||IEA,SOI86_RS09165,
NZ_CP139300.1,SOI86_RS09170,,SOI86_RS09170,Protein Homology,1616571,1616822,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011294430.1,hypothetical protein,WP_025929890.1,,,,,SOI86_RS09170,
NZ_CP139300.1,SOI86_RS09175,,SOI86_RS09175,Protein Homology,1616851,1618551,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_012007292.1,NFACT family protein,WP_320682525.1,,,,,SOI86_RS09175,
NZ_CP139300.1,gmk,gmk,SOI86_RS09180,Protein Homology,1618625,1619179,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011132103.1,guanylate kinase,WP_320681507.1,"GO:0006163,GO:0004385",,guanylate kinase activity|0004385||IEA,purine nucleotide metabolic process|0006163||IEA,SOI86_RS09180,2.7.4.8
