Gene Number,Protein ID,Protein Description,COG Category,eggNOG HMM Description,Goterms,Kegg Ko,Localization,Protein Length,Biller et al. 2014 Science paper Table S2 MED4 vesicle detected proteins,Blast % Identity Uniprot,NCBI reference sequence,MIT9312 HL Vesicles Trypsin/Lys-C (COMETa) Did we detect the same vesicle proteins as in Table S2 from homologus MED4 Biller et al. Science 2014,MIT9312 HL Vesicles Trypsin/Lys-C (COMETa) Number specs adjusted (Abacus 9312 Vesicle),MIT9312 HL Vesicles Trypsin/Lys-C (COMETa) Number of specs adjusted normalized to Hi3 (Abacus 9312 Vesicle),MIT9312 HL Vesicles Trypsin/Lys-C (COMETa) Normalized specs adjusted.per.vesicle (Abacus 9312 Vesicle),MIT9312 HL Vesicles Trypsin/Lys-C (COMETa) Normalized specs adjusted.per.vesicle.biovolume (Abacus 9312 Vesicle),MIT9312 HL Cells Trypsin/Lys-C (COMETa) Avg Number specs adjusted (Abacus 9312cells trypsin),MIT9312 HL Cells Trypsin/Lys-C (COMETa) Avg Number specs adjusted normalized to Hi3 (Abacus 9312cells trypsin),MIT9312 HL Cells Trypsin/Lys-C (COMETa) Normalized specs adjusted.per.cell (Abacus 9312cells trypsin),MIT9312 HL Cells Trypsin/Lys-C (COMETa) Normalized specs adjusted.per.cell.biovolume (Abacus 9312cells trypsin),MIT9312 HL Cells Glu-C (COMETa) Avg Number specs adjusted (Abacus 9312cells gluc),MIT9312 HL Cells Glu-C (COMETa) Avg Number specs adjusted normalized to Hi3 (Abacus 9312cells gluc),MIT9312 HL Cells Glu-C (COMETa) Normalized specs adjusted.per.cell (Abacus 9312cells gluc),MIT9312 HL Cells Glu-C (COMETa) Normalized specs adjusted.per.cell.biovolume (Abacus 9312cells gluc)
PMT9312_0419,Q31CB5,Q31CB5_PROM9 Uncharacterized protein OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_0419 PE=4 SV=1,S,,,,Unknown,67,,,,,,,,,3.33,0.07,6.52E-10,2.95E-09,2,0.03,2.86E-10,1.29E-09
PMT9312_1055,Q31AI1,Q31AI1_PROM9 PfkB family carbohydrate kinase-like protein OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_1055 PE=4 SV=1,G,pfkB family carbohydrate kinase,,K00852,Cytoplasmic,289,,,,,,,,,3.33,0.07,6.52E-10,2.95E-09,1.33,0.02,1.90E-10,8.62E-10
PMT9312_1686,Q318E8,Q318E8_PROM9 Heme oxygenase (Decyclizing) OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_1686 PE=4 SV=1,P,Heme oxygenase,,K00510,Cytoplasmic,236,,,,,,,,,3.33,0.07,6.52E-10,2.95E-09,1.33,0.02,1.90E-10,8.62E-10
PMT9312_0797,Q31B88,Q31B88_PROM9 HAD-superfamily phosphatase subfamily IIIA OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_0797 PE=4 SV=1,S,"HAD superfamily, subfamily IIIA",,K07015,Unknown,164,,,,,,,,,3.33,0.07,6.52E-10,2.95E-09,1,0.02,1.43E-10,6.46E-10
PMT9312_0739,Q31BE6,Q31BE6_PROM9 Uncharacterized protein OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_0739 PE=4 SV=1,S,,,,Unknown,67,,,,,,,,,3.33,0.07,6.52E-10,2.95E-09,,,,
PMT9312_0841,Q31B44,Q31B44_PROM9 Uncharacterized protein OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_0841 PE=4 SV=1,S,,,,Unknown,75,,,,,,,,,3.33,0.07,6.52E-10,2.95E-09,,,,
PMT9312_1198,Q31A38,Q31A38_PROM9 Uncharacterized protein OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_1198 PE=4 SV=1,S,,,,Unknown,722,,,,,,,,,3.33,0.07,6.52E-10,2.95E-09,,,,
PMT9312_0881,Q31B04,Q31B04_PROM9 Alanine-glyoxylate aminotransferase apoenzyme OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_0881 PE=3 SV=1,E,Serine pyruvate alanine glyoxylate aminotransferase,,K00830,Cytoplasmic,394,,,,,,,,,3.33,0.07,6.52E-10,2.95E-09,,,,
dnaG,Q31B25,Q31B25_PROM9 DNA primase OS=Prochlorococcus marinus (strain MIT 9312) GN=dnaG PE=3 SV=1,L,DNA primase is the polymerase that synthesizes small RNA primers for the Okazaki fragments on both template strands at replication forks during chromosomal DNA synthesis (By similarity),,K02316,Cytoplasmic,677,,,,,,,,,3.33,0.07,6.52E-10,2.95E-09,,,,
PMT9312_1560,Q318S5,Q318S5_PROM9 DEAD/DEAH box helicase-like protein OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_1560 PE=4 SV=1,L,helicase,,,Cytoplasmic,908,,,,,,,,,3.33,0.07,6.52E-10,2.95E-09,,,,
lexA,Q319M9,Q319M9_PROM9 LexA repressor OS=Prochlorococcus marinus (strain MIT 9312) GN=lexA PE=3 SV=1,L,"Represses a number of genes involved in the response to DNA damage (SOS response), including recA and lexA. In the presence of single-stranded DNA, RecA interacts with LexA causing an autocatalytic cleavage which disrupts the DNA-binding part of LexA, leading to derepression of the SOS regulon and eventually DNA repair (By similarity)",,K01356,Cytoplasmic,205,,,,,,,,,3.33,0.07,6.52E-10,2.95E-09,,,,
PMT9312_1589,Q318P6,"Q318P6_PROM9 Glycosyl transferase, family 2 OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_1589 PE=4 SV=1",M,"Glycosyl transferase, family 2",,,Unknown,363,,,,,,,,,3.33,0.07,6.52E-10,2.95E-09,,,,
PMT9312_0040,Q31DE4,Q31DE4_PROM9 Uncharacterized protein OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_0040 PE=4 SV=1,S,,,,Cytoplasmic,202,,,,,,,,,3.33,0.07,6.52E-10,2.95E-09,,,,
PMT9312_0055,Q31DC9,Q31DC9_PROM9 Uncharacterized protein OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_0055 PE=4 SV=1,S,Protein of unknown function (DUF1469),,,CytoplasmicMembrane,128,,,,,,,,,3.33,0.07,6.52E-10,2.95E-09,,,,
PMT9312_1707,Q318C7,Q318C7_PROM9 TPR repeat OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_1707 PE=4 SV=1,S,repeat protein,,,Unknown,262,,,,,,,,,3.33,0.07,6.52E-10,2.95E-09,,,,
PMT9312_1330,Q319Q5,Q319Q5_PROM9 Uncharacterized protein OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_1330 PE=4 SV=1,S,Tagatose 6 phosphate kinase,,,Cytoplasmic,333,,,,,,,,,3.33,0.07,6.52E-10,2.95E-09,,,,
PMT9312_0120,Q31D63,Q31D63_PROM9 Uncharacterized protein OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_0120 PE=4 SV=1,S,TPR-repeat protein,,,Unknown,142,,,,,,,,,3.33,0.07,6.52E-10,2.95E-09,,,,
psbE,Q31CN5,PSBE_PROM9 Cytochrome b559 subunit alpha OS=Prochlorococcus marinus (strain MIT 9312) GN=psbE PE=3 SV=1,C,This b-type cytochrome is tightly associated with the reaction center of photosystem II and possibly is part of the water-oxidation complex (By similarity),"GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005886,GO:0009521,GO:0009523,GO:0009579,GO:0016020,GO:0030075,GO:0030096,GO:0032991,GO:0034357,GO:0042651,GO:0043226,GO:0043228,GO:0043229,GO:0043232,GO:0043234,GO:0044422,GO:0044424,GO:0044425,GO:0044436,GO:0044444,GO:0044459,GO:0044464,GO:0071944",K02707,Unknown,84,,,,,,,,,3,0.06,5.87E-10,2.66E-09,12.33,0.19,1.76E-09,7.97E-09
aroQ,Q31CF1,Q31CF1_PROM9 3-dehydroquinate dehydratase OS=Prochlorococcus marinus (strain MIT 9312) GN=aroQ PE=3 SV=1,E,Catalyzes a trans-dehydration via an enolate intermediate (By similarity),,K03786,Cytoplasmic,166,,,,,,,,,3,0.06,5.87E-10,2.66E-09,7,0.11,1.00E-09,4.52E-09
PMT9312_1336,Q319P9,Q319P9_PROM9 Uncharacterized protein OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_1336 PE=4 SV=1,S,Ghmp kinase,,,Unknown,327,,,,,,,,,3,0.06,5.87E-10,2.66E-09,4.67,0.07,6.67E-10,3.02E-09
PMT9312_1540,Q318U5,Q318U5_PROM9 Uncharacterized protein OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_1540 PE=4 SV=1,S,Protein of unknown function (DUF3326),,,Cytoplasmic,352,,,,,,,,,3,0.06,5.87E-10,2.66E-09,4.67,0.07,6.67E-10,3.02E-09
PMT9312_0516,Q31C18,Q31C18_PROM9 Membrane associated protease-like protein OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_0516 PE=4 SV=1,S,membrane associated protease,,K07052,CytoplasmicMembrane,453,,,,,,,,,3,0.06,5.87E-10,2.66E-09,4,0.06,5.71E-10,2.59E-09
PMT9312_1041,Q31AJ5,"Q31AJ5_PROM9 Putative ferric uptake regulator, FUR family OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_1041 PE=3 SV=1",P,ferric uptake regulator,,K03711,Cytoplasmic,144,,,,,,,,,3,0.06,5.87E-10,2.66E-09,2,0.03,2.86E-10,1.29E-09
PMT9312_0801,Q31B84,Q31B84_PROM9 Uncharacterized protein OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_0801 PE=4 SV=1,S,F420-0:Gamma-glutamyl ligase,,,CytoplasmicMembrane,389,gi|33861350|ref|NP_892911.1| hypothetical protein PMM0793,63.7,WP_011132427.1,No,,,,,3,0.06,5.87E-10,2.66E-09,1.67,0.03,2.38E-10,1.08E-09
PMT9312_0186,Q31CZ7,"Q31CZ7_PROM9 Anthranilate synthase, component II OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_0186 PE=4 SV=1",E,synthase component II,,"K01658,K01664",Cytoplasmic,198,,,,,,,,,3,0.06,5.87E-10,2.66E-09,1.33,0.02,1.90E-10,8.62E-10
PMT9312_0457,Q31C77,Q31C77_PROM9 Putative exopolyphosphatase OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_0457 PE=4 SV=1,"F, P",Exopolyphosphatase,,K01524,Cytoplasmic,531,,,,,,,,,3,0.06,5.87E-10,2.66E-09,1.33,0.02,1.90E-10,8.62E-10
mutS2,Q31CW4,Q31CW4_PROM9 Endonuclease MutS2 OS=Prochlorococcus marinus (strain MIT 9312) GN=mutS2 PE=3 SV=1,L,MutS2 protein,,K07456,Cytoplasmic,803,,,,,,,,,3,0.06,5.87E-10,2.66E-09,1.33,0.02,1.90E-10,8.62E-10
PMT9312_0928,Q31AV7,"Q31AV7_PROM9 Putative transcriptional regulator, CopG family OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_0928 PE=4 SV=1",O,DnaJ domain,,,Cytoplasmic,336,,,,,,,,,3,0.06,5.87E-10,2.66E-09,1.33,0.02,1.90E-10,8.62E-10
PMT9312_0298,Q31CN6,YC48L_PROM9 Ycf48-like protein OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_0298 PE=3 SV=1,S,"The ortholog in A.thaliana is involved in photosystem II (PSII) assembly, but knockout of the corresponding gene in Synechoccus PCC 7002 has no effect on PSII activity",,,OuterMembrane,338,,,,,,,,,3,0.06,5.87E-10,2.66E-09,1,0.02,1.43E-10,6.46E-10
PMT9312_0072,Q31DB2,Q31DB2_PROM9 Cysteine desulfurase OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_0072 PE=3 SV=1,E,Cysteine desulfurase,,K11717,Cytoplasmic,417,,,,,,,,,3,0.06,5.87E-10,2.66E-09,,,,
purE,Q31D14,Q31D14_PROM9 N5-carboxyaminoimidazole ribonucleotide mutase OS=Prochlorococcus marinus (strain MIT 9312) GN=purE PE=3 SV=1,F,Catalyzes the conversion of N5-carboxyaminoimidazole ribonucleotide (N5-CAIR) to 4-carboxy-5-aminoimidazole ribonucleotide (CAIR) (By similarity),,K01588,Unknown,178,,,,,,,,,3,0.06,5.87E-10,2.66E-09,,,,
PMT9312_0193,Q31CZ0,Q31CZ0_PROM9 Metal dependent phosphohydrolase OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_0193 PE=3 SV=1,F,In eubacteria ppGpp (guanosine 3'-diphosphate 5-' diphosphate) is a mediator of the stringent response that coordinates a variety of cellular activities in response to changes in nutritional abundance (By similarity),,"K00951,K01139",Cytoplasmic,769,,,,,,,,,3,0.06,5.87E-10,2.66E-09,,,,
PMT9312_1751,Q317Y3,"Q317Y3_PROM9 Glycosyl transferase, family 2 OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_1751 PE=4 SV=1",M,"glycosyl transferase, family 2",,K19003,CytoplasmicMembrane,433,,,,,,,,,3,0.06,5.87E-10,2.66E-09,,,,
PMT9312_1123,Q31AB3,Q31AB3_PROM9 Uncharacterized protein OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_1123 PE=4 SV=1,S,,,,Unknown,89,,,,,,,,,3,0.06,5.87E-10,2.66E-09,,,,
PMT9312_0876,Q31B09,Q31B09_PROM9 Uncharacterized protein OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_0876 PE=4 SV=1,S,GUN4 domain protein,,,Cytoplasmic,239,,,,,,,,,3,0.06,5.87E-10,2.66E-09,,,,
PMT9312_0659,Q31BM5,Q31BM5_PROM9 Uncharacterized protein OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_0659 PE=4 SV=1,S,"methyltransferase, type 11",,,Cytoplasmic,248,,,,,,,,,3,0.06,5.87E-10,2.66E-09,,,,
PMT9312_1482,Q319A3,Q319A3_PROM9 Permease-like protein OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_1482 PE=4 SV=1,S,Permease,,K11720,CytoplasmicMembrane,400,,,,,,,,,3,0.06,5.87E-10,2.66E-09,,,,
PMT9312_1495,Q318Z0,Q318Z0_PROM9 Putative dape protein OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_1495 PE=4 SV=1,S,Possible lysine decarboxylase,,K06966,Cytoplasmic,291,,,,,,,,,3,0.06,5.87E-10,2.66E-09,,,,
PMT9312_0718,Q31BG7,Q31BG7_PROM9 Histidine kinase OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_0718 PE=4 SV=1,T,Histidine kinase,,,CytoplasmicMembrane,386,,,,,,,,,3,0.06,5.87E-10,2.66E-09,,,,
PMT9312_1683,Q318F1,Q318F1_PROM9 Protein tyrosine phosphatase OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_1683 PE=4 SV=1,T,Low molecular weight phosphotyrosine protein phosphatase,,K01104,Cytoplasmic,157,,,,,,,,,3,0.06,5.87E-10,2.66E-09,,,,
PMT9312_0441,Q31C93,"Q31C93_PROM9 Riboflavin synthase, alpha subunit OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_0441 PE=4 SV=1",H,"riboflavin synthase, subunit alpha",,K00793,Cytoplasmic,217,,,,,,,,,2.67,0.05,5.22E-10,2.36E-09,7.67,0.12,1.10E-09,4.96E-09
def,Q31DB4,DEF_PROM9 Peptide deformylase OS=Prochlorococcus marinus (strain MIT 9312) GN=def PE=3 SV=1,J,Removes the formyl group from the N-terminal Met of newly synthesized proteins. Requires at least a dipeptide for an efficient rate of reaction. N-terminal L-methionine is a prerequisite for activity but the enzyme has broad specificity at other positions (By similarity),,K01462,Cytoplasmic,201,,,,,,,,,2.67,0.05,5.22E-10,2.36E-09,7,0.11,1.00E-09,4.52E-09
msrA,Q319F4,Q319F4_PROM9 Peptide methionine sulfoxide reductase MsrA OS=Prochlorococcus marinus (strain MIT 9312) GN=msrA PE=3 SV=1,O,Has an important function as a repair enzyme for proteins that have been inactivated by oxidation. Catalyzes the reversible oxidation-reduction of methionine sulfoxide in proteins to methionine (By similarity),,K07304,Unknown,200,,,,,,,,,2.67,0.05,5.22E-10,2.36E-09,5.67,0.09,8.10E-10,3.66E-09
PMT9312_0493,Q31C41,Q31C41_PROM9 Uncharacterized protein OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_0493 PE=4 SV=1,S,Uncharacterised protein family UPF0047,,,Cytoplasmic,151,,,,,,,,,2.67,0.05,5.22E-10,2.36E-09,5,0.08,7.14E-10,3.23E-09
PMT9312_1367,Q319L8,Q319L8_PROM9 Riboflavin biosynthesis protein OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_1367 PE=3 SV=1,H,riboflavin,,K11753,Cytoplasmic,307,,,,,,,,,2.67,0.05,5.22E-10,2.36E-09,3.33,0.05,4.76E-10,2.15E-09
PMT9312_0645,Q31BN9,Q31BN9_PROM9 FAD linked oxidase OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_0645 PE=4 SV=1,C,FAD linked oxidase N-terminal,,,Cytoplasmic,425,,,,,,,,,2.67,0.05,5.22E-10,2.36E-09,2.33,0.04,3.33E-10,1.51E-09
cysC,Q31D15,Q31D15_PROM9 Adenylyl-sulfate kinase OS=Prochlorococcus marinus (strain MIT 9312) GN=cysC PE=3 SV=1,P,Catalyzes the synthesis of activated sulfate (By similarity),,K00860,Cytoplasmic,211,,,,,,,,,2.67,0.05,5.22E-10,2.36E-09,2.33,0.04,3.33E-10,1.51E-09
PMT9312_0579,Q31BV5,Q31BV5_PROM9 Uncharacterized protein OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_0579 PE=4 SV=1,H,6-pyruvoyltetrahydropterin synthase,,K01737,Unknown,156,,,,,,,,,2.67,0.05,5.22E-10,2.36E-09,1.67,0.03,2.38E-10,1.08E-09
PMT9312_0606,Q31BS8,Q31BS8_PROM9 Signal peptidase I OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_0606 PE=3 SV=1,U,signal peptidase I,"GO:0005575,GO:0005623,GO:0005886,GO:0016020,GO:0044464,GO:0071944",K03100,CytoplasmicMembrane,194,,,,,,,,,2.67,0.05,5.22E-10,2.36E-09,1.67,0.03,2.38E-10,1.08E-09
PMT9312_0249,Q31CT5,Q31CT5_PROM9 Uncharacterized protein OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_0249 PE=4 SV=1,S,Protein of unknown function (DUF3084),"GO:0005575,GO:0016020",,CytoplasmicMembrane,319,,,,,,,,,2.67,0.05,5.22E-10,2.36E-09,1.33,0.02,1.90E-10,8.62E-10
speE,Q317V6,SPEE_PROM9 Polyamine aminopropyltransferase OS=Prochlorococcus marinus (strain MIT 9312) GN=speE PE=3 SV=1,E,"Catalyzes the production of spermidine from putrescine and decarboxylated S-adenosylmethionine (dcSAM), which serves as an aminopropyl donor (By similarity)",,K00797,Cytoplasmic,283,,,,,,,,,2.67,0.05,5.22E-10,2.36E-09,1,0.02,1.43E-10,6.46E-10
PMT9312_1018,Q31AL7,Q31AL7_PROM9 Uncharacterized protein OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_1018 PE=4 SV=1,S,,,,Unknown,130,,,,,,,,,2.67,0.05,5.22E-10,2.36E-09,,,,
PMT9312_1503,Q318Y2,Q318Y2_PROM9 Uncharacterized protein OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_1503 PE=4 SV=1,S,,,,Unknown,132,,,,,,,,,2.67,0.05,5.22E-10,2.36E-09,,,,
psbN,Q31CT0,PSBN_PROM9 Protein PsbN OS=Prochlorococcus marinus (strain MIT 9312) GN=psbN PE=3 SV=1,S,,,,CytoplasmicMembrane,50,,,,,,,,,2.67,0.05,5.22E-10,2.36E-09,,,,
PMT9312_0652,Q31BN2,Q31BN2_PROM9 Glyoxalase I OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_0652 PE=4 SV=1,C,glyoxalase I (EC 4.4.1.5),,K01759,Cytoplasmic,129,,,,,,,,,2.67,0.05,5.22E-10,2.36E-09,,,,
PMT9312_1803,Q317T0,Q317T0_PROM9 Sucrose-phosphate synthase OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_1803 PE=4 SV=1,G,synthase,,K00696,Cytoplasmic,469,,,,,,,,,2.67,0.05,5.22E-10,2.36E-09,,,,
PMT9312_0591,Q31BU3,"Q31BU3_PROM9 7,8-dihydroneopterin aldolase OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_0591 PE=3 SV=1",H,dihydroneopterin aldolase,,K01633,Cytoplasmic,120,,,,,,,,,2.67,0.05,5.22E-10,2.36E-09,,,,
PMT9312_1126,Q31AB0,Q31AB0_PROM9 Putative carotenoid isomerase OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_1126 PE=4 SV=1,H,isomerase,,K09835,Unknown,514,,,,,,,,,2.67,0.05,5.22E-10,2.36E-09,,,,
PMT9312_0485,Q31C49,Q31C49_PROM9 Exodeoxyribonuclease III OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_0485 PE=4 SV=1,L,exodeoxyribonuclease III,,K01142,Cytoplasmic,281,,,,,,,,,2.67,0.05,5.22E-10,2.36E-09,,,,
PMT9312_0393,Q31CE1,"Q31CE1_PROM9 Glycosyl transferase, group 1-like protein OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_0393 PE=4 SV=1",M,glycosyl transferase group 1,,,Cytoplasmic,388,,,,,,,,,2.67,0.05,5.22E-10,2.36E-09,,,,
PMT9312_0039,Q31DE5,Q31DE5_PROM9 Uncharacterized protein OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_0039 PE=4 SV=1,S,,,,Cytoplasmic,237,,,,,,,,,2.67,0.05,5.22E-10,2.36E-09,,,,
PMT9312_1036,Q31AK0,Q31AK0_PROM9 Putative stress-induced protein OsmC OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_1036 PE=4 SV=1,O,Redox protein,,K07397,Unknown,135,,,,,,,,,2.67,0.05,5.22E-10,2.36E-09,,,,
mnmE,Q31CZ2,MNME_PROM9 tRNA modification GTPase MnmE OS=Prochlorococcus marinus (strain MIT 9312) GN=mnmE PE=3 SV=1,S,"Exhibits a very high intrinsic GTPase hydrolysis rate. Involved in the addition of a carboxymethylaminomethyl (cmnm) group at the wobble position (U34) of certain tRNAs, forming tRNA- cmnm(5)s(2)U34 (By similarity)","GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0044424,GO:0044464",K03650,Cytoplasmic,460,,,,,,,,,2.67,0.05,5.22E-10,2.36E-09,,,,
PMT9312_1045,Q31AJ1,Q31AJ1_PROM9 WD-40 repeat-containing protein OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_1045 PE=4 SV=1,S,G-protein beta WD-40,,,Unknown,357,,,,,,,,,2.67,0.05,5.22E-10,2.36E-09,,,,
PMT9312_1307,Q319S9,Q319S9_PROM9 Glycosyltransferase-like protein OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_1307 PE=4 SV=1,S,Glycosyl transferases group 1,,,Cytoplasmic,357,,,,,,,,,2.67,0.05,5.22E-10,2.36E-09,,,,
PMT9312_0680,Q31BK4,Q31BK4_PROM9 Uncharacterized protein OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_0680 PE=4 SV=1,S,Inherit from NOG: 15.0 kDa protein,,,CytoplasmicMembrane,265,,,,,,,,,2.67,0.05,5.22E-10,2.36E-09,,,,
PMT9312_1351,Q319N4,Q319N4_PROM9 Dehydrogenase OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_1351 PE=4 SV=1,S,Short-chain dehydrogenase reductase Sdr,,,Unknown,253,,,,,,,,,2.67,0.05,5.22E-10,2.36E-09,,,,
PMT9312_0875,Q31B10,Q31B10_PROM9 Rhodanese-like protein OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_0875 PE=4 SV=1,S,tRNA 2-selenouridine synthase,,K06917,Cytoplasmic,347,,,,,,,,,2.67,0.05,5.22E-10,2.36E-09,,,,
PMT9312_0057,Q31DC7,Q31DC7_PROM9 Uncharacterized protein OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_0057 PE=4 SV=1,S,,,,CytoplasmicMembrane,45,,,,,,,,,2.33,0.05,4.57E-10,2.07E-09,10.33,0.16,1.48E-09,6.68E-09
PMT9312_0257,Q31CS7,"Q31CS7_PROM9 3-isopropylmalate dehydratase, small subunit OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_0257 PE=3 SV=1",E,"Catalyzes the isomerization between 2-isopropylmalate and 3-isopropylmalate, via the formation of 2-isopropylmaleate (By similarity)",,K01704,Cytoplasmic,207,,,,,,,,,2.33,0.05,4.57E-10,2.07E-09,6.33,0.1,9.05E-10,4.09E-09
PMT9312_1399,Q319I6,Q319I6_PROM9 Uncharacterized protein OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_1399 PE=4 SV=1,C,FAD linked,,,Cytoplasmic,451,,,,,,,,,2.33,0.05,4.57E-10,2.07E-09,5.67,0.09,8.10E-10,3.66E-09
PMT9312_1075,Q31AG1,Q31AG1_PROM9 Lycopene cyclase (CrtL-type) OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_1075 PE=4 SV=1,I,lycopene beta cyclase,,K06443,Unknown,403,,,,,,,,,2.33,0.05,4.57E-10,2.07E-09,5.67,0.09,8.10E-10,3.66E-09
PMT9312_0883,Q31B02,Q31B02_PROM9 Pyridoxal-dependent decarboxylase family protein OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_0883 PE=3 SV=1,E,Pyridoxal-dependent decarboxylase family protein,,"K01593,K01594,K13745",Unknown,461,,,,,,,,,2.33,0.05,4.57E-10,2.07E-09,4.67,0.07,6.67E-10,3.02E-09
PMT9312_0478,Q31C56,Q31C56_PROM9 Uncharacterized protein OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_0478 PE=4 SV=1,S,Short chain dehydrogenase,,K20024,Cytoplasmic,239,,,,,,,,,2.33,0.05,4.57E-10,2.07E-09,3.33,0.05,4.76E-10,2.15E-09
PMT9312_1190,Q31A46,Q31A46_PROM9 Uncharacterized protein OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_1190 PE=4 SV=1,S,,,,Unknown,157,,,,,,,,,2.33,0.05,4.57E-10,2.07E-09,3,0.05,4.29E-10,1.94E-09
cpcS,Q31CM6,Q31CM6_PROM9 Chromophore lyase CpcS/CpeS OS=Prochlorococcus marinus (strain MIT 9312) GN=cpcS PE=3 SV=1,S,Covalently attaches a chromophore to Cys residue(s) of phycobiliproteins (By similarity),"GO:0006464,GO:0008150,GO:0008152,GO:0009987,GO:0017006,GO:0017007,GO:0017009,GO:0019538,GO:0036211,GO:0043170,GO:0043412,GO:0044237,GO:0044238,GO:0044260,GO:0044267,GO:0071704",K05382,Unknown,183,,,,,,,,,2.33,0.05,4.57E-10,2.07E-09,3,0.05,4.29E-10,1.94E-09
pyrR,Q318V9,Q318V9_PROM9 Bifunctional protein PyrR OS=Prochlorococcus marinus (strain MIT 9312) GN=pyrR PE=3 SV=1,F,Also displays a weak uracil phosphoribosyltransferase activity which is not physiologically significant (By similarity),,K02825,Cytoplasmic,178,,,,,,,,,2.33,0.05,4.57E-10,2.07E-09,2.33,0.04,3.33E-10,1.51E-09
recR,Q31AC8,RECR_PROM9 Recombination protein RecR OS=Prochlorococcus marinus (strain MIT 9312) GN=recR PE=3 SV=1,L,May play a role in DNA repair. It seems to be involved in an RecBC-independent recombinational process of DNA repair. It may act with RecF and RecO (By similarity),,K06187,Cytoplasmic,199,,,,,,,,,2.33,0.05,4.57E-10,2.07E-09,2.33,0.04,3.33E-10,1.51E-09
